#: table_doi: 10.17182/hepdata.81626.v1/t13
#: name: Exclusion contour (expected) 5
#: description: Expected exclusion limit in the wino-bino mass plane, using the $\mathrm{SR}^{\gamma\gamma}_{W-H}$ analysis for $m_{\tilde{\chi}^{0}_{1}} > 400$ GeV and the $\mathrm{SR}^{\gamma\gamma}_{W-L}$ analysis for $m_{\tilde{\chi}^{0}_{1}}$ < 400$ GeV.
#: data_file: data13.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GEV],13000.0
#"M(CHARGINO1),M(NEUTRALINO2) [GEV]",M(NEUTRALINO1) [GEV]
1245,1216.88
1264.46,1212.5
1256.35,1175.5
1252.78,1138.5
1245,1111.78
1241.49,1101.5
1234.82,1064.5
1229.83,1027.5
1227.78,990.5
1227.16,953.5
1226.86,916.5
1226.56,879.5
1226.17,842.5
1224.19,805.5
1219.9,768.5
1215,737.497
1214.19,731.5
1209.18,694.5
1204.17,657.5
1199.15,620.5
1191.97,583.5
1185.18,546.5
1185,545.519
1179.14,509.5
1173.13,472.5
1166.22,435.5
1157.59,398.5
1155,382.691
1151.53,361.5
1149.34,324.5
1148.97,287.5
1149.54,250.5
1154.86,213.5
1155,212.671
1160.94,176.5
1166.61,139.5
1171.99,102.5
1177.4,65.5
1175.79,28.5

