#: table_doi: 10.17182/hepdata.77719.v1/t20
#: name: X-section U.L., acc., eff. 4
#: description: Observed 95% CL upper limits on $pp\to \tilde{b}^{}_1\tilde{b}^{*}_1$ production cross-sections in a SUSY scenario where pairs of bottom-antibottom squarks are produced and decay into the lightest neutralino via a chargino, $\tilde b^{}_{1}\to t\tilde{\chi}_1^-$ followed by $\tilde{\chi}_1^\pm\to W^\pm\tilde{\chi}_1^0$. The table also shows the signal acceptance and reconstruction efficiency for the signal region(s) with sensitivity to this scenario.
#: data_file: upperlimitsFig12d.yaml
#: data_license:   
#: keyword reactions: P P --> SQUARK SQUARK X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Inclusive | Limits | Exclusion | Acceptance | Efficiency | Squark | Sbottom | Neutralino | Proton-Proton Scattering
#: Signal region,-
#: SQRT(S) [GEV],13000.0
'M(SBOTTOM1) [GEV]','M(NEUTRALINO1) [GEV]','Best SR'
600,325,0.3
650,100,0.6
650,200,0.8
650,250,0.6
650,300,0.6
650,340,0.4
650,375,0.4
700,50,0.6
700,150,0.8
700,250,0.8
700,300,0.7
700,350,0.6
700,390,0.5
700,425,0.4
750,100,0.8
750,200,1.0
750,300,0.9
750,350,0.8
750,400,0.7
750,440,0.6
750,475,0.5
800,50,0.7
800,150,1.0
800,250,1.1
800,350,1.0
800,400,0.9
800,450,0.8
800,490,0.6
800,525,0.6
850,100,0.9
850,200,1.0
850,400,1.1
850,450,0.9
850,500,0.7
850,540,0.7
850,575,0.5
900,50,0.7
900,150,1.1
900,250,1.3
900,350,1.2
900,450,1.1
900,500,1.0
900,550,0.8
900,590,0.7
900,625,0.6

#: Signal region,Rpc2L1bS
#: SQRT(S) [GEV],13000.0
'M(SBOTTOM1) [GEV]','M(NEUTRALINO1) [GEV]','EFF [PCT]'
350,75,67
400,50,58
400,90,56
400,125,52
450,50,47
450,100,58
450,140,64
450,175,45
500,50,57
500,100,54
500,150,51
500,190,48
500,225,47
550,100,54
550,150,61
550,200,58
550,240,51
550,275,47
600,50,56
600,150,53
600,200,51
600,250,57
600,290,48
600,325,45
650,100,60
650,200,54
650,250,58
650,300,52
650,340,49
650,375,47
700,50,55
700,150,62
700,250,53
700,300,51
700,350,53
700,390,51
700,425,48
750,100,54
750,200,58
750,300,55
750,350,53
750,400,57
750,440,52
750,475,55
800,50,60
800,150,57
800,250,56
800,350,57
800,400,55
800,450,47
800,490,46
800,525,44
850,100,59
850,200,59
850,400,54
850,450,53
850,500,53
850,540,55
850,575,53
900,50,55
900,150,56
900,250,62
900,350,59
900,450,58
900,500,57
900,550,53
900,590,55
900,625,47

