#: table_doi: 10.17182/hepdata.77719.v1/t8
#: name: Exclusion contour 4 (exp.)
#: description: Expected 95% CL exclusion contours on the lightest bottom squark and lightest neutralino masses in a SUSY scenario where pairs of bottom-antibottom squarks are produced and decay into the lightest neutralino via a chargino, $\tilde b^{}_{1}\to t\tilde{\chi}_1^-$ followed by $\tilde{\chi}_1^\pm\to W^\pm\tilde{\chi}_1^0$.
#: data_file: limitsFig04dExp.yaml
#: data_license:   
#: keyword reactions: P P --> SQUARK SQUARK X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Inclusive | Limits | Exclusion | Squark | Sbottom | Neutralino | Proton-Proton Scattering
#: SQRT(S) [GEV],13000.0
'M(SBOTTOM1) [GEV]','M(NEUTRALINO1) [GEV]'
357,80
363,86
371,94
377,100
384,108
390,115
398,123
404,129
412,137
418,143
426,151
432,158
439,165
446,172
453,179
460,187
467,194
474,201
481,208
488,215
494,222
502,230
508,236
517,244
522,250
531,258
536,263
546,273
549,277
561,287
563,290
576,302
577,302
591,302
604,303
618,305
632,308
646,311
659,307
668,302
673,298
687,289
689,287
701,278
714,273
716,273
728,261
730,258
740,244
742,241
752,230
756,225
765,215
768,201
769,187
767,172
763,158
760,143
756,129
756,127
754,115
751,100
750,86
751,72
752,57
752,0

