#: table_doi: 10.17182/hepdata.89413.v1/t23
#: name: Exclusion contour (obs) 3
#: description: Observed exclusion limits on SUSY simplified models for slepton-pair production. All limits are computed at 95% CL.
#: data_file: Fig_7c_OBS_DirSlep.yaml
#: data_license:   
#: keyword reactions: pp --> SLEPTON SLEPTON | SLEPTON --> LEPTON NEUTRALINO1
#: keyword observables: CLS
#: keyword phrases: Proton-Proton Scattering | SUSY | Supersymmetry | Electroweak | Chargino | Slepton
#: keyword cmenergies: 13000.0
#: $\sqrt{s}$ [GeV],13000.0
m($\tilde{l}$) [GeV],m($\tilde{\chi}_{1}^{0}$) [GeV]
101.6798,17.30743
115.088,25.24333
131.3954,31.67475
134.9504,33.61486
147.7029,43.96891
152.5116,49.92229
158.2249,66.22971
157.2915,82.53714
157.5576,98.84457
164.0103,105.6716
176.0919,115.152
180.3177,118.0778
194.5218,131.4594
196.6251,132.0026
212.9326,139.3982
220.781,147.7669
228.7336,164.0743
229.24,165.0266
245.5474,178.1161
249.4608,180.3817
261.8549,188.9762
267.8144,196.6891
274.2712,212.9966
278.1623,218.9346
294.4697,227.9308
297.8128,229.304
310.7771,235.0334
322.5599,245.6114
327.0846,252.9588
335.4548,261.9189
343.392,266.9703
359.6994,273.3081
368.7823,278.2263
376.0069,283.4889
389.0042,294.5337
392.3143,297.9234
408.6217,309.0365
411.4606,310.8411
424.9291,319.2275
436.2383,327.1486
441.2366,331.4712
457.544,342.5142
459.3323,343.456
473.8514,351.2985
487.3601,359.7634
490.1589,361.537
506.4663,370.3578
517.7331,376.0709
522.7737,379.3304
538.9527,392.3783
539.0811,392.4858
555.3886,402.5409
571.696,405.0977
588.0034,406.2565
604.3109,405.73
620.6183,401.5776
636.2079,392.3783
636.9257,391.8334
653.2331,376.3496
653.4914,376.0709
665.3365,359.7634
669.5406,352.1347
673.9732,343.456
680.4785,327.1486
685.315,310.8411
685.848,308.293
688.6568,294.5337
690.681,278.2263
691.8539,261.9189
692.3919,245.6114
692.4083,229.304
692.0564,212.9966
692.2009,196.6891
694.1213,180.3817
695.8682,164.0743
697.1114,147.7669
697.8302,131.4594
698.0837,115.152
698.0931,98.84457
698.6427,82.53714
698.9995,66.22971
699.1549,49.92229
699.206,33.61486
699.3022,17.30743
699.8814,1

