#: table_doi: 10.17182/hepdata.78219.v1/t33
#: name: Exclusion contour (exp) 1
#: description: Expected exclusion limits at 95% CL for a simplified model assuming $\tilde{t}_{1}$ pair production, decaying via $\tilde{t}_{1}\rightarrow t+\tilde{\chi}_{1}^{0}$ with 100% branching ratio.
#: data_file: Figure9_exp.yaml
#: data_license:   
#: keyword Reactions: P P --> STOP1 STOP1 | STOP1 --> TOP NEUTRALINO1
#: keyword Observables: EXP Exclusion
#: keyword Phrases: SUSY | Third Generation | squark | stop
#: keyword Cmenergies: 13000.0
#: $\sqrt{s}$ [GEV],13000.0
#'m($\tilde{t}_{1}$) [GEV]','m($\tilde{\chi}_{1}^{0}$) [GEV]'
729.7,287.9
728.6,263.0
733.9,238.0
737.5,230.8
746.2,213.1
755.3,188.1
762.5,164.3
762.8,163.2
769.4,138.2
774.6,113.3
778.8,88.3
779.0,63.4
769.3,38.4
763.4,13.5
284.9,13.5
287.5,22.5
291.1,38.4
287.5,57.6
286.3,63.4
287.5,68.4
292.3,88.3
308.2,113.3
312.5,117.7
331.1,138.2
337.5,144.0
361.4,163.2
362.5,164.2
387.5,187.7
388.0,188.1
412.5,207.9
421.1,213.1
437.5,227.3
452.3,238.0
462.5,244.9
487.5,259.9
492.5,263.0
512.5,280.8
521.9,287.9
537.5,299.5
561.8,312.9
562.5,313.3
587.5,318.1
612.5,322.4
637.5,324.7
662.5,328.3
687.5,331.0
712.5,318.4
719.9,312.9
729.7,287.9
