#: table_doi: 10.17182/hepdata.78219.v1/t34
#: name: Exclusion contour (obs) 1
#: description: Observed exclusion limits at 95% CL for a simplified model assuming $\tilde{t}_{1}$ pair production, decaying via $\tilde{t}_{1}\rightarrow t+\tilde{\chi}_{1}^{0}$ with 100% branching ratio.
#: data_file: Figure9_obs.yaml
#: data_license:   
#: keyword Reactions: P P --> STOP1 STOP1 | STOP1 --> TOP NEUTRALINO1
#: keyword Observables: OBS Exclusion
#: keyword Phrases: SUSY | Third Generation | squark | stop
#: keyword Cmenergies: 13000.0
#: $\sqrt{s}$ [GEV],13000.0
#'m($\tilde{t}_{1}$) [GEV]','m($\tilde{\chi}_{1}^{0}$) [GEV]'
358.9,295.0
359.0,294.9
359.9,294.0
360.0,293.9
360.9,293.0
361.0,292.9
361.9,292.0
362.0,291.8
362.8,291.0
363.0,290.8
363.8,290.0
364.0,289.8
364.8,289.0
365.0,288.8
365.8,288.0
366.0,287.8
366.8,287.0
367.0,286.9
368.0,287.0
368.2,287.0
369.0,287.1
370.0,287.2
371.0,287.3
372.0,287.3
373.0,287.4
374.0,287.5
375.0,287.6
375.3,288.0
376.0,288.8
376.2,289.0
377.0,289.9
377.1,290.0
378.0,291.0
378.0,291.0
378.9,292.0
379.0,292.2
379.7,293.0
380.0,293.3
380.6,294.0
381.0,294.4
381.5,295.0
382.0,295.6
382.4,296.0
383.0,296.7
383.4,297.0
384.0,297.8
384.3,298.0
385.0,298.9
385.1,299.0
386.0,299.8
386.2,300.0
387.0,300.7
387.3,301.0
388.0,301.6
388.5,302.0
389.0,302.5
389.6,303.0
390.0,303.3
390.7,304.0
391.0,304.2
391.9,305.0
392.0,305.1
393.0,306.0
393.0,306.0
394.0,306.9
394.1,307.0
395.0,307.8
395.3,308.0
396.0,308.6
396.4,309.0
397.0,309.5
397.6,310.0
398.0,310.4
398.7,311.0
399.0,311.3
399.8,312.0
400.0,312.2
400.8,313.0
401.0,313.2
401.8,314.0
402.0,314.2
402.8,315.0
403.0,315.2
403.9,316.0
404.0,316.1
404.9,317.0
405.0,317.1
405.9,318.0
406.0,318.1
406.9,319.0
407.0,319.1
407.9,320.0
408.0,320.1
408.9,321.0
409.0,321.1
409.9,322.0
410.0,322.1
410.9,323.0
411.0,323.1
411.9,324.0
412.0,324.1
412.9,325.0
413.0,325.1
413.9,326.0
414.0,326.1
414.9,327.0
415.0,327.1
415.9,328.0
416.0,328.1
416.9,329.0
417.0,329.1
417.9,330.0
418.0,330.1
418.9,331.0
419.0,331.1
419.9,332.0
420.0,332.1
421.0,332.9
421.1,333.0
422.0,333.8
422.2,334.0
423.0,334.7
423.4,335.0
424.0,335.5
424.5,336.0
425.0,336.4
425.7,337.0
426.0,337.2
426.9,338.0
427.0,338.1
428.0,338.8
428.2,339.0
429.0,339.6
429.5,340.0
430.0,340.3
430.9,341.0
431.0,341.1
431.4,341.0
431.5,340.0
431.6,339.0
431.7,338.0
431.8,337.0
431.9,336.0
432.0,335.0
432.0,335.0
432.1,334.0
432.0,333.4
431.9,333.0
431.6,332.0
431.2,331.0
431.0,330.4
430.9,330.0
430.5,329.0
430.1,328.0
430.0,327.6
429.8,327.0
429.4,326.0
429.1,325.0
429.0,324.8
428.7,324.0
428.3,323.0
428.0,322.0
428.0,322.0
427.6,321.0
427.3,320.0
427.0,319.3
426.9,319.0
426.5,318.0
426.2,317.0
426.0,316.5
425.8,316.0
425.5,315.0
425.1,314.0
425.0,313.7
424.7,313.0
424.2,312.0
424.0,311.5
423.8,311.0
423.3,310.0
423.0,309.3
422.8,309.0
422.4,308.0
422.0,307.2
421.9,307.0
421.5,306.0
421.0,305.0
421.0,305.0
420.5,304.0
420.1,303.0
420.0,302.8
419.6,302.0
419.2,301.0
419.0,300.7
418.7,300.0
418.2,299.0
418.0,298.5
417.8,298.0
417.4,297.0
417.0,296.0
417.0,296.0
416.7,295.0
416.3,294.0
416.0,293.2
415.9,293.0
415.6,292.0
415.2,291.0
415.0,290.4
414.9,290.0
414.5,289.0
414.2,288.0
414.0,287.6
413.8,287.0
413.4,286.0
413.1,285.0
413.0,284.8
412.7,284.0
412.4,283.0
412.0,282.0
412.0,282.0
411.7,281.0
411.3,280.0
411.0,279.2
410.9,279.0
410.6,278.0
410.0,277.3
409.8,277.0
409.0,276.2
408.9,276.0
408.0,275.0
408.0,275.0
407.1,274.0
407.0,273.9
406.2,273.0
406.0,272.8
405.3,272.0
405.0,271.6
404.4,271.0
404.0,270.5
403.6,270.0
403.0,269.4
402.7,269.0
402.0,268.2
401.8,268.0
401.0,267.1
400.9,267.0
400.0,266.0
400.0,266.0
399.6,265.0
399.1,264.0
399.0,263.7
398.7,263.0
398.3,262.0
398.0,261.4
397.8,261.0
397.4,260.0
397.0,259.2
396.9,259.0
396.5,258.0
396.0,257.0
396.0,256.9
395.6,256.0
395.2,255.0
395.0,254.6
394.7,254.0
394.3,253.0
394.0,252.3
393.8,252.0
393.3,251.0
393.0,250.5
392.6,250.0
392.0,249.1
391.9,249.0
391.3,248.0
391.0,247.6
390.6,247.0
390.0,246.2
389.9,246.0
389.2,245.0
389.0,244.8
388.5,244.0
388.0,243.3
387.8,243.0
387.1,242.0
387.0,241.9
386.4,241.0
386.0,240.4
385.7,240.0
385.0,239.0
385.0,239.0
384.3,238.0
384.0,237.6
383.6,237.0
383.0,236.1
382.9,236.0
382.2,235.0
382.0,234.7
381.5,234.0
381.0,233.2
380.8,233.0
380.1,232.0
380.0,231.8
379.4,231.0
379.0,230.4
378.7,230.0
378.1,229.0
378.0,228.9
377.4,228.0
377.0,227.5
376.7,227.0
376.0,226.0
376.0,226.0
375.1,225.0
375.0,224.9
374.1,224.0
374.0,223.9
373.1,223.0
373.0,222.9
372.1,222.0
372.0,221.9
371.1,221.0
371.0,220.9
370.1,220.0
370.0,219.9
369.2,219.0
369.0,218.8
368.2,218.0
368.0,217.8
367.2,217.0
367.0,216.8
366.2,216.0
366.0,215.8
365.2,215.0
365.0,214.8
364.2,214.0
364.0,213.8
363.2,213.0
363.0,212.8
362.2,212.0
362.0,211.8
361.2,211.0
361.0,210.8
360.2,210.0
360.0,209.8
359.2,209.0
