#: table_doi: 10.17182/hepdata.79304.v4/t61
#: name: Table 61
#: description: $\textbf{X-section U.L. 2 } -$ Observed upper limit on the signal cross section for the bino LSP model in the m(STOP) vs m(STOP)-m(NEUTRALINO) plane.

#: data_file: limit_full-limit.yaml
#: keyword cmenergies: 13000.0
M(STOP) - M(NEUTRALINO) [GeV],M(STOP) [GeV],UPPER CROSS SECTION LIMIT [pb]
7.0,250.0,105.02280905691991
7.0,300.0,173.06549479164502
10.0,350.0,100.3034441461421
20.0,250.0,13.233948335125593
20.0,300.0,9.539881755585343
20.0,350.0,7.350276088254128
20.0,400.0,12.169532633338944
20.0,450.0,8.32213940545398
20.0,500.0,30.423318185643982
20.0,550.0,3.601857115233948
50.0,250.0,14.151886878162502
50.0,300.0,12.243651446788057
50.0,350.0,6.894015518221663
50.0,400.0,5.134059491386823
50.0,450.0,3.5174782628379395
50.0,500.0,1.9948335063054012
50.0,550.0,1.2612468151639642
80.0,550.0,4.059503416827994
90.0,250.0,7.253616463126621
90.0,300.0,4.9540218275784245
90.0,350.0,5.322177378217958
90.0,400.0,2.379206741291355
90.0,450.0,1.8676888527807725
90.0,550.0,1.8124148606867434
120.0,250.0,5.970537594854797
120.0,300.0,2.0280299026666975
120.0,350.0,1.879730451651541
120.0,400.0,1.4787367632290898
120.0,450.0,1.050480552543443
120.0,500.0,0.858088175105924
120.0,550.0,1.1318271123804835
150.0,250.0,10.169740630721057
150.0,300.0,3.331160581548454
150.0,350.0,1.9342777271534721
150.0,400.0,1.3471857295693852
150.0,450.0,0.8242287287547457
150.0,500.0,1.0157268681710716
150.0,550.0,0.8252538386762978
160.0,220.0,41.84900057767474
165.0,350.0,2.5427520447890286
165.0,400.0,1.1988354480134893
165.0,450.0,0.9557940010610368
165.0,500.0,0.8566013664713678
165.0,550.0,0.515584617220142
167.0,190.0,90.82835672556378
167.0,220.0,60.78614683889106
173.0,190.0,56.37540147919616
173.0,200.0,45.9594465200673
173.0,250.0,4.390681002316632
173.0,300.0,1.5521995835203866
173.0,350.0,1.3292826462968357
173.0,400.0,0.8430460761566398
173.0,450.0,0.5792818884170583
173.0,500.0,0.47837387426546807
173.0,550.0,0.3721683821602045
188.0,200.0,38.65940091599905
188.0,250.0,4.030306028242475
188.0,300.0,2.1624174778037233
188.0,350.0,1.4693034426229783
188.0,400.0,0.8536417420081536
188.0,500.0,0.5973316732876657
188.0,550.0,0.42834194940545517
194.0,195.0,85.54662478749081
200.0,350.0,1.811757217558005
200.0,400.0,0.95524818868232
200.0,450.0,0.5898649624568737
200.0,500.0,0.6548694200076545
200.0,550.0,0.4146506390615745

