#: table_doi: 10.17182/hepdata.79304.v4/t16
#: name: Table 16
#: description: $\textbf{Exclusion contour 1 (exp.) } -$ Expected 95% excluded regions in the plane of m(STOP) versus m(NEUTRALINO) for the direct stop pair production assuming either stop -> t N1, stop -> b W C1 or stop -> b f f' N1 decay with a branching ratio of 100%.

#: data_file: cont_stop_tN-exp.yaml
#: keyword cmenergies: 13000.0
M(STOP) [GeV],M(NEUTRALINO) [GeV]
199.05,1.02
198.15,0.84
196.23,2.73
194.31,3.3
193.74,4.06
193.27,7.4
192.9,10.83
192.71,14.45
192.8,18.35
193.19,22.55
193.74,26.91
193.64,30.62
189.56,29.29
188.25,29.04
188.81,33.41
188.66,37.06
188.52,40.73
188.39,44.41
188.27,48.1
188.16,51.8
188.05,55.5
187.95,59.21
187.86,62.92
187.77,66.65
187.69,70.37
187.61,74.1
187.53,77.84
187.46,81.58
187.4,85.32
187.33,89.06
187.27,92.81
187.21,96.56
187.16,100.32
187.11,104.07
187.06,107.83
187.01,111.59
186.96,115.36
186.92,119.12
186.88,122.89
186.83,126.66
186.8,130.42
186.77,134.21
186.77,138.02
186.77,141.83
186.77,145.63
186.77,149.44
189.56,154.48
191.6,158.09
194.31,162.96
199.05,167.74
201.38,171.67
203.8,176.03
208.54,180.82
211.26,185.36
213.29,189.02
216.65,194.56
218.03,197.06
222.78,201.89
227.0,208.72
227.52,209.66
232.27,214.55
237.01,220.91
241.76,226.13
246.5,231.61
247.08,232.6
251.25,239.64
255.99,243.96
260.74,248.27
265.48,252.59
270.23,256.91
274.97,261.14
279.72,265.33
280.4,265.93
284.46,269.47
289.21,273.61
293.95,277.75
298.7,281.88
303.44,286.25
308.19,290.7
312.93,295.09
317.68,299.48
318.68,300.4
322.42,303.46
327.17,307.33
331.91,311.21
336.66,315.09
339.49,317.4
338.84,312.94
338.2,308.49
337.56,304.04
336.91,299.59
336.66,297.81
336.07,294.94
331.91,288.0
329.93,284.99
327.17,280.79
322.59,273.84
326.95,274.39
327.17,274.52
331.91,277.47
336.66,280.42
336.95,280.58
341.4,282.42
343.12,282.94
346.15,283.85
348.5,284.52
350.89,285.19
353.5,285.7
355.64,286.12
358.23,286.63
360.38,286.84
362.14,286.72
365.13,285.93
365.15,285.93
365.93,282.9
365.13,281.92
360.38,277.08
355.64,272.25
350.89,267.42
346.15,261.29
341.4,254.87
340.54,253.7
336.66,247.82
333.14,242.49
336.66,244.49
341.4,247.19
341.98,247.52
346.15,249.83
350.89,252.83
355.64,257.46
359.85,261.58
360.38,262.1
365.13,266.74
369.87,271.37
374.62,276.01
379.36,280.65
384.11,284.97
388.85,287.32
389.58,287.5
393.6,288.53
394.69,288.8
398.34,289.73
400.64,290.94
403.09,292.23
407.83,295.42
411.14,297.64
412.58,298.6
417.32,301.76
422.07,304.92
422.57,305.25
426.81,307.65
431.33,310.21
431.56,310.08
433.76,308.83
436.19,307.45
436.3,307.38
438.62,306.07
441.05,304.69
441.05,304.69
443.48,303.31
445.79,301.99
445.9,301.93
448.24,300.45
450.54,299.14
450.62,299.03
452.5,297.1
454.39,295.17
455.28,294.25
456.27,293.25
460.03,296.06
464.77,299.6
469.52,303.15
471.37,304.54
474.26,307.04
479.01,311.12
483.75,315.17
488.5,319.19
493.24,323.16
496.64,326.0
497.99,326.93
502.73,330.8
507.48,334.95
512.22,338.7
515.21,340.76
512.22,335.84
507.75,329.49
507.48,329.14
502.73,323.02
497.99,316.12
497.69,315.62
493.24,308.16
492.39,306.51
491.93,302.25
489.8,296.3
488.5,292.84
487.51,290.2
502.31,286.5
506.93,291.4
515.43,294.98
528.55,296.73
541.67,298.48
542.01,298.6
541.94,305.81
552.53,313.02
554.79,314.56
556.43,320.23
558.53,327.44
561.79,334.65
567.9,339.08
581.02,340.7
590.47,341.86
594.14,342.31
607.26,346.14
614.08,349.07
620.38,354.4
622.59,356.28
629.87,363.49
633.5,365.98
646.61,368.61
650.65,370.7
659.73,375.39
663.6,377.9
672.85,383.92
674.72,385.11
685.78,392.32
685.97,392.44
696.88,399.53
699.09,402.51
712.2,406.72
712.3,406.74
725.32,410.17
738.44,413.07
751.12,413.95
751.56,413.98
764.68,420.28
768.26,421.16
777.8,425.25
790.91,425.2
804.03,426.6
808.38,428.37
817.15,431.51
830.27,432.59
843.39,432.99
856.5,431.3
866.53,428.37
869.62,427.46
879.48,421.16
882.74,417.72
886.07,413.95
892.44,406.74
895.86,402.88
899.79,399.53
908.63,392.32
908.98,392.04
918.96,385.11
922.1,382.94
928.55,377.9
935.21,371.74
936.25,370.7
943.42,363.49
948.33,358.54
950.34,356.28
956.39,349.07
958.21,341.86
959.87,334.65
961.45,327.8
961.54,327.44
963.3,320.23
965.07,313.02
966.83,305.81
969.58,298.6
974.57,293.38
976.46,291.4
982.7,284.19
987.2,276.98
987.69,276.07
991.05,269.77
994.91,262.56
998.76,255.35
1000.8,251.32
1005.81,248.14
1013.92,242.03
1015.38,240.93
1024.96,233.72
1027.04,231.78
1028.3,226.51
1027.04,223.88
1023.82,219.3
1021.38,212.1
1017.92,204.89
1016.74,197.68
1020.37,190.47
1023.68,183.26
1027.04,177.19
1027.61,176.05
1029.86,168.84
1031.78,161.63
1033.23,154.42
1033.65,147.21
1033.17,140.0
1031.71,132.8
1030.4,125.59
1028.04,118.38
1027.04,115.32
1025.68,111.17
1023.32,103.96
1022.38,96.75
1023.16,89.54
1023.92,82.33
1024.67,75.12
1025.33,67.91
1025.95,60.7
1026.57,53.5
1027.04,51.33
1028.14,46.29
1030.6,39.08
1033.06,31.87
1035.52,24.66
1037.51,17.45
1040.16,10.63
1040.32,10.24
1040.16,7.17
1039.89,3.03

