#: table_doi: 10.17182/hepdata.79538.v7/t56
#: name: AccSRC5
#: description: Acceptance for SRC5 for top squark pair production in the case where both top squarks decay via $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$.
#: data_file: AuxFigure7e.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: ACC
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(STOP1)-M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL ACCEPTANCE [PERCENT]
173.0,200.0,0.0
173.0,225.0,0.07
188.0,250.0,0.03
173.0,250.0,0.04
188.0,300.0,0.0
173.0,300.0,0.0
200.0,350.0,0.26
188.0,350.0,1.0
173.0,350.0,0.8
225.0,400.0,2.96
200.0,400.0,1.32
188.0,400.0,2.02
173.0,400.0,0.86
200.0,450.0,3.17
188.0,450.0,4.12
173.0,450.0,3.92
200.0,500.0,3.99
188.0,500.0,7.54
173.0,500.0,8.91
200.0,550.0,21.24
188.0,550.0,16.59
173.0,550.0,16.45
200.0,600.0,24.98
188.0,600.0,12.04
173.0,600.0,36.9
200.0,650.0,10.76
188.0,650.0,39.37
173.0,650.0,92.86
200.0,700.0,42.28
200.0,750.0,65.75
200.0,800.0,21.74
167.0,190.0,0.0
167.0,220.0,0.0
150.0,250.0,0.0
120.0,250.0,0.15
90.0,250.0,0.18
150.0,300.0,0.61
90.0,300.0,1.7
165.0,350.0,2.31
150.0,350.0,2.99
120.0,350.0,3.31
90.0,350.0,3.69
165.0,400.0,0.0
150.0,400.0,4.29
120.0,400.0,5.52
90.0,400.0,8.63
165.0,450.0,7.34
150.0,450.0,9.04
120.0,450.0,10.03
90.0,450.0,5.98
165.0,500.0,10.59
150.0,500.0,28.84
120.0,500.0,13.32
90.0,500.0,3.3
165.0,550.0,12.14
150.0,550.0,19.81
120.0,550.0,37.09
90.0,550.0,0.0
165.0,600.0,55.32
150.0,600.0,30.92
120.0,600.0,22.16
90.0,600.0,5.39
165.0,650.0,81.34
150.0,650.0,22.17
120.0,650.0,4.42
90.0,650.0,10.14

