#: table_doi: 10.17182/hepdata.79538.v7/t47
#: name: AccSRE
#: description: Acceptance for SRE for top squark pair production in the case where both top squarks decay via $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$.
#: data_file: AuxFigure6a_3.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: ACC
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL ACCEPTANCE [PERCENT]
100.0,1100.0,6.13
200.0,1100.0,5.45
50.0,1100.0,5.79
1.0,1150.0,6.16
100.0,1150.0,6.86
150.0,1150.0,5.96
200.0,1150.0,5.95
250.0,1150.0,6.07
300.0,1150.0,5.12
350.0,1150.0,4.87
50.0,1150.0,6.36
1.0,1200.0,7.23
100.0,1200.0,7.14
150.0,1200.0,6.67
200.0,1200.0,6.59
250.0,1200.0,7.07
300.0,1200.0,6.16
350.0,1200.0,5.81
400.0,1200.0,5.51
50.0,1200.0,7.04
1.0,1250.0,8.46
100.0,1250.0,7.56
150.0,1250.0,8.12
200.0,1250.0,7.51
250.0,1250.0,7.02
300.0,1250.0,6.74
350.0,1250.0,6.56
400.0,1250.0,6.11
450.0,1250.0,5.52
50.0,1250.0,8.03
500.0,1250.0,5.07
550.0,1250.0,4.32
1.0,1300.0,8.64
100.0,1300.0,8.87
150.0,1300.0,8.61
200.0,1300.0,8.29
250.0,1300.0,7.33
300.0,1300.0,7.96
350.0,1300.0,7.69
400.0,1300.0,6.94
450.0,1300.0,6.47
50.0,1300.0,8.7
500.0,1300.0,5.91
550.0,1300.0,5.32

