#: table_doi: 10.17182/hepdata.79538.v7/t63
#: name: EffSRATW
#: description: Efficiencies for SRA-TW for top squark pair production in the case where both top squarks decay via $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$.
#: data_file: AuxFigure9b_1.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: EFF
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL EFFICIENCY [PERCENT]
1.0,1000.0,57.72
100.0,1000.0,56.05
150.0,1000.0,56.6
200.0,1000.0,58.95
250.0,1000.0,60.12
300.0,1000.0,60.83
350.0,1000.0,61.56
400.0,1000.0,61.99
450.0,1000.0,70.66
500.0,1000.0,59.86
550.0,1000.0,67.12
600.0,1000.0,63.92
1.0,1050.0,53.37
100.0,1050.0,58.56
150.0,1050.0,59.91
200.0,1050.0,50.17
250.0,1050.0,55.85
300.0,1050.0,59.33
350.0,1050.0,65.45
400.0,1050.0,57.5
450.0,1050.0,70.17
50.0,1050.0,50.69
500.0,1050.0,62.91
550.0,1050.0,60.54
1.0,1100.0,51.96
150.0,1100.0,55.1
250.0,1100.0,60.58
300.0,1100.0,51.96
350.0,1100.0,55.02
400.0,1100.0,59.72
450.0,1100.0,66.47
500.0,1100.0,61.35
550.0,1100.0,58.8
400.0,1150.0,57.87
450.0,1150.0,56.1
500.0,1150.0,64.74
550.0,1150.0,63.08
450.0,1200.0,54.88
500.0,1200.0,55.48
550.0,1200.0,55.96
1.0,700.0,60.24
100.0,700.0,74.48
200.0,700.0,64.88
50.0,700.0,59.22
1.0,750.0,65.5
100.0,750.0,63.4
150.0,750.0,63.82
200.0,750.0,71.03
250.0,750.0,67.44
50.0,750.0,50.84
1.0,800.0,63.12
100.0,800.0,64.63
150.0,800.0,61.99
200.0,800.0,63.13
250.0,800.0,67.81
300.0,800.0,66.55
350.0,800.0,62.08
50.0,800.0,61.69
1.0,850.0,59.3
100.0,850.0,57.41
150.0,850.0,58.79
200.0,850.0,60.09
250.0,850.0,55.43
300.0,850.0,58.95
350.0,850.0,70.13
400.0,850.0,62.46
450.0,850.0,45.02
50.0,850.0,58.03
1.0,900.0,53.35
100.0,900.0,58.53
150.0,900.0,59.22
200.0,900.0,58.88
250.0,900.0,59.41
300.0,900.0,63.37
350.0,900.0,67.84
400.0,900.0,64.8
450.0,900.0,58.49
50.0,900.0,60.25
500.0,900.0,58.82
550.0,900.0,55.37
1.0,950.0,59.59
100.0,950.0,60.86
150.0,950.0,59.21
200.0,950.0,61.59
250.0,950.0,57.41
300.0,950.0,61.85
350.0,950.0,62.24
400.0,950.0,59.45
450.0,950.0,59.09
50.0,950.0,59.01
500.0,950.0,55.98
550.0,950.0,64.68
600.0,950.0,77.25

