#: table_doi: 10.17182/hepdata.79538.v7/t64
#: name: EffSRBTW
#: description: Efficiencies for SRB-TW for top squark pair production in the case where both top squarks decay via $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$.
#: data_file: AuxFigure9b_2.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: EFF
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL EFFICIENCY [PERCENT]
100.0,450.0,61.71
150.0,450.0,50.27
200.0,450.0,45.67
50.0,450.0,57.7
1.0,500.0,50.28
100.0,500.0,60.37
150.0,500.0,54.42
200.0,500.0,48.21
250.0,500.0,57.9
50.0,500.0,53.74
1.0,550.0,57.44
100.0,550.0,54.61
150.0,550.0,51.65
250.0,550.0,59.82
300.0,550.0,61.88
50.0,550.0,57.09
1.0,600.0,53.16
100.0,600.0,55.06
150.0,600.0,54.28
200.0,600.0,57.61
250.0,600.0,62.92
300.0,600.0,55.47
350.0,600.0,77.56
50.0,600.0,52.49
1.0,650.0,47.23
100.0,650.0,54.25
150.0,650.0,59.22
200.0,650.0,54.8
250.0,650.0,57.46
300.0,650.0,56.56
350.0,650.0,51.49
400.0,650.0,47.79
50.0,650.0,52.49
250.0,700.0,54.52
300.0,700.0,55.91
350.0,700.0,62.59
400.0,700.0,57.11
450.0,700.0,66.7
300.0,750.0,57.17
350.0,750.0,68.33
400.0,750.0,55.72
450.0,750.0,72.18
500.0,750.0,41.89
400.0,800.0,60.39
450.0,800.0,65.55
500.0,800.0,57.95
550.0,800.0,55.83
500.0,850.0,55.53
550.0,850.0,51.0
600.0,850.0,39.68
600.0,900.0,59.69

