#: table_doi: 10.17182/hepdata.79538.v7/t53
#: name: AccSRC2
#: description: Acceptance for SRC2 for top squark pair production in the case where both top squarks decay via $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$.
#: data_file: AuxFigure7b.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: ACC
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(STOP1)-M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL ACCEPTANCE [PERCENT]
173.0,200.0,0.64
173.0,225.0,1.52
188.0,250.0,9.03
173.0,250.0,5.03
188.0,300.0,34.33
173.0,300.0,68.65
200.0,350.0,35.95
188.0,350.0,41.83
173.0,350.0,85.87
225.0,400.0,22.55
200.0,400.0,36.55
188.0,400.0,42.83
173.0,400.0,32.77
200.0,450.0,39.54
188.0,450.0,42.84
173.0,450.0,22.98
200.0,500.0,27.48
188.0,500.0,30.62
173.0,500.0,18.59
200.0,550.0,24.91
188.0,550.0,24.28
173.0,550.0,19.86
200.0,600.0,25.8
188.0,600.0,18.9
173.0,600.0,11.89
200.0,650.0,17.44
188.0,650.0,21.6
173.0,650.0,11.96
200.0,700.0,34.9
200.0,750.0,0.0
200.0,800.0,0.0
167.0,190.0,0.93
167.0,220.0,2.66
150.0,250.0,13.44
120.0,250.0,12.02
90.0,250.0,1.28
150.0,300.0,23.08
90.0,300.0,1.06
165.0,350.0,28.8
150.0,350.0,16.53
120.0,350.0,3.96
90.0,350.0,0.96
165.0,400.0,17.13
150.0,400.0,11.16
120.0,400.0,4.67
90.0,400.0,1.97
165.0,450.0,22.01
150.0,450.0,8.16
120.0,450.0,3.96
90.0,450.0,1.96
165.0,500.0,9.53
150.0,500.0,8.97
120.0,500.0,0.0
90.0,500.0,0.0
165.0,550.0,16.55
150.0,550.0,0.0
120.0,550.0,0.0
90.0,550.0,0.0
165.0,600.0,7.98
150.0,600.0,8.95
120.0,600.0,0.0
90.0,600.0,0.0
165.0,650.0,9.78
150.0,650.0,5.27
120.0,650.0,0.0
90.0,650.0,0.0

