#: table_doi: 10.17182/hepdata.79538.v7/t61
#: name: EffSRBTT
#: description: Efficiencies for SRB-TT for top squark pair production in the case where both top squarks decay via $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$.
#: data_file: AuxFigure9a_2.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: EFF
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL EFFICIENCY [PERCENT]
100.0,450.0,39.29
150.0,450.0,47.65
200.0,450.0,26.63
50.0,450.0,49.48
1.0,500.0,42.45
100.0,500.0,43.71
150.0,500.0,44.92
200.0,500.0,41.49
250.0,500.0,41.8
50.0,500.0,45.62
1.0,550.0,45.17
100.0,550.0,41.63
150.0,550.0,46.59
250.0,550.0,40.39
300.0,550.0,26.75
50.0,550.0,47.08
1.0,600.0,45.29
100.0,600.0,51.32
150.0,600.0,42.89
200.0,600.0,42.37
250.0,600.0,45.3
300.0,600.0,46.34
350.0,600.0,48.93
50.0,600.0,46.81
1.0,650.0,47.62
100.0,650.0,43.11
150.0,650.0,46.82
200.0,650.0,46.87
250.0,650.0,40.64
300.0,650.0,52.03
350.0,650.0,47.13
400.0,650.0,44.47
50.0,650.0,47.39
250.0,700.0,46.79
300.0,700.0,54.74
350.0,700.0,45.68
400.0,700.0,47.23
450.0,700.0,37.65
300.0,750.0,48.13
350.0,750.0,44.4
400.0,750.0,45.08
450.0,750.0,50.23
500.0,750.0,34.97
400.0,800.0,50.59
450.0,800.0,46.85
500.0,800.0,41.43
550.0,800.0,39.69
500.0,850.0,44.75
550.0,850.0,41.87
600.0,850.0,36.85
600.0,900.0,47.91

