#: table_doi: 10.17182/hepdata.79538.v7/t58
#: name: AccSRDhigh
#: description: Acceptance for SRD-high for the natural SUSY-inspired mixed grid in which two decay modes are considered, the $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$ and $\tilde{t}\to b \tilde{\chi^{\pm}_{1}} \to b W^{(*)} \tilde{\chi^{0}_{1}}$, with $m(\tilde{\chi^{\pm}_{1}})-m(\tilde{\chi^{0}_{1}}) = 1$ GeV.
#: data_file: AuxFigure8a_2.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: ACC
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL ACCEPTANCE [PERCENT]
100.0,1000.0,3.38
150.0,1000.0,3.52
200.0,1000.0,3.92
250.0,1000.0,3.85
300.0,1000.0,2.88
350.0,1000.0,3.11
400.0,1000.0,2.74
450.0,1000.0,2.61
500.0,1000.0,2.31
550.0,1000.0,2.19
600.0,1000.0,1.72
100.0,1050.0,4.81
150.0,1050.0,4.72
200.0,1050.0,4.28
250.0,1050.0,4.33
300.0,1050.0,4.04
350.0,1050.0,3.37
400.0,1050.0,3.4
450.0,1050.0,3.62
500.0,1050.0,3.1
550.0,1050.0,2.23
100.0,1100.0,4.74
150.0,1100.0,4.92
200.0,1100.0,4.92
250.0,1100.0,4.68
300.0,1100.0,4.42
350.0,1100.0,4.84
400.0,1100.0,3.88
450.0,1100.0,3.63
500.0,1100.0,3.45
550.0,1100.0,3.25
100.0,1150.0,5.6
150.0,1150.0,4.94
200.0,1150.0,5.54
250.0,1150.0,5.27
300.0,1150.0,4.56
350.0,1150.0,4.63
400.0,1150.0,4.68
450.0,1150.0,4.4
500.0,1150.0,3.83
550.0,1150.0,3.54
100.0,1200.0,5.95
150.0,1200.0,5.66
200.0,1200.0,5.0
250.0,1200.0,5.36
300.0,1200.0,5.43
350.0,1200.0,5.41
400.0,1200.0,4.65
450.0,1200.0,4.18
500.0,1200.0,4.26
550.0,1200.0,3.83
100.0,1250.0,5.41
150.0,1250.0,5.62
200.0,1250.0,5.64
250.0,1250.0,5.08
300.0,1250.0,5.78
350.0,1250.0,5.92
400.0,1250.0,5.29
450.0,1250.0,4.44
500.0,1250.0,4.43
550.0,1250.0,4.68
100.0,1300.0,5.8
150.0,1300.0,5.9
200.0,1300.0,6.48
250.0,1300.0,6.33
300.0,1300.0,5.84
350.0,1300.0,5.81
400.0,1300.0,5.08
450.0,1300.0,5.24
500.0,1300.0,4.83
550.0,1300.0,4.94
100.0,300.0,0.01
100.0,500.0,0.47
100.0,550.0,0.75
150.0,550.0,0.47
100.0,600.0,0.95
150.0,600.0,0.87
250.0,600.0,0.54
300.0,600.0,0.35
100.0,650.0,1.18
150.0,650.0,1.17
200.0,650.0,1.02
250.0,650.0,0.59
300.0,650.0,0.64
350.0,650.0,0.47
100.0,700.0,1.98
200.0,700.0,1.42
250.0,700.0,1.2
300.0,700.0,0.83
350.0,700.0,0.69
400.0,700.0,0.43
450.0,700.0,0.26
100.0,750.0,1.95
150.0,750.0,1.45
200.0,750.0,1.98
250.0,750.0,1.7
300.0,750.0,1.29
350.0,750.0,1.17
400.0,750.0,0.83
450.0,750.0,0.54
500.0,750.0,0.24
550.0,750.0,0.15
100.0,800.0,2.33
150.0,800.0,2.33
200.0,800.0,2.13
250.0,800.0,2.12
300.0,800.0,1.86
350.0,800.0,1.36
400.0,800.0,1.32
450.0,800.0,0.9
500.0,800.0,0.58
100.0,850.0,3.08
150.0,850.0,3.0
200.0,850.0,2.58
250.0,850.0,2.46
300.0,850.0,1.97
350.0,850.0,2.17
400.0,850.0,1.7
450.0,850.0,1.38
500.0,850.0,1.02
550.0,850.0,0.67
100.0,900.0,3.24
150.0,900.0,3.3
200.0,900.0,3.04
250.0,900.0,2.63
300.0,900.0,2.55
350.0,900.0,2.24
400.0,900.0,1.91
450.0,900.0,1.97
500.0,900.0,1.55
550.0,900.0,1.13
600.0,900.0,0.7
100.0,950.0,4.27
150.0,950.0,3.83
200.0,950.0,3.78
250.0,950.0,3.43
300.0,950.0,3.46
350.0,950.0,3.26
400.0,950.0,2.51
450.0,950.0,1.99
500.0,950.0,1.76
550.0,950.0,1.47
600.0,950.0,1.31

