#: table_doi: 10.17182/hepdata.79538.v7/t72
#: name: EffSRDlow
#: description: Efficiencies for SRD-low for the natural SUSY-inspired mixed grid in which two decay modes are considered, the $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$ and $\tilde{t}\to b \tilde{\chi^{\pm}_{1}} \to b W^{(*)} \tilde{\chi^{0}_{1}}$, with $m(\tilde{\chi^{\pm}_{1}})-m(\tilde{\chi^{0}_{1}}) = 1$ GeV.
#: data_file: AuxFigure11a_1.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: EFF
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL EFFICIENCY [PERCENT]
150.0,350.0,51.66
100.0,400.0,35.8
150.0,400.0,44.4
200.0,400.0,43.29
150.0,450.0,41.65
200.0,450.0,42.04
250.0,450.0,49.06
150.0,500.0,40.44
200.0,500.0,38.35
250.0,500.0,47.68
300.0,500.0,43.56
250.0,550.0,38.49
300.0,550.0,41.21
350.0,550.0,42.97
200.0,600.0,44.38
350.0,600.0,38.31
400.0,600.0,49.07
400.0,650.0,39.52
450.0,650.0,50.71
500.0,700.0,48.67
550.0,800.0,36.16
600.0,800.0,50.06
600.0,850.0,47.91

