#: table_doi: 10.17182/hepdata.79538.v7/t67
#: name: EffSRC1
#: description: Efficiencies for SRC1 for top squark pair production in the case where both top squarks decay via $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$.
#: data_file: AuxFigure10a.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: EFF
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(STOP1)-M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL EFFICIENCY [PERCENT]
173.0,200.0,50.43
173.0,225.0,44.64
188.0,250.0,24.51
173.0,250.0,23.68
188.0,300.0,23.58
173.0,300.0,30.55
200.0,350.0,33.71
188.0,350.0,25.86
173.0,350.0,33.65
225.0,400.0,19.22
200.0,400.0,29.47
188.0,400.0,21.29
173.0,400.0,29.44
200.0,450.0,30.06
188.0,450.0,35.19
173.0,450.0,73.06
200.0,500.0,75.84
188.0,500.0,37.47
173.0,500.0,19.07
200.0,550.0,31.97
188.0,550.0,278.67
173.0,550.0,0.0
200.0,600.0,150.21
188.0,600.0,59.49
173.0,600.0,0.0
200.0,650.0,0.0
188.0,650.0,nan
173.0,650.0,0.0
200.0,700.0,nan
200.0,750.0,nan
200.0,800.0,0.0
167.0,190.0,33.38
167.0,220.0,35.02
150.0,250.0,11.41
120.0,250.0,8.04
90.0,250.0,nan
150.0,300.0,26.2
90.0,300.0,inf
165.0,350.0,24.73
150.0,350.0,23.97
120.0,350.0,81.73
90.0,350.0,nan
165.0,400.0,0.0
150.0,400.0,0.0
120.0,400.0,67.16
90.0,400.0,0.0
165.0,450.0,18.54
150.0,450.0,75.32
120.0,450.0,nan
90.0,450.0,nan
165.0,500.0,nan
150.0,500.0,nan
120.0,500.0,nan
90.0,500.0,nan
165.0,550.0,0.0
150.0,550.0,nan
120.0,550.0,nan
90.0,550.0,nan
165.0,600.0,nan
150.0,600.0,0.0
120.0,600.0,nan
90.0,600.0,nan
165.0,650.0,nan
150.0,650.0,0.0
120.0,650.0,nan
90.0,650.0,nan

