#: table_doi: 10.17182/hepdata.79538.v7/t74
#: name: EffSREGtc
#: description: Efficiencies for SRE for gluino pair production in the case where both gluinos decay via $\tilde{g}\to t \tilde{t} \to t\tilde{\chi^{0}_{1}}+$soft and $\Delta m(\tilde{t},\tilde{\chi^{0}_{1}})=5$ GeV.
#: data_file: AuxFigure11b.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: EFF
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  GLUINO GLUINO X
#: SQRT(S) [GEV],13000.0
M(NEUTRALINO1) [GEV],M(GLUINO) [GEV],SIGNAL EFFICIENCY [PERCENT]
600.0,1000.0,66.95
700.0,1000.0,88.57
750.0,1000.0,42.78
800.0,1000.0,13.82
750.0,1050.0,45.08
850.0,1050.0,54.28
500.0,1100.0,63.32
600.0,1100.0,56.38
650.0,1100.0,73.5
700.0,1100.0,53.06
800.0,1100.0,57.2
900.0,1100.0,43.22
1000.0,1200.0,47.38
300.0,1200.0,54.04
400.0,1200.0,54.75
500.0,1200.0,61.09
600.0,1200.0,63.85
700.0,1200.0,58.68
800.0,1200.0,54.59
900.0,1200.0,67.8
750.0,1250.0,63.12
1000.0,1300.0,60.52
300.0,1300.0,47.66
400.0,1300.0,52.4
500.0,1300.0,57.42
600.0,1300.0,54.33
700.0,1300.0,62.54
800.0,1300.0,63.3
900.0,1300.0,55.05
1000.0,1400.0,48.17
300.0,1400.0,50.19
400.0,1400.0,51.69
500.0,1400.0,54.12
600.0,1400.0,58.98
700.0,1400.0,56.54
800.0,1400.0,55.53
900.0,1400.0,70.09
1000.0,1500.0,67.86
1100.0,1500.0,60.2
1200.0,1500.0,57.97
1300.0,1500.0,22.08
1400.0,1500.0,nan
300.0,1500.0,47.75
400.0,1500.0,49.62
500.0,1500.0,50.87
600.0,1500.0,54.54
700.0,1500.0,55.93
800.0,1500.0,55.48
900.0,1500.0,56.15
1000.0,1600.0,58.19
1100.0,1600.0,70.29
1200.0,1600.0,68.68
1300.0,1600.0,91.18
1400.0,1600.0,nan
300.0,1600.0,42.44
400.0,1600.0,47.5
500.0,1600.0,47.41
600.0,1600.0,50.58
700.0,1600.0,53.3
800.0,1600.0,53.75
900.0,1600.0,52.58
1000.0,1700.0,55.28
1100.0,1700.0,54.98
1200.0,1700.0,65.48
1300.0,1700.0,70.17
1400.0,1700.0,43.8
300.0,1700.0,43.12
400.0,1700.0,46.28
500.0,1700.0,49.11
600.0,1700.0,48.83
700.0,1700.0,51.23
800.0,1700.0,52.02
900.0,1700.0,55.4
1000.0,1800.0,53.62
1100.0,1800.0,54.12
1200.0,1800.0,55.14
1300.0,1800.0,70.18
1400.0,1800.0,61.12
300.0,1800.0,40.53
400.0,1800.0,40.3
500.0,1800.0,45.12
600.0,1800.0,47.97
700.0,1800.0,46.41
800.0,1800.0,47.95
900.0,1800.0,51.95
1000.0,1900.0,52.54
1100.0,1900.0,49.13
1200.0,1900.0,60.4
1300.0,1900.0,57.91
1400.0,1900.0,68.39
300.0,1900.0,40.65
400.0,1900.0,40.76
500.0,1900.0,41.97
600.0,1900.0,47.92
700.0,1900.0,48.07
800.0,1900.0,48.69
900.0,1900.0,54.67
1000.0,2000.0,54.03
1100.0,2000.0,52.49
1200.0,2000.0,52.72
1300.0,2000.0,57.02
1400.0,2000.0,58.59
300.0,2000.0,39.3
400.0,2000.0,41.95
500.0,2000.0,44.6
600.0,2000.0,44.19
700.0,2000.0,44.38
800.0,2000.0,47.28
900.0,2000.0,50.86
600.0,800.0,80.53
650.0,850.0,93.06
650.0,900.0,84.56
700.0,900.0,59.11
650.0,950.0,35.05
700.0,950.0,55.59
750.0,950.0,61.77

