#: table_doi: 10.17182/hepdata.79538.v7/t69
#: name: EffSRC3
#: description: Efficiencies for SRC3 for top squark pair production in the case where both top squarks decay via $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$.
#: data_file: AuxFigure10c.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: EFF
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(STOP1)-M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL EFFICIENCY [PERCENT]
173.0,200.0,31.1
173.0,225.0,47.26
188.0,250.0,58.31
173.0,250.0,63.17
188.0,300.0,42.79
173.0,300.0,54.68
200.0,350.0,51.58
188.0,350.0,39.04
173.0,350.0,44.97
225.0,400.0,46.09
200.0,400.0,56.7
188.0,400.0,49.07
173.0,400.0,40.32
200.0,450.0,45.83
188.0,450.0,42.86
173.0,450.0,49.02
200.0,500.0,29.9
188.0,500.0,48.23
173.0,500.0,58.04
200.0,550.0,40.65
188.0,550.0,52.57
173.0,550.0,51.43
200.0,600.0,37.37
188.0,600.0,36.19
173.0,600.0,53.89
200.0,650.0,64.2
188.0,650.0,82.36
173.0,650.0,44.32
200.0,700.0,56.84
200.0,750.0,26.14
200.0,800.0,53.57
167.0,190.0,53.43
167.0,220.0,29.93
150.0,250.0,34.87
120.0,250.0,28.44
90.0,250.0,12.58
150.0,300.0,26.23
90.0,300.0,19.43
165.0,350.0,44.6
150.0,350.0,37.51
120.0,350.0,30.35
90.0,350.0,32.31
165.0,400.0,35.95
150.0,400.0,43.39
120.0,400.0,36.79
90.0,400.0,0.0
165.0,450.0,30.92
150.0,450.0,42.37
120.0,450.0,25.57
90.0,450.0,0.0
165.0,500.0,46.64
150.0,500.0,48.34
120.0,500.0,0.0
90.0,500.0,0.0
165.0,550.0,75.76
150.0,550.0,86.67
120.0,550.0,28.24
90.0,550.0,53.02
165.0,600.0,46.3
150.0,600.0,85.28
120.0,600.0,74.78
90.0,600.0,84.07
165.0,650.0,26.22
150.0,650.0,0.0
120.0,650.0,0.0
90.0,650.0,0.0

