#: table_doi: 10.17182/hepdata.79538.v7/t45
#: name: AccSRATT
#: description: Acceptance for SRA-TT for top squark pair production in the case where both top squarks decay via $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$.
#: data_file: AuxFigure6a_1.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: ACC
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL ACCEPTANCE [PERCENT]
1.0,1000.0,7.41
100.0,1000.0,7.14
150.0,1000.0,6.76
200.0,1000.0,7.01
250.0,1000.0,6.37
300.0,1000.0,5.91
350.0,1000.0,5.38
400.0,1000.0,4.73
450.0,1000.0,4.4
500.0,1000.0,2.92
550.0,1000.0,2.1
600.0,1000.0,1.43
1.0,1050.0,8.23
100.0,1050.0,8.02
150.0,1050.0,8.08
200.0,1050.0,7.45
250.0,1050.0,6.94
300.0,1050.0,6.47
350.0,1050.0,6.25
400.0,1050.0,5.77
450.0,1050.0,4.98
50.0,1050.0,8.24
500.0,1050.0,4.04
550.0,1050.0,3.42
1.0,1100.0,8.78
150.0,1100.0,8.32
250.0,1100.0,7.84
300.0,1100.0,8.05
350.0,1100.0,7.26
400.0,1100.0,7.44
450.0,1100.0,5.63
500.0,1100.0,5.37
550.0,1100.0,3.91
400.0,1150.0,7.21
450.0,1150.0,6.52
500.0,1150.0,6.08
550.0,1150.0,5.66
450.0,1200.0,7.77
500.0,1200.0,7.28
550.0,1200.0,6.43
1.0,700.0,2.43
100.0,700.0,2.3
200.0,700.0,1.54
50.0,700.0,2.31
1.0,750.0,3.38
100.0,750.0,2.87
150.0,750.0,2.86
200.0,750.0,2.43
250.0,750.0,1.92
50.0,750.0,3.29
1.0,800.0,4.16
100.0,800.0,3.99
150.0,800.0,3.59
200.0,800.0,3.29
250.0,800.0,2.63
300.0,800.0,2.11
350.0,800.0,1.45
50.0,800.0,4.11
1.0,850.0,5.16
100.0,850.0,5.11
150.0,850.0,4.39
200.0,850.0,4.17
250.0,850.0,3.62
300.0,850.0,3.1
350.0,850.0,2.41
400.0,850.0,1.94
450.0,850.0,1.05
50.0,850.0,4.82
1.0,900.0,5.94
100.0,900.0,5.6
150.0,900.0,5.24
200.0,900.0,5.39
250.0,900.0,4.45
300.0,900.0,3.99
350.0,900.0,3.49
400.0,900.0,2.59
450.0,900.0,2.14
50.0,900.0,5.72
500.0,900.0,1.3
550.0,900.0,0.64
1.0,950.0,6.55
100.0,950.0,6.64
150.0,950.0,6.12
200.0,950.0,5.99
250.0,950.0,5.41
300.0,950.0,4.85
350.0,950.0,4.32
400.0,950.0,3.73
450.0,950.0,3.11
50.0,950.0,6.7
500.0,950.0,2.33
550.0,950.0,1.38
600.0,950.0,0.76

