#: table_doi: 10.17182/hepdata.79538.v7/t66
#: name: EffSRBT0
#: description: Efficiencies for SRB-T0 for top squark pair production in the case where both top squarks decay via $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$.
#: data_file: AuxFigure9c_2.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: EFF
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL EFFICIENCY [PERCENT]
100.0,450.0,38.74
150.0,450.0,43.39
200.0,450.0,36.68
50.0,450.0,42.37
1.0,500.0,45.26
100.0,500.0,43.44
150.0,500.0,42.03
200.0,500.0,38.71
250.0,500.0,44.07
50.0,500.0,45.17
1.0,550.0,48.75
100.0,550.0,48.39
150.0,550.0,44.82
250.0,550.0,38.01
300.0,550.0,41.06
50.0,550.0,46.51
1.0,600.0,45.93
100.0,600.0,43.11
150.0,600.0,43.38
200.0,600.0,42.13
250.0,600.0,45.14
300.0,600.0,42.27
350.0,600.0,37.41
50.0,600.0,47.76
1.0,650.0,48.04
100.0,650.0,45.14
150.0,650.0,44.69
200.0,650.0,47.51
250.0,650.0,41.51
300.0,650.0,44.88
350.0,650.0,40.63
400.0,650.0,37.46
50.0,650.0,46.88
250.0,700.0,49.16
300.0,700.0,44.78
350.0,700.0,43.67
400.0,700.0,42.7
450.0,700.0,45.13
300.0,750.0,47.58
350.0,750.0,46.13
400.0,750.0,42.69
450.0,750.0,42.93
500.0,750.0,39.86
400.0,800.0,45.46
450.0,800.0,44.23
500.0,800.0,43.49
550.0,800.0,33.43
500.0,850.0,43.07
550.0,850.0,44.99
600.0,850.0,40.31
600.0,900.0,50.48

