#: table_doi: 10.17182/hepdata.79538.v7/t49
#: name: AccSRBTW
#: description: Acceptance for SRB-TW for top squark pair production in the case where both top squarks decay via $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$.
#: data_file: AuxFigure6b_2.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: ACC
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL ACCEPTANCE [PERCENT]
100.0,450.0,0.6
150.0,450.0,0.37
200.0,450.0,0.14
50.0,450.0,0.79
1.0,500.0,1.44
100.0,500.0,1.04
150.0,500.0,0.87
200.0,500.0,0.57
250.0,500.0,0.18
50.0,500.0,1.23
1.0,550.0,1.87
100.0,550.0,1.7
150.0,550.0,1.39
250.0,550.0,0.62
300.0,550.0,0.23
50.0,550.0,1.61
1.0,600.0,2.35
100.0,600.0,2.34
150.0,600.0,1.79
200.0,600.0,1.61
250.0,600.0,1.12
300.0,600.0,0.73
350.0,600.0,0.25
50.0,600.0,2.2
1.0,650.0,2.95
100.0,650.0,2.64
150.0,650.0,2.53
200.0,650.0,2.12
250.0,650.0,1.75
300.0,650.0,1.37
350.0,650.0,0.84
400.0,650.0,0.35
50.0,650.0,2.75
250.0,700.0,2.6
300.0,700.0,2.15
350.0,700.0,1.46
400.0,700.0,0.95
450.0,700.0,0.37
300.0,750.0,2.66
350.0,750.0,1.91
400.0,750.0,1.85
450.0,750.0,0.91
500.0,750.0,0.52
400.0,800.0,2.23
450.0,800.0,1.77
500.0,800.0,1.22
550.0,800.0,0.45
500.0,850.0,1.85
550.0,850.0,1.08
600.0,850.0,0.46
600.0,900.0,1.28

