#: table_doi: 10.17182/hepdata.79538.v7/t57
#: name: AccSRDlow
#: description: Acceptance for SRD-low for the natural SUSY-inspired mixed grid in which two decay modes are considered, the $\tilde{t}\to t^{(*)} \tilde{\chi^{0}_{1}}$ and $\tilde{t}\to b \tilde{\chi^{\pm}_{1}} \to b W^{(*)} \tilde{\chi^{0}_{1}}$, with $m(\tilde{\chi^{\pm}_{1}})-m(\tilde{\chi^{0}_{1}}) = 1$ GeV.
#: data_file: AuxFigure8a_1.yaml
#: data_license:   
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword reactions: P P -->  STOP STOP X
#: keyword observables: ACC
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,P P -->  STOP STOP X
#: SQRT(S) [GEV],13000.0
M(NEUTRALINO1) [GEV],M(STOP1) [GEV],SIGNAL ACCEPTANCE [PERCENT]
150.0,350.0,0.08
100.0,400.0,0.28
150.0,400.0,0.19
200.0,400.0,0.13
150.0,450.0,0.36
200.0,450.0,0.26
250.0,450.0,0.16
150.0,500.0,0.55
200.0,500.0,0.5
250.0,500.0,0.27
300.0,500.0,0.21
250.0,550.0,0.63
300.0,550.0,0.41
350.0,550.0,0.24
200.0,600.0,0.96
350.0,600.0,0.5
400.0,600.0,0.26
400.0,650.0,0.53
450.0,650.0,0.3
500.0,700.0,0.41
550.0,800.0,0.63
600.0,800.0,0.44
600.0,850.0,0.64

