#: table_doi: 10.17182/hepdata.91127.v1/t13
#: name: Expected Limit 3LeRJR (Up)
#: description: Plus 1$\sigma$ uncertainty, due to uncertainties in the background prediction and experimental uncertainties affecting the signal, on the expected exclusion contour on C1N2 production assuming on-shell $W/Z$ decays as a function of the C1/N2 and N1 masses, and derived from the combined fit of low-mass and ISR regions.
#: data_file: Expected_Limit_3LeRJR_(Up).yaml
#: keyword reaction: P P --> CHARGINO NEUTRALINO
#: keyword observables: CLS
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Electroweak | Proton-Proton Scattering
#: cmenergies [GeV],13000
#: reaction,P P --> CHARGINO NEUTRALINO
$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right)$ [GeV],$m\left(\widetilde{\chi}^{0}_{1}\right)$ [GeV]
102.42,32.339
105.94,33.511
106.57,33.854
110.71,36.362
114.85,39.339
118.99,42.536
123.13,45.693
123.81,46.232
127.27,49.386
131.41,53.168
135.56,56.798
139.7,60.446
143.84,64.349
147.98,68.481
152.12,72.782
156.26,77.196
160.4,81.562
164.55,85.761
168.69,89.772
172.83,93.63
176.97,97.384
181.11,101.08
185.25,104.77
189.39,108.47
193.54,112.21
197.68,116.01
201.82,119.84
205.96,123.63
209.26,126.53
210.1,127.25
214.24,130.62
218.38,133.77
222.53,136.78
226.67,139.72
229.91,142.03
230.81,142.65
234.95,145.65
239.09,148.8
243.23,152.1
247.37,155.51
251.52,158.94
253.97,160.94
255.66,162.27
259.8,165.47
263.94,168.63
268.08,171.78
272.22,174.97
276.36,178.23
276.64,178.46
280.51,181.52
284.65,184.92
288.79,188.41
292.93,191.94
297.07,195.36
301.21,198.48
303.02,199.69
305.35,201.02
309.49,203.17
313.64,205.33
314.04,205.56
317.78,207.24
321.92,209.29
324.09,210.45
326.06,211.28
330.2,213.17
333.47,214.68
334.34,214.95
338.48,216.15
340.59,216.65
342.63,216.66
345.59,216.5
346.77,216.11
349.44,215.19
350.91,214.29
352.72,213.33
355.05,211.87
355.98,211.43
359.19,210.27
359.8,210.1
363.33,209.41
364.1,209.26
367.47,208.56
368.34,208.34
371.62,207.31
372.23,207.08
375.72,205.42
375.76,205.4
378.84,203.39
379.9,202.52
381.62,201.02
384.04,198.39
384.09,198.33
386.34,195.43
388.18,192.64
388.39,192.33
390.35,189.14
392.26,185.9
392.32,185.79
394.19,182.67
396.05,179.38
396.46,178.6
397.87,176.06
399.62,172.65
400.61,170.57
401.3,169.18
402.91,165.64
404.44,162.01
404.75,161.2
405.91,158.33
407.29,154.57
408.6,150.72
408.89,149.75
409.84,146.81
411.01,142.82
412.1,138.76
413.03,135.03
413.13,134.65
414.17,130.53
415.21,126.42
416.33,122.39
417.17,119.7
417.57,118.48
418.94,114.7
420.32,110.93
421.31,108.06
421.64,107.1
422.88,103.18
423.99,99.146
425.0,95.0
425.45,92.907
425.91,90.763
426.75,86.446
427.51,82.055
428.2,77.598
428.84,73.083
429.42,68.515
429.6,67.035
429.96,63.902
430.46,59.243
430.9,54.541
431.31,49.795
431.67,45.007
432.0,40.179
432.28,35.311
432.53,30.405
432.73,25.462
432.91,20.482
433.04,15.464
433.13,10.408
433.19,5.3144
433.22,0.1851

