#: table_doi: 10.17182/hepdata.91127.v1/t27
#: name: Upper Limits
#: description: Upper limits on observed (expected) wino-bino simplified model signal cross section $\sigma_\text{obs(exp)}^\text{95}$.
#: data_file: Upper_Limits.yaml
#: keyword reaction: P P --> CHARGINO NEUTRALINO
#: keyword observables: CLS | SIG
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Electroweak | Proton-Proton Scattering
#: cmenergies [GeV],13000
#: reaction,P P --> CHARGINO NEUTRALINO
$m(\tilde{\chi}^\pm_1/\tilde{\chi}^0_2)$ [GeV],$m(\tilde{\chi}^0_1)$ [GeV],$\sigma_\text{obs}^\text{95}$ [pb],error +,error -
100.0,20.0,29.796,,-
100.0,30.0,50.461,,-
100.0,40.0,67.365,,-
100.0,60.0,173.595,,-
110.0,20.0,12.116,,-
110.0,30.0,27.832,,-
110.0,40.0,42.397,,-
110.0,50.0,63.494,,-
110.0,70.0,617.959,,-
125.0,35.0,6.182,,-
125.0,45.0,20.527,,-
125.0,55.0,30.331,,-
125.0,65.0,54.419,,-
125.0,85.0,537.059,,-
140.0,50.0,4.473,,-
140.0,60.0,17.806,,-
140.0,70.0,30.046,,-
140.0,80.0,44.736,,-
140.0,100.0,416.554,,-
150.0,1.0,1.288,,-
150.0,50.0,2.826,,-
150.0,60.0,3.766,,-
150.0,70.0,13.76,,-
150.0,80.0,28.425,,-
150.0,90.0,56.224,,-
150.0,110.0,144.269,,-
200.0,1.0,0.556,,-
200.0,50.0,0.627,,-
200.0,100.0,1.605,,-
200.0,110.0,1.722,,-
200.0,120.0,6.144,,-
200.0,130.0,29.396,,-
200.0,140.0,32.722,,-
200.0,160.0,126.43,,-
250.0,1.0,0.359,,-
250.0,50.0,0.4,,-
250.0,100.0,0.481,,-
250.0,150.0,1.178,,-
250.0,170.0,5.5,,-
250.0,190.0,35.918,,-
300.0,100.0,0.317,,-
300.0,150.0,0.427,,-
300.0,200.0,0.99,,-
300.0,220.0,3.814,,-
300.0,240.0,40.243,,-
350.0,0.0,0.217,,-
350.0,50.0,0.235,,-
350.0,100.0,0.245,,-
350.0,150.0,0.283,,-
350.0,200.0,0.424,,-
350.0,250.0,0.859,,-
350.0,270.0,2.859,,-
350.0,290.0,31.677,,-
400.0,0.0,0.183,,-
400.0,100.0,0.213,,-
400.0,200.0,0.279,,-
400.0,300.0,0.756,,-
450.0,50.0,0.167,,-
450.0,150.0,0.182,,-
450.0,250.0,0.283,,-
500.0,0.0,0.156,,-
500.0,50.0,0.147,,-
500.0,100.0,0.16,,-
500.0,150.0,0.176,,-
500.0,200.0,0.183,,-
500.0,300.0,0.242,,-

#: cmenergies [GeV],13000
#: reaction,P P --> CHARGINO NEUTRALINO
$m(\tilde{\chi}^\pm_1/\tilde{\chi}^0_2)$ [GeV],$m(\tilde{\chi}^0_1)$ [GeV],$\sigma_\text{exp}^\text{95}$ [pb],error +,error -
100.0,20.0,19.308,,-
100.0,30.0,32.414,,-
100.0,40.0,43.075,,-
100.0,60.0,103.282,,-
110.0,20.0,7.806,,-
110.0,30.0,17.728,,-
110.0,40.0,27.632,,-
110.0,50.0,39.266,,-
110.0,70.0,272.283,,-
125.0,35.0,3.911,,-
125.0,45.0,13.427,,-
125.0,55.0,20.567,,-
125.0,65.0,34.018,,-
125.0,85.0,247.026,,-
140.0,50.0,2.841,,-
140.0,60.0,10.992,,-
140.0,70.0,19.344,,-
140.0,80.0,27.811,,-
140.0,100.0,228.14,,-
150.0,1.0,0.88,,-
150.0,50.0,1.808,,-
150.0,60.0,2.382,,-
150.0,70.0,8.526,,-
150.0,80.0,17.328,,-
150.0,90.0,34.82,,-
150.0,110.0,78.834,,-
200.0,1.0,0.391,,-
200.0,50.0,0.433,,-
200.0,100.0,1.009,,-
200.0,110.0,1.084,,-
200.0,120.0,3.856,,-
200.0,130.0,17.658,,-
200.0,140.0,20.767,,-
200.0,160.0,71.021,,-
250.0,1.0,0.26,,-
250.0,50.0,0.283,,-
250.0,100.0,0.324,,-
250.0,150.0,0.73,,-
250.0,170.0,3.42,,-
250.0,190.0,21.579,,-
300.0,100.0,0.225,,-
300.0,150.0,0.288,,-
300.0,200.0,0.611,,-
300.0,220.0,2.371,,-
300.0,240.0,22.381,,-
350.0,0.0,0.161,,-
350.0,50.0,0.171,,-
350.0,100.0,0.178,,-
350.0,150.0,0.199,,-
350.0,200.0,0.281,,-
350.0,250.0,0.523,,-
350.0,270.0,1.821,,-
350.0,290.0,18.139,,-
400.0,0.0,0.136,,-
400.0,100.0,0.156,,-
400.0,200.0,0.196,,-
400.0,300.0,0.468,,-
450.0,50.0,0.124,,-
450.0,150.0,0.134,,-
450.0,250.0,0.2,,-
500.0,0.0,0.115,,-
500.0,50.0,0.112,,-
500.0,100.0,0.12,,-
500.0,150.0,0.129,,-
500.0,200.0,0.135,,-
500.0,300.0,0.171,,-

