#: table_doi: 10.17182/hepdata.91127.v1/t20
#: name: Efficiency SR-ISR dMgeq100
#: description: Signal efficiency in SR-ISR, for signals with $m(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}) - m\widetilde{\chi}^{0}_{1} \geq 100$ GeV.
#: data_file: Efficiency_SR-ISR_dMgeq100.yaml
#: keyword reaction: P P --> CHARGINO NEUTRALINO
#: keyword observables: EFF
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Electroweak | Proton-Proton Scattering
#: cmenergies [GeV],,,,,13000
#: reaction,,,,,P P --> CHARGINO NEUTRALINO
#: region,,,,,SR-ISR
$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right) $[GeV],$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right) $[GeV] LOW,$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right) $[GeV] HIGH,$m\left(\widetilde{\chi}^{0}_{1}\right) $[GeV],$m\left(\widetilde{\chi}^{0}_{1}\right) $[GeV] LOW,$m\left(\widetilde{\chi}^{0}_{1}\right) $[GeV] HIGH,Signal Efficiency [%]
100.0,100.0,150.0,0.0,0.0,50.0,15.2
150.0,150.0,200.0,1.0,0.0,50.0,7.73
200.0,200.0,250.0,1.0,0.0,50.0,8.17
250.0,250.0,300.0,1.0,0.0,50.0,7.48
350.0,350.0,400.0,0.0,0.0,50.0,7.31
400.0,400.0,450.0,0.0,0.0,50.0,9.05
500.0,500.0,550.0,0.0,0.0,50.0,9.28
150.0,150.0,200.0,50.0,50.0,100.0,9.86
200.0,200.0,250.0,50.0,50.0,100.0,7.36
250.0,250.0,300.0,50.0,50.0,100.0,8.05
350.0,350.0,400.0,50.0,50.0,100.0,7.61
450.0,450.0,500.0,50.0,50.0,100.0,8.75
500.0,500.0,550.0,50.0,50.0,100.0,7.31
200.0,200.0,250.0,100.0,100.0,150.0,9.0
250.0,250.0,300.0,100.0,100.0,150.0,8.45
300.0,300.0,350.0,100.0,100.0,150.0,7.05
350.0,350.0,400.0,100.0,100.0,150.0,7.73
400.0,400.0,450.0,100.0,100.0,150.0,7.25
500.0,500.0,550.0,100.0,100.0,150.0,7.88
250.0,250.0,300.0,150.0,150.0,200.0,8.8
300.0,300.0,350.0,150.0,150.0,200.0,7.18
350.0,350.0,400.0,150.0,150.0,200.0,7.63
450.0,450.0,500.0,150.0,150.0,200.0,7.8
500.0,500.0,550.0,150.0,150.0,200.0,8.9
300.0,300.0,350.0,200.0,200.0,250.0,7.0
350.0,350.0,400.0,200.0,200.0,250.0,8.07
400.0,400.0,450.0,200.0,200.0,250.0,8.0
500.0,500.0,550.0,200.0,200.0,250.0,7.68
350.0,350.0,400.0,250.0,250.0,300.0,7.48
450.0,450.0,500.0,250.0,250.0,300.0,8.08
400.0,400.0,450.0,300.0,300.0,350.0,6.51
500.0,500.0,550.0,300.0,300.0,350.0,8.89

