#: table_doi: 10.17182/hepdata.91127.v1/t9
#: name: Observed Limit 3LeRJR
#: description: Observed exclusion contour on C1N2 production assuming on-shell $W/Z$ decays as a function of the C1/N2 and N1 masses, and derived from the combined fit of low-mass and ISR regions.
#: data_file: Observed_Limit_3LeRJR.yaml
#: keyword reaction: P P --> CHARGINO NEUTRALINO
#: keyword observables: CLS
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Electroweak | Proton-Proton Scattering
#: cmenergies [GeV],13000
#: reaction,P P --> CHARGINO NEUTRALINO
$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right)$ [GeV],$m\left(\widetilde{\chi}^{0}_{1}\right)$ [GeV]
102.42,16.541
106.57,20.391
110.71,24.571
114.85,29.033
118.99,33.565
123.13,37.957
127.27,42.14
131.41,46.111
135.56,49.929
139.7,53.717
143.84,57.54
147.98,61.365
152.12,65.078
156.26,68.56
157.23,69.353
160.4,71.723
164.55,74.85
168.69,78.068
172.83,81.432
176.97,84.989
181.11,88.79
185.25,92.876
189.39,97.252
193.54,101.8
197.68,106.13
201.82,109.67
204.24,111.21
205.96,111.61
210.1,112.79
211.59,113.41
214.24,114.36
218.38,116.31
221.09,117.76
222.53,118.52
226.67,120.8
230.81,123.19
232.93,124.44
234.95,125.57
239.09,127.9
243.23,130.15
244.4,130.76
247.37,132.19
251.52,134.03
253.75,134.97
255.66,135.67
259.8,137.11
261.69,137.75
263.94,138.37
268.08,139.48
268.75,139.66
272.22,140.34
275.16,140.92
276.36,141.05
280.51,141.56
281.02,141.63
284.65,141.77
286.43,141.88
288.79,141.73
291.3,141.61
292.93,141.25
295.53,140.68
297.07,140.03
299.12,139.12
301.21,137.8
302.28,137.13
305.2,134.89
305.35,134.75
307.96,132.51
309.49,131.04
310.62,130.02
313.2,127.44
313.64,126.96
315.71,124.81
317.78,122.44
318.13,122.07
320.44,119.23
321.92,117.13
322.59,116.23
324.57,113.06
326.06,110.24
326.36,109.69
327.97,106.15
329.4,102.43
330.2,99.97
330.67,98.552
331.81,94.541
332.82,90.399
333.71,86.136
334.34,82.592
334.49,81.766
335.18,77.301
335.77,72.74
336.27,68.089
336.69,63.358
337.04,58.558
337.35,53.711
337.63,48.844
337.94,44.004
338.34,39.248
338.48,37.949
338.87,34.629
339.55,30.152
340.32,25.779
341.16,21.465
342.02,17.175
342.63,14.16
342.89,12.89
343.74,8.5862
344.53,4.2288

