#: table_doi: 10.17182/hepdata.91127.v1/t12
#: name: Observed Limit 3LeRJR (Down)
#: description: Minus 1$\sigma$ uncertainty, varying the signal cross section within its uncertainty, on the observed exclusion contour on C1N2 production assuming on-shell $W/Z$ decays as a function of the C1/N2 and N1 masses, and derived from the combined fit of low-mass and ISR regions.
#: data_file: Observed_Limit_3LeRJR_(Down).yaml
#: keyword reaction: P P --> CHARGINO NEUTRALINO
#: keyword observables: CLS
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Electroweak | Proton-Proton Scattering
#: cmenergies [GeV],13000
#: reaction,P P --> CHARGINO NEUTRALINO
$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right)$ [GeV],$m\left(\widetilde{\chi}^{0}_{1}\right)$ [GeV]
102.42,15.746
106.57,19.7
110.71,23.953
114.85,28.467
118.99,33.046
123.13,37.48
127.27,41.683
131.41,45.666
135.56,49.498
139.7,53.295
143.84,57.104
147.98,60.894
152.12,64.545
153.95,66.073
156.26,67.83
160.4,70.874
164.55,73.925
168.69,77.073
172.83,80.372
176.54,83.506
176.97,83.861
181.11,87.535
185.25,91.5
189.39,95.811
193.54,100.47
194.12,101.09
197.68,104.76
198.4,105.37
201.82,107.44
205.96,108.68
207.31,109.13
210.1,109.97
214.24,111.73
215.87,112.54
218.38,113.82
222.53,116.01
226.67,118.3
226.93,118.45
230.81,120.55
234.95,122.8
238.17,124.54
239.09,125.0
243.23,127.03
247.37,128.94
248.02,129.23
251.52,130.62
255.66,132.16
256.34,132.41
259.8,133.44
263.58,134.49
263.94,134.56
268.08,135.38
269.98,135.73
272.22,135.94
275.65,136.25
276.36,136.24
280.51,136.18
280.73,136.18
284.65,135.67
285.29,135.6
288.79,134.62
289.33,134.48
292.85,132.85
292.93,132.8
295.97,130.82
297.07,129.9
298.81,128.5
301.21,126.22
301.45,126.0
303.99,123.38
305.35,121.82
306.42,120.67
308.78,117.87
309.49,116.93
311.05,114.99
313.22,112.01
313.64,111.37
315.28,108.91
317.18,105.66
317.78,104.47
318.92,102.26
320.5,98.686
321.92,94.938
321.92,94.947
323.19,91.069
324.32,87.044
325.31,82.885
326.06,79.185
326.18,78.605
326.95,74.221
327.61,69.732
328.18,65.148
328.66,60.476
329.06,55.728
329.4,50.918
329.7,46.066
329.98,41.195
330.2,37.582
330.28,36.339
330.62,31.529
331.03,26.789
331.52,22.127
332.08,17.532
332.68,12.982
333.3,8.4527
333.92,3.9206
334.34,0.6356

