#: table_doi: 10.17182/hepdata.91127.v1/t23
#: name: Acceptance SR-ISR dMlt100
#: description: Signal acceptance in SR-ISR, for signals with $m(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}) - m\widetilde{\chi}^{0}_{1} < 100$ GeV.
#: data_file: Acceptance_SR-ISR_dMlt100.yaml
#: keyword reaction: P P --> CHARGINO NEUTRALINO
#: keyword observables: ACC
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Electroweak | Proton-Proton Scattering
#: cmenergies [GeV],,,,,13000
#: reaction,,,,,P P --> CHARGINO NEUTRALINO
#: region,,,,,SR-ISR
$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right) $[GeV],$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right) $[GeV] LOW,$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right) $[GeV] HIGH,$m\left(\widetilde{\chi}^{0}_{1}\right) $[GeV],$m\left(\widetilde{\chi}^{0}_{1}\right) $[GeV] LOW,$m\left(\widetilde{\chi}^{0}_{1}\right) $[GeV] HIGH,Signal Acceptance [$10^{-3}$]
100.0,100.0,105.0,60.0,60.0,65.0,0.00979
140.0,140.0,145.0,60.0,60.0,65.0,0.117
150.0,150.0,155.0,60.0,60.0,65.0,0.483
125.0,125.0,130.0,65.0,65.0,70.0,0.0352
110.0,110.0,115.0,70.0,70.0,75.0,0.0113
140.0,140.0,145.0,70.0,70.0,75.0,0.0554
150.0,150.0,155.0,70.0,70.0,75.0,0.176
140.0,140.0,145.0,80.0,80.0,85.0,0.0512
150.0,150.0,155.0,80.0,80.0,85.0,0.0715
125.0,125.0,130.0,85.0,85.0,90.0,0.00475
150.0,150.0,155.0,90.0,90.0,95.0,0.0291
140.0,140.0,145.0,100.0,100.0,105.0,0.013
150.0,150.0,155.0,110.0,110.0,115.0,0.0147
200.0,200.0,205.0,110.0,110.0,115.0,1.09
200.0,200.0,205.0,120.0,120.0,125.0,0.284
200.0,200.0,205.0,130.0,130.0,135.0,0.0775
200.0,200.0,205.0,140.0,140.0,145.0,0.0694
200.0,200.0,205.0,160.0,160.0,165.0,0.0171
250.0,250.0,255.0,170.0,170.0,175.0,0.354
250.0,250.0,255.0,190.0,190.0,195.0,0.0379
300.0,300.0,305.0,220.0,220.0,225.0,0.529
300.0,300.0,305.0,240.0,240.0,245.0,0.0843
350.0,350.0,355.0,270.0,270.0,275.0,0.56
350.0,350.0,355.0,290.0,290.0,295.0,0.088

