#: table_doi: 10.17182/hepdata.91127.v1/t19
#: name: Acceptance SR-ISR dMgeq100
#: description: Signal acceptance in SR-ISR, for signals with $m(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}) - m\widetilde{\chi}^{0}_{1} \geq 100$ GeV.
#: data_file: Acceptance_SR-ISR_dMgeq100.yaml
#: keyword reaction: P P --> CHARGINO NEUTRALINO
#: keyword observables: ACC
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Electroweak | Proton-Proton Scattering
#: cmenergies [GeV],,,,,13000
#: reaction,,,,,P P --> CHARGINO NEUTRALINO
#: region,,,,,SR-ISR
$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right) $[GeV],$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right) $[GeV] LOW,$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right) $[GeV] HIGH,$m\left(\widetilde{\chi}^{0}_{1}\right) $[GeV],$m\left(\widetilde{\chi}^{0}_{1}\right) $[GeV] LOW,$m\left(\widetilde{\chi}^{0}_{1}\right) $[GeV] HIGH,Signal Acceptance [$10^{-3}$]
100.0,100.0,150.0,0.0,0.0,50.0,0.0273
150.0,150.0,200.0,1.0,0.0,50.0,0.533
200.0,200.0,250.0,1.0,0.0,50.0,0.854
250.0,250.0,300.0,1.0,0.0,50.0,0.879
350.0,350.0,400.0,0.0,0.0,50.0,1.12
400.0,400.0,450.0,0.0,0.0,50.0,1.07
500.0,500.0,550.0,0.0,0.0,50.0,1.12
150.0,150.0,200.0,50.0,50.0,100.0,0.367
200.0,200.0,250.0,50.0,50.0,100.0,0.967
250.0,250.0,300.0,50.0,50.0,100.0,1.07
350.0,350.0,400.0,50.0,50.0,100.0,1.32
450.0,450.0,500.0,50.0,50.0,100.0,1.06
500.0,500.0,550.0,50.0,50.0,100.0,1.04
200.0,200.0,250.0,100.0,100.0,150.0,0.788
250.0,250.0,300.0,100.0,100.0,150.0,1.33
300.0,300.0,350.0,100.0,100.0,150.0,1.21
350.0,350.0,400.0,100.0,100.0,150.0,1.26
400.0,400.0,450.0,100.0,100.0,150.0,1.37
500.0,500.0,550.0,100.0,100.0,150.0,1.24
250.0,250.0,300.0,150.0,150.0,200.0,1.31
300.0,300.0,350.0,150.0,150.0,200.0,1.62
350.0,350.0,400.0,150.0,150.0,200.0,1.65
450.0,450.0,500.0,150.0,150.0,200.0,1.4
500.0,500.0,550.0,150.0,150.0,200.0,1.21
300.0,300.0,350.0,200.0,200.0,250.0,1.95
350.0,350.0,400.0,200.0,200.0,250.0,1.69
400.0,400.0,450.0,200.0,200.0,250.0,1.62
500.0,500.0,550.0,200.0,200.0,250.0,1.34
350.0,350.0,400.0,250.0,250.0,300.0,2.21
450.0,450.0,500.0,250.0,250.0,300.0,1.62
400.0,400.0,450.0,300.0,300.0,350.0,2.88
500.0,500.0,550.0,300.0,300.0,350.0,1.65

