#: table_doi: 10.17182/hepdata.91127.v1/t14
#: name: Expected Limit 3LeRJR (Down)
#: description: Minus 1$\sigma$ uncertainty, due to uncertainties in the background prediction and experimental uncertainties affecting the signal, on the expected exclusion contour on C1N2 production assuming on-shell $W/Z$ decays as a function of the C1/N2 and N1 masses, and derived from the combined fit of low-mass and ISR regions.
#: data_file: Expected_Limit_3LeRJR_(Down).yaml
#: keyword reaction: P P --> CHARGINO NEUTRALINO
#: keyword observables: CLS
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Electroweak | Proton-Proton Scattering
#: cmenergies [GeV],13000
#: reaction,P P --> CHARGINO NEUTRALINO
$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right)$ [GeV],$m\left(\widetilde{\chi}^{0}_{1}\right)$ [GeV]
102.42,17.359
106.57,21.155
110.71,25.307
114.85,29.749
118.99,34.24
123.13,38.593
127.27,42.776
131.41,46.79
135.56,50.665
139.7,54.515
143.84,58.407
147.98,62.289
152.12,66.025
156.26,69.495
160.4,72.714
161.26,73.378
164.55,75.696
168.69,78.8
172.83,82.131
176.97,85.736
181.11,89.656
185.25,93.921
189.39,98.519
193.54,103.3
197.68,107.82
201.82,111.38
205.96,113.86
207.76,114.73
210.1,114.87
214.24,116.23
214.55,116.37
218.38,117.87
222.53,120.11
224.97,121.64
226.67,122.65
230.81,125.33
234.95,128.22
239.09,131.24
241.44,132.96
243.23,134.16
247.37,136.74
251.52,138.96
253.58,139.94
255.66,140.75
259.8,142.24
261.71,142.92
263.94,143.51
268.08,144.63
268.77,144.83
272.22,145.39
274.93,145.83
276.36,145.85
280.1,145.85
280.51,145.78
284.4,145.01
284.65,144.91
288.04,143.49
288.79,143.03
291.22,141.53
292.93,140.23
294.18,139.33
297.02,137.02
297.07,136.97
299.79,134.63
301.21,133.21
302.4,132.1
304.89,129.43
305.35,128.86
307.26,126.65
309.49,123.75
309.5,123.74
311.64,120.73
313.64,117.58
313.64,117.59
315.52,114.31
317.24,110.88
317.78,109.65
318.82,107.3
320.24,103.57
321.5,99.679
321.92,98.149
322.62,95.648
323.61,91.485
324.47,87.197
325.22,82.798
325.88,78.304
326.06,76.855
326.46,73.73
326.96,69.083
327.4,64.367
327.77,59.584
328.07,54.74
328.33,49.842
328.54,44.903
328.73,39.942
328.92,34.982
329.14,30.047
329.4,25.154
329.7,20.308
330.04,15.498
330.2,13.358
330.41,10.709
330.77,5.9225
331.12,1.1201

