#: table_doi: 10.17182/hepdata.81996.v1/t13
#: name: Table 13
#: description: Expected 95% CL exclusion limit for chargino-pair production.
#: data_file: fig_08a_Expected.yaml
#: data_license:   
#: keyword reactions: P P --> Chargino1 Chargino1
#: keyword observables: GIVE KEY FOR Y-AXIS VARIABLE
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#$m(\widetilde{\chi}_1^\pm)$ [GEV],$m(\widetilde{\chi}_1^0)$ [GEV]
744.005116635,295.2625
759.054237973,285.2875
759.375,284.819819079
764.817912714,275.3125
771.603980324,265.3375
778.125,257.276247745
779.767773404,255.3625
785.888596552,245.3875
789.170600865,235.4125
792.452608808,225.4375
795.804988997,215.4625
796.875,211.996509637
799.140711169,205.4875
803.953087088,195.5125
808.249083007,185.5375
813.180205541,175.5625
815.625,170.77270613
818.271619783,165.5875
823.363047254,155.6125
826.453711683,145.6375
826.970344557,135.6625
828.101180018,125.6875
829.467536962,115.7125
831.228728252,105.7375
832.781620796,95.7625
834.048798518,85.7875
834.375,83.2196993506
835.315975498,75.8125
836.583153963,65.8375
839.273662842,55.8625
841.286343128,45.8875
843.324008224,35.9125
844.934427042,25.9375
846.497612491,15.9625
848.060792931,5.9875
126.042703393,5.9875
126.577112465,15.9625
127.914822276,25.9375
130.316298021,35.9125
135.887940732,45.8875
140.625,49.4604287014
159.375,49.4604287014
166.355980996,55.8625
177.692325459,65.8375
178.125,66.1903507407
189.089841515,75.8125
196.875,82.644331601
200.083654047,85.7875
210.266476355,95.7625
215.625,101.617837009
219.318173582,105.7375
227.524052903,115.7125
234.375,121.001730886
248.148722124,125.6875
253.125,127.380411271
271.875,128.675779837
278.774674579,135.6625
286.187897567,145.6375
290.625,149.082230661
298.960293296,155.6125
309.375,163.646644844
312.841906848,165.5875
324.445323784,175.5625
328.125,178.895302407
340.042856314,185.5375
346.875,194.059888433
349.342507578,195.5125
364.936857631,205.4875
365.625,206.657813153
377.077113416,215.4625
384.375,221.07330769
390.247022769,225.4375
403.125,235.008641001
403.781494312,235.4125
419.996381838,245.3875
421.875,245.989022901
440.625,251.992666057
446.81472235,255.3625
459.027026365,265.3375
459.375,265.632490939
472.519562097,275.3125
478.125,280.532748009
487.787255464,285.2875
495.645783945,295.2625
496.875,296.445936238
514.846240397,305.2375
515.625,306.622448217
534.375,314.184173197
536.924831897,315.2125
553.125,321.745898178
561.658771637,325.1875
571.875,328.975199055
590.625,333.827521354
596.007129234,335.1625
609.375,338.478255018
628.125,343.128993114
638.143086252,345.1375
646.875,347.595880808
653.636384649,345.1375
665.625,338.605794654
671.797539262,335.1625
684.375,328.31382883
690.116446353,325.1875
703.125,318.104090385
708.435353444,315.2125
721.875,307.89435194
726.754260535,305.2375
740.625,297.216992185
744.005116635,295.2625

