#: table_doi: 10.17182/hepdata.81996.v1/t16
#: name: Table 16
#: description: Observed 95% CL exclusion limit for direct slepton production.
#: data_file: fig_08b_Observed.yaml
#: data_license:   
#: keyword reactions: P P --> Slepton Slepton
#: keyword observables: GIVE KEY FOR Y-AXIS VARIABLE
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#$m(\tilde{\ell})$ [GEV],$m(\widetilde{\chi}_1^0)$ [GEV]
500.832769803,285.2875
500.561877788,275.3125
500.251414311,265.3375
499.939789157,255.3625
500.998255927,245.3875
503.649592948,235.4125
506.300931782,225.4375
508.969869226,215.4625
511.648018913,205.4875
512.5,201.511072072
513.78741997,195.5125
515.258688605,185.5375
516.729964382,175.5625
517.470174619,165.5875
518.289733495,155.6125
518.275568542,145.6375
517.125156083,135.6625
516.099086566,125.6875
514.453201222,115.7125
512.756145388,105.7375
513.096096914,95.7625
516.194132717,85.7875
519.292164816,75.8125
522.800416153,65.8375
525.798453845,55.8625
524.294939667,45.8875
518.424381291,35.9125
512.642714302,25.9375
512.5,25.6939622789
506.711981546,15.9625
501.334604624,5.9875
89.6028151776,5.9875
92.5,10.7024817566
107.5,10.7024817566
111.223437676,15.9625
117.336388206,25.9375
122.5,35.0471356265
122.961861463,35.9125
127.979102744,45.8875
134.581903719,55.8625
137.5,61.8451849263
140.422739014,65.8375
148.39551481,75.8125
152.5,80.3768347869
159.969374463,85.7875
166.323983015,95.7625
167.5,97.0790904794
176.726158096,105.7375
182.5,113.183475355
185.992654567,115.7125
195.522791809,125.6875
197.5,128.322357598
208.759793594,135.6625
212.5,141.073757246
218.167894232,145.6375
227.5,150.999679387
233.529493565,155.6125
242.5,161.441345102
248.028428363,165.5875
257.5,172.054388465
263.634058309,175.5625
272.5,180.527462835
281.446431342,185.5375
287.5,189.550238845
302.5,194.416657381
305.904355577,195.5125
317.5,202.094501508
323.477513677,205.4875
332.5,214.082072582
334.146267729,215.4625
347.5,225.08622488
348.153379843,225.4375
362.5,233.15064079
364.205250572,235.4125
375.962076818,245.3875
377.5,245.864184799
392.5,248.515449761
407.5,251.17394473
422.5,253.982978838
426.310702069,255.3625
434.064115135,265.3375
436.607464269,275.3125
437.5,276.69071268
452.5,277.643705403
467.5,276.13633426
479.122451047,285.2875
482.5,287.94687969
491.791206056,295.2625
497.5,297.800718901
500.938412527,295.2625
500.832769803,285.2875

