#: table_doi: 10.17182/hepdata.81726.v1/t10
#: name: Exclusion contour 3 (obs.)
#: description: Observed 95% CL exclusion contours on the gluino and lightest neutralino masses in a SUSY scenario where gluinos are produced in pairs and decay to an on- or off-shell $Z$ boson and the lightest neutralino.
#: data_file: limitsFig13aObs.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Inclusive | Limits | Exclusion | Gluino | Neutralino | Proton-Proton Scattering
#: SQRT(S) [GEV],13000.0
'M(GLUINO) [GEV]','M(NEUTRALINO1) [GEV]'
600.0,581.119856515
603.706729232,584.242424242
609.609696519,589.664098052
616.666666667,595.165313112
621.134473747,598.569194577
626.145594888,603.588072727
633.333333333,610.955197128
645.974230138,622.980460606
647.629667921,624.587446539
650.0,628.131365954
652.916893269,632.446254714
662.209315688,642.424242424
666.666666667,647.705702622
679.123952878,661.818181818
683.333333333,666.590809581
696.150220615,681.212121212
700.0,685.210810181
713.93621104,700.606060606
716.666666667,703.179108248
732.914365664,720.0
733.333333333,720.363966718
750.0,736.045833558
753.334249952,739.393939394
766.666666667,751.056556728
775.342278167,758.787878788
783.333333333,765.664150842
798.272400568,778.181818182
800.0,779.768334294
816.666666667,793.721467366
821.761373942,797.575757576
833.333333333,808.286107751
843.872468954,816.96969697
850.0,823.454762636
864.149461961,836.363636364
866.666666667,839.272165033
883.333333333,855.716052178
883.382280501,855.757575758
900.0,872.590020914
902.693825891,875.151515152
916.666666667,889.356142464
921.772802852,894.545454545
933.333333333,905.300351941
942.532953004,913.939393939
950.0,919.653635392
966.666666667,931.618195632
969.653511027,933.333333333
983.333333333,939.642690226
1000.0,944.980492418
1016.66666667,947.533446828
1033.33333333,946.503714646
1050.0,939.534860981
1056.63553045,933.333333333
1063.44347214,913.939393939
1061.87197485,894.545454545
1055.14333556,875.151515152
1050.0,865.457178978
1044.5649134,855.757575758
1033.33333333,837.824179196
1032.41487001,836.363636364
1021.32554402,816.96969697
1016.66666667,807.295106877
1012.5423518,797.575757576
1010.26891225,791.269144824
1000.0,781.579511508
996.92281263,778.119563636
993.760798457,774.072788642
1000.0,777.399178845
1001.42937022,778.119563636
1016.66666667,785.854347086
1033.33333333,793.731658546
1041.36507067,797.511951515
1050.0,801.873204466
1066.66666667,810.319049103
1079.72876437,816.904339394
1083.33333333,818.951210331
1100.0,828.222939563
1115.38481788,836.296727273
1116.66666667,837.062943847
1133.33333333,846.242678215
1150.0,854.289425671
1153.26177631,855.689115152
1166.66666667,861.962274025
1183.33333333,868.520903711
1200.0,874.074386265
1203.44723211,875.08150303
1216.66666667,879.131796635
1233.33333333,883.560911913
1250.0,887.519257575
1266.66666667,891.179495756
1282.46702303,894.473890909
1283.33333333,894.661212403
1300.0,898.068769211
1316.66666667,901.325952123
1333.33333333,904.417718149
1350.0,907.286902842
1366.66666667,909.840699117
1383.33333333,911.959238511
1400.0,913.506284125
1407.43478174,913.866278788
1416.66666667,914.332183729
1433.33333333,914.313188996
1441.2201559,913.866278788
1450.0,913.323018958
1466.66666667,911.212276474
1483.33333333,907.858494611
1500.0,903.112984288
1516.66666667,896.797350079
1521.71822329,894.473890909
1533.33333333,888.321999956
1550.0,877.429965269
1553.09878417,875.08150303
1566.66666667,862.837647569
1573.512699,855.689115152
1583.33333333,843.154976426
1588.15632547,836.296727273
1599.10686631,816.904339394
1600.0,814.954730262
1607.49443353,797.511951515
1614.04853496,778.119563636
1616.66666667,768.513291215
1619.24709634,758.727175758
1623.44258532,739.334787879
1626.85853985,719.9424
1629.67529237,700.550012121
1632.02599124,681.157624242
1633.33333333,668.441605425
1634.02981069,661.765236364
1635.77938319,642.372848485
1637.29471224,622.980460606
1638.62836661,603.588072727
1639.83441163,584.195684848
1640.97015094,564.80329697
1642.09269498,545.410909091
1643.25079021,526.018521212
1644.4743701,506.626133333
1645.76623161,487.233745455
1647.10033779,467.841357576
1648.42845888,448.448969697
1649.69270041,429.056581818
1650.0,423.914092689
1650.88995038,409.664193939
1651.93958394,390.271806061
1652.79975761,370.879418182
1653.46653506,351.487030303
1653.95079899,332.094642424
1654.27118711,312.702254545
1654.44716995,293.309866667
1654.49500874,273.917478788
1654.42848316,254.525090909
1654.26430405,235.13270303
1654.03012303,215.740315152
1653.77215946,196.347927273
1653.55969439,176.955539394
1653.48427236,157.563151515
1653.65211453,138.170763636
1654.16961863,118.778375758
1655.12459676,99.3859878788
1656.56920521,79.9936

