#: table_doi: 10.17182/hepdata.81726.v1/t19
#: name: Exclusion contour 7 (exp.)
#: description: Expected 95% CL exclusion contours from the on-Z signal regions on the gluino and lightest neutralino masses in a SUSY scenario where gluinos are produced in pairs and decay to an on-shell Z-boson and the lightest neutralino.
#: data_file: limitsFig15Exp.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Inclusive | Limits | Exclusion | Gluino | Neutralino | Proton-Proton Scattering
#: SQRT(S) [GEV],13000.0
'M(GLUINO) [GEV]','M(NEUTRALINO1) [GEV]'
1125.79776292,641.65302286
1135.85858586,640.962409613
1150.50505051,639.935398064
1165.15151515,638.868036296
1179.7979798,637.747173908
1187.85940757,637.100686869
1194.44444444,636.594003213
1209.09090909,635.402099011
1223.73737374,634.115707169
1238.38383838,632.71238192
1253.03030303,631.161276398
1267.67676768,629.422276192
1282.32323232,627.445657768
1296.96969697,625.171787791
1311.61616162,622.530441306
1326.26262626,619.439490974
1330.55828518,618.401714927
1340.90909091,615.826523856
1355.55555556,611.544356917
1370.2020202,606.443649622
1384.84848485,600.366320784
1386.25918368,599.702742985
1399.49494949,593.041423886
1414.14141414,584.285742012
1418.95775097,581.003771044
1428.78787879,573.691456823
1442.04708055,562.304799102
1443.43434343,560.993031082
1458.08080808,545.642141352
1459.85036251,543.60582716
1472.72727273,527.273265749
1474.46080321,524.906855219
1486.97938111,506.207883277
1487.37373737,505.570192839
1498.07383807,487.508911336
1502.02020202,480.302732411
1508.13428171,468.809939394
1516.66666667,451.571418455
1517.37596288,450.110967452
1526.04316735,431.411995511
1531.31313131,419.319467492
1534.1580419,412.713023569
1541.84679752,394.014051627
1545.95959596,383.509000244
1549.13738218,375.315079686
1556.0847123,356.616107744
1560.60606061,343.798087289
1562.66614449,337.917135802
1568.94194975,319.218163861
1574.74812636,300.519191919
1575.25252525,298.798873789
1580.22293555,281.820219978
1585.15348673,263.121248036
1589.50331522,244.422276094
1589.8989899,242.520967071
1593.44108227,225.723304153
1596.86561395,207.024332211
1599.85418377,188.325360269
1602.53856033,169.626388328
1604.54545455,154.88234073
1605.10956447,150.927416386
601.639918912,487.508911336
608.585858586,491.957453041
623.232323232,502.330877796
628.208722552,506.207883277
637.878787879,513.491630132
651.481742191,524.906855219
652.525252525,525.784130748
667.171717172,538.774213581
672.303598108,543.60582716
681.818181818,552.768213732
691.411333686,562.304799102
696.464646465,567.521210119
709.508245793,581.003771044
711.111111111,582.729097343
725.757575758,598.03444193
727.40864851,599.702742985
740.404040404,613.12003352
745.707336399,618.401714927
755.050505051,627.826689088
764.576628427,637.100686869
769.696969697,642.140774735
783.962871758,655.79965881
784.343434343,656.170145496
798.98989899,669.863565201
804.011126397,674.498630752
813.636363636,683.560708116
823.976486219,693.197602694
828.282828283,697.283190322
842.929292929,710.898373863
844.046243976,711.896574635
857.575757576,724.096686314
864.95477643,730.595546577
872.222222222,737.095711677
886.322247548,749.294518519
886.868686869,749.783604458
901.515151515,761.791612513
909.551420004,767.99349046
916.161616162,773.386395359
930.808080808,784.234940988
934.661477768,786.692462402
945.454545455,794.116494298
960.101010101,802.822582775
965.748073225,805.391434343
974.747474747,809.911230415
989.393939394,814.809855159
1004.04040404,816.685876071
1018.68686869,813.979723616
1031.8865212,805.391434343
1033.33333333,804.141269981
1045.49287486,786.692462402
1047.97979798,781.880107209
1053.74783153,767.99349046
1060.11911229,749.294518519
1062.62626263,741.204906907
1065.8494836,730.595546577
1071.96138631,711.896574635
1077.27272727,698.432912709
1079.56799686,693.197602694
1090.35552445,674.498630752
1091.91919192,672.431732203
1106.56565657,656.189922638
1106.98114364,655.79965881
1121.21212121,644.900062507
1125.91910661,641.802190533
1122.0945659,637.100686869
1125.79776292,641.65302286

