#: table_doi: 10.17182/hepdata.81726.v1/t16
#: name: Exclusion contour 6 (obs.)
#: description: Observed 95% CL exclusion contours from the on-Z signal regions on the squark and next-to-lightest neutralino masses in a SUSY scenario where squarks are produced in pairs and decay to an on-shell Z-boson and a 1 GeV lightest neutralino.
#: data_file: limitsFig14bObs.yaml
#: data_license:   
#: keyword reactions: P P --> SQUARK SQUARK X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Inclusive | Limits | Exclusion | Squark | Neutralino | Proton-Proton Scattering
#: SQRT(S) [GEV],13000.0
'M(SQUARK) [GEV]','M(NEUTRALINO2) [GEV]'
1206.58523516,457.789308396
1206.6641978,456.799919192
1207.93719785,437.000541889
1208.93824165,417.201164587
1209.09090909,413.425167978
1209.74755697,397.401787285
1210.42471966,377.602409982
1211.04310968,357.80303268
1211.64872079,338.003655377
1212.21678596,318.204278075
1212.63215918,298.404900772
1212.70830152,278.60552347
1212.23990363,258.806146168
1211.06538379,239.006768865
1209.11875225,219.207391563
1209.09090909,218.998452925
1206.65851458,199.40801426
1203.74616505,179.608636958
1200.66097545,159.809259655
608.585858586,628.585858586
613.085809656,633.085809656
623.232323232,643.232323232
632.901002105,652.901002105
637.878787879,657.878787879
652.406726114,672.406726114
652.525252525,672.525252525
667.171717172,687.171717172
671.889865015,691.889865015
681.818181818,701.818181818
691.201137948,711.201137948
696.464646465,716.464646465
710.519110237,730.519110237
711.111111111,731.111111111
725.757575758,745.757575758
730.297424932,750.297424932
740.404040404,760.404040404
750.280559407,770.280559407
755.050505051,775.050505051
769.696969697,789.696969697
770.304725686,790.304725686
784.343434343,804.343434343
790.409270493,810.409270493
798.98989899,818.98989899
810.353394295,830.353394295
813.636363636,833.636363636
828.282828283,848.282828283
830.422960455,850.422960455
842.929292929,862.929292929
850.662029451,870.662029451
857.575757576,877.575757576
870.870978201,890.870978201
872.222222222,892.222222222
886.868686869,906.868686869
891.319228302,911.319228302
901.515151515,921.515151515
911.838403364,931.838403364
916.161616162,936.161616162
930.808080808,950.808080808
932.368251183,952.368251183
945.454545455,965.454545455
952.921234076,972.921234076
960.101010101,980.101010101
973.336228981,993.336228981
974.747474747,994.747474747
989.393939394,1009.39393939
994.162400313,1014.16240031
1004.04040404,1024.04040404
1015.06170479,1035.06170479
1018.68686869,1038.68686869
1033.33333333,1053.33333333
1036.08103336,1056.08103336
1047.97979798,1067.97979798
1057.42101914,1077.42101914
1062.62626263,1082.62626263
1077.27272727,1097.27272727
1079.13796628,1099.13796628
1091.91919192,1111.91919192
1101.99488224,1121.99488224
1106.56565657,1126.56565657
1121.21212121,1141.21212121
1125.19992451,1145.19992451
1135.85858586,1155.85858586
1148.1403401,1168.1403401
1150.50505051,1170.50505051
1165.15151515,1185.15151515
1171.24662163,1191.24662163
1179.7979798,1199.7979798
1194.44444444,1214.44444444
1195.14492956,1215.14492956
1209.09090909,1229.09090909
1221.74390167,1241.74390167
1223.73737374,1243.73737374
1238.38383838,1258.38383838
1251.40899151,1271.40899151
1253.03030303,1273.03030303
1267.67676768,1287.67676768
1282.32323232,1302.32323232
1290.13374583,1310.13374583
1296.96969697,1316.96969697
1334.62,1354.02
1340.26,1360.46
1354.08,1374.18
1353.91,1373.62
1352.05,1372.38
1351.63,1371.58
1350.66,1149.78
1349.62747101,1129.97874747
1347.2071805,1110.17937017
1343.75504389,1090.37999287
1340.90909091,1076.85497918
1339.60206277,1070.58061557
1335.26817862,1050.78123827
1331.18109423,1030.98186096
1327.82047822,1011.18248366
1326.26262626,997.769741718
1325.54091669,991.383106358
1324.35914004,971.583729055
1323.97097344,951.784351753
1324.04190744,931.98497445
1324.22222367,912.185597148
1324.20885259,892.386219846
1323.77391005,872.586842543
1322.77111562,852.787465241
1321.13372911,832.988087938
1318.87182588,813.188710636
1316.06569064,793.389333333
1312.8468093,773.589956031
1311.61616162,766.562248538
1309.45181262,753.790578728
1305.98315478,733.991201426
1302.47081318,714.191824124
1298.92061411,694.392446821
1296.96969697,683.744606253
1295.35635966,674.593069519
1291.72927789,654.793692216
1287.86520589,634.994314914
1283.70243224,615.194937611
1282.32323232,608.999961901
1279.39863398,595.395560309
1274.9411355,575.596183007
1270.37456141,555.796805704
1268.17424097,546.052668014
1267.67676768,545.331589967
1261.24628596,535.997428402
1253.03030303,524.129565534
1247.56978406,516.198051099
1238.38383838,502.897055335
1233.94618192,496.398673797
1223.73737374,481.752031833
1220.1904005,476.599296494
1209.09090909,461.276690839
1205.87436196,456.799919192
1206.58523516,457.789308396

