#: table_doi: 10.17182/hepdata.81726.v1/t11
#: name: Exclusion contour 3 (exp.)
#: description: Expected 95% CL exclusion contours on the gluino and lightest neutralino masses in a SUSY scenario where gluinos are produced in pairs and decay to an on- or off-shell $Z$ boson and the lightest neutralino.
#: data_file: limitsFig13aExp.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Inclusive | Limits | Exclusion | Gluino | Neutralino | Proton-Proton Scattering
#: SQRT(S) [GEV],13000.0
'M(GLUINO) [GEV]','M(NEUTRALINO1) [GEV]'
600.0,580.706488777
604.276902818,584.242424242
613.787683721,592.921020731
614.144638043,593.199282145
616.666666667,595.860165459
624.362436468,603.588072727
633.333333333,612.77951437
643.998565385,622.980460606
650.0,628.821670802
651.147593743,629.828973267
651.277297591,630.020840992
662.648507185,642.424242424
666.666666667,647.225548596
679.344558259,661.818181818
683.333333333,666.359243931
696.211110095,681.212121212
700.0,685.150381359
713.920932761,700.606060606
716.666666667,703.193139666
732.885904961,720.0
733.333333333,720.388854446
750.0,736.059889091
753.332531827,739.393939394
766.666666667,751.041942401
775.395614462,758.787878788
783.333333333,765.609144556
798.385828681,778.181818182
800.0,779.663310296
816.666666667,793.596950027
821.910114336,797.575757576
833.333333333,808.199037942
843.818068008,816.96969697
850.0,823.587119917
863.533830631,836.363636364
866.666666667,840.042658201
881.672462878,855.757575758
883.333333333,857.7288111
898.879645136,875.151515152
900.0,876.396707866
916.079211194,894.545454545
916.666666667,895.123572891
933.333333333,912.144698126
935.025306291,913.939393939
950.0,926.470394008
958.540316593,933.333333333
966.666666667,938.769235427
983.333333333,948.216754604
993.704171768,952.727272727
1000.0,955.454059928
1016.66666667,960.510106205
1033.33333333,964.283742542
1050.0,966.905152661
1066.66666667,967.51952963
1083.33333333,961.143315457
1088.96438186,952.727272727
1093.88242629,933.333333333
1093.66708,913.939393939
1089.9739632,894.545454545
1083.33333333,876.526896574
1082.82059972,875.151515152
1071.59663433,855.757575758
1066.66666667,849.157890795
1055.9143669,836.363636364
1050.0,829.938564172
1037.08315872,816.96969697
1033.33333333,812.923200728
1026.08559932,804.798626421
1026.57914241,805.190656238
1033.33333333,808.683664638
1050.0,816.741128059
1050.3354511,816.904339394
1066.66666667,825.659925008
1083.33333333,834.114795699
1087.77870911,836.296727273
1100.0,843.004083494
1116.66666667,851.268614725
1126.61078558,855.689115152
1133.33333333,858.965232489
1150.0,865.999492995
1166.66666667,871.875697007
1177.21904226,875.08150303
1183.33333333,877.025834347
1200.0,881.638769974
1216.66666667,885.654436156
1233.33333333,889.301208495
1250.0,892.744278741
1258.60321485,894.473890909
1266.66666667,896.14585298
1283.33333333,899.536872317
1300.0,902.890526903
1316.66666667,906.206793074
1333.33333333,909.447868153
1350.0,912.54157268
1357.94547782,913.866278788
1366.66666667,915.388169561
1383.33333333,917.838358141
1400.0,919.754295392
1416.66666667,921.007869784
1433.33333333,921.47650317
1450.0,921.044344726
1466.66666667,919.598740934
1483.33333333,917.023103159
1497.22107128,913.866278788
1500.0,913.163658612
1516.66666667,907.708704321
1533.33333333,900.54580136
1544.70802823,894.473890909
1550.0,891.204603642
1566.66666667,878.934263646
1571.15382275,875.08150303
1583.33333333,862.559286693
1589.19174566,855.689115152
1600.0,840.10912945
1602.39985519,836.296727273
1612.38362086,816.904339394
1616.66666667,806.438352779
1620.11885741,797.511951515
1626.20474557,778.119563636
1631.04633535,758.727175758
1633.33333333,747.492328288
1634.96360226,739.334787879
1638.19888912,719.9424
1640.88965597,700.550012121
1643.15833681,681.157624242
1645.09545997,661.765236364
1646.76912926,642.372848485
1648.23414932,622.980460606
1649.53977727,603.588072727
1650.0,596.137877668
1650.76649015,584.195684848
1651.95389764,564.80329697
1653.1318655,545.410909091
1654.34036375,526.018521212
1655.60216542,506.626133333
1656.91615885,487.233745455
1658.25623963,467.841357576
1659.57705384,448.448969697
1660.82460479,429.056581818
1661.94779368,409.664193939
1662.90736886,390.271806061
1663.68053809,370.879418182
1664.26116212,351.487030303
1664.6564166,332.094642424
1664.88139958,312.702254545
1664.95370855,293.309866667
1664.89025895,273.917478788
1664.70795767,254.525090909
1664.42822877,235.13270303
1664.08369349,215.740315152
1663.72448717,196.347927273
1663.42180803,176.955539394
1663.26675489,157.563151515
1663.36310257,138.170763636
1663.81392931,118.778375758
1664.70451982,99.3859878788
1666.08690277,79.9936

