#: table_doi: 10.17182/hepdata.81726.v1/t18
#: name: Exclusion contour 7 (obs.)
#: description: Observed 95% CL exclusion contours from the on-Z signal regions on the gluino and lightest neutralino masses in a SUSY scenario where gluinos are produced in pairs and decay to an on-shell Z-boson the lightest neutralino.
#: data_file: limitsFig15Obs.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Inclusive | Limits | Exclusion | Gluino | Neutralino | Proton-Proton Scattering
#: SQRT(S) [GEV],13000.0
'M(GLUINO) [GEV]','M(NEUTRALINO1) [GEV]'
1117.34088892,632.160990163
1121.21212121,631.919541707
1135.85858586,630.956129746
1150.50505051,629.923066469
1165.15151515,628.807494831
1179.7979798,627.601215019
1194.44444444,626.297598327
1209.09090909,624.887972196
1223.73737374,623.358078956
1238.38383838,621.685258041
1253.03030303,619.836737323
1263.28988007,618.401714927
1267.67676768,617.791447189
1282.32323232,615.520714554
1296.96969697,612.899579244
1311.61616162,609.847893569
1326.26262626,606.272315433
1340.90909091,602.064173792
1348.04333094,599.702742985
1355.55555556,597.099683586
1370.2020202,591.198951275
1384.84848485,584.171298827
1390.60502231,581.003771044
1399.49494949,575.723251463
1414.14141414,565.598914522
1418.35698781,562.304799102
1428.78787879,553.357753134
1438.82541622,543.60582716
1443.43434343,538.664372042
1455.10162987,524.906855219
1458.08080808,521.033451105
1468.71052554,506.207883277
1472.72727273,500.06556329
1480.53853678,487.508911336
1487.37373737,475.561655994
1491.10647592,468.809939394
1500.74724945,450.110967452
1502.02020202,447.507192661
1509.73652004,431.411995511
1516.66666667,416.034435788
1518.14272368,412.713023569
1526.15818604,394.014051627
1531.31313131,381.399464112
1533.77070325,375.315079686
1541.07624055,356.616107744
1545.95959596,343.511659914
1548.02250461,337.917135802
1554.66069339,319.218163861
1560.60606061,301.202054527
1560.82984436,300.519191919
1566.65183581,281.820219978
1571.89008945,263.121248036
1575.25252525,249.679221173
1576.57160533,244.422276094
1580.76796776,225.723304153
1584.39568088,207.024332211
1587.54450833,188.325360269
1589.8989899,172.631298322
1590.36475043,169.626388328
1593.10520749,150.927416386
600.779619174,487.508911336
608.585858586,492.623899169
623.232323232,503.247043392
626.969564764,506.207883277
637.878787879,514.559689511
650.054551927,524.906855219
652.525252525,527.006941618
667.171717172,540.238857884
670.707656782,543.60582716
681.818181818,554.391371893
689.698573024,562.304799102
696.464646465,569.320743864
707.66802509,581.003771044
711.111111111,584.712553201
725.259866482,599.702742985
725.757575758,600.241660147
740.404040404,615.487446254
743.285313528,618.401714927
755.050505051,630.32781063
761.909918155,637.100686869
769.696969697,644.795921109
781.049191893,655.79965881
784.343434343,659.016761164
798.98989899,673.062934348
800.516539652,674.498630752
813.636363636,686.982691848
820.196955333,693.197602694
828.282828283,700.94443421
839.81616703,711.896574635
842.929292929,714.878962516
857.575757576,728.565140427
859.81879323,730.595546577
872.222222222,741.920073064
880.497715262,749.294518519
886.868686869,755.113480697
901.456957265,767.99349046
901.515151515,768.047262582
916.161616162,780.495667098
923.857008656,786.692462402
930.808080808,792.63097055
945.454545455,804.233347536
947.115654644,805.391434343
960.101010101,815.098343589
973.182199565,824.090406285
974.747474747,825.261014546
989.393939394,834.295501681
1004.04040404,842.161758402
1005.73819205,842.789378227
1018.68686869,848.11912368
1033.33333333,851.538509355
1047.97979798,851.218659412
1062.62626263,845.18800287
1065.47007043,842.789378227
1077.27272727,829.115836705
1080.15823463,824.090406285
1088.25213365,805.391434343
1091.91919192,794.049131816
1094.05326865,786.692462402
1098.83818389,767.99349046
1103.53933075,749.294518519
1106.56565657,738.667071113
1109.06479146,730.595546577
1116.57102318,711.896574635
1121.21212121,703.320497435
1127.69075862,693.197602694
1135.85858586,683.530953061
1145.03501346,674.498630752
1148.22670538,671.943093338
1137.24377418,655.79965881
1135.85858586,654.020781355
1122.0945659,637.100686869
1121.21212121,636.140094213
1106.56565657,621.085506304
1117.34088892,632.160990163

