#: table_doi: 10.17182/hepdata.90835.v1/t55
#: name: T2bb observed + 1 s.d.(theory) mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections
#: data_file: t2bb_observed_+_1_s.d.(theory)_mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SBOTTOM SBOTTOM | SBOTTOM --> BQ NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Observed + 1 s.d.(theory)
M(SBOTTOM) [GeV],M(NEUTRALINO1) [GeV]
413.1,388.2
610.43,584.74
630.45,604.67
635.84,608.36
636.15,609.38
650.0,617.92
656.67,621.83
658.44,622.95
675.0,633.41
690.92,643.62
696.56,647.57
700.0,649.75
714.48,657.07
725.0,660.89
743.31,665.33
750.0,665.41
764.96,663.91
775.0,661.36
793.89,654.73
796.47,652.18
796.89,652.32
800.0,650.61
833.67,643.55
850.0,640.36
891.8,632.2
900.0,642.02
907.45,642.55
946.91,650.0
949.66,650.34
950.0,650.26
953.36,650.0
1000.0,642.93
1008.1,641.86
1050.0,649.23
1089.9,639.86
1100.0,635.93
1147.2,600.0
1150.0,594.3
1165.5,550.0
1177.9,522.07
1187.4,500.0
1190.5,490.49
1200.0,455.02
1210.7,400.0
1217.1,365.77
1226.6,300.0
1235.6,228.83
1238.5,200.0
1240.6,118.72
1241.2,100.0
1250.0,27.336
1252.6,1.0
1252.6,1.0

