#: table_doi: 10.17182/hepdata.90835.v1/t77
#: name: T2tt significance
#: description: The observed significance of the SMS models for T2tt as function of the top squark and LSP masses. 
#: data_file: t2tt_significance.yaml
#: keyword observables: SIGNIF
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> STOP STOP | STOP --> TQ NEUTRALINO1
#: Significance,
M(STOP) [GeV],M(NEUTRALINO1) [GeV],Significance [s.d.]
157.01,5.4883,-0.51776
157.01,14.465,-1.1121
157.01,23.441,-0.90881
157.01,32.418,-0.083809
157.01,41.395,0.8589
157.01,50.371,0.81928
157.01,59.348,0.29616
157.01,68.324,0.03781
157.01,77.301,0.0
157.01,86.277,0.0
157.01,95.254,0.0
157.01,104.23,0.0
157.01,113.21,0.0
157.01,122.18,0.0
157.01,131.16,0.0
157.01,140.14,0.0
157.01,149.11,0.0
157.01,158.09,0.0
157.01,167.07,0.0
157.01,176.04,0.0
157.01,185.02,0.0
157.01,194.0,0.0
157.01,202.97,0.0
157.01,211.95,0.0
157.01,220.93,0.0
157.01,229.9,0.0
157.01,238.88,0.0
157.01,247.86,0.0
157.01,256.83,0.0
157.01,265.81,0.0
157.01,274.79,0.0
157.01,283.76,0.0
157.01,292.74,0.0
157.01,301.71,0.0
157.01,310.69,0.0
157.01,319.67,0.0
157.01,328.64,0.0
157.01,337.62,0.0
157.01,346.6,0.0
157.01,355.57,0.0
157.01,364.55,0.0
157.01,373.53,0.0
157.01,382.5,0.0
157.01,391.48,0.0
157.01,400.46,0.0
157.01,409.43,0.0
157.01,418.41,0.0
157.01,427.39,0.0
157.01,436.36,0.0
157.01,445.34,0.0
157.01,454.32,0.0
157.01,463.29,0.0
157.01,472.27,0.0
157.01,481.25,0.0
157.01,490.22,0.0
157.01,499.2,0.0
157.01,508.18,0.0
157.01,517.15,0.0
157.01,526.13,0.0
157.01,535.11,0.0
157.01,544.08,0.0
157.01,553.06,0.0
157.01,562.04,0.0
157.01,571.01,0.0
157.01,579.99,0.0
157.01,588.96,0.0
157.01,597.94,0.0
157.01,606.92,0.0
157.01,615.89,0.0
157.01,624.87,0.0
157.01,633.85,0.0
157.01,642.82,0.0
157.01,651.8,0.0
