#: table_doi: 10.17182/hepdata.90835.v1/t69
#: name: T2qq (1 flavor) observed - 1 s.d.(theory) mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections (single flavor)
#: data_file: t2qq_(1_flavor)_observed_-_1_s.d.(theory)_mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SQUARK SQUARK | SQUARK --> Q NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Observed - 1 s.d.(theory)
M(SQUARK) [GeV],M(NEUTRALINO1) [GeV]
1109.8,1.0
1104.1,100.0
1103.0,106.08
1100.0,129.32
1088.9,200.0
1069.9,260.23
1057.6,300.0
1050.0,312.34
1031.8,331.84
1012.4,350.0
1000.0,360.79
979.78,370.22
950.0,387.09
942.0,392.0
928.52,400.0
909.9,409.9
900.0,413.67
879.36,420.64
850.0,431.9
835.98,435.98
800.0,439.96
768.6,431.4
750.0,432.99
731.32,431.32
700.0,424.92
676.96,423.04
650.0,418.3
612.72,412.72
600.0,445.44
598.56,448.56
598.09,450.0
597.98,452.02
580.39,500.0
583.8,508.1
589.45,544.72
588.66,563.66
592.07,567.07
577.33,552.33
573.07,548.07
564.41,539.41
552.63,527.63
551.19,526.19

