#: table_doi: 10.17182/hepdata.90835.v1/t78
#: name: T2bb significance
#: description: The observed significance of the SMS models for T2bb as function of the bottom squark and LSP masses. 
#: data_file: t2bb_significance.yaml
#: keyword observables: SIGNIF
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SBOTTOM SBOTTOM | SBOTTOM --> BQ NEUTRALINO1
#: Significance,
M(SBOTTOM) [GeV],M(NEUTRALINO1) [GeV],Significance [s.d.]
906.25,107.59,-1.2179
906.25,123.99,-1.2427
906.25,140.39,-1.2674
906.25,156.79,-1.2922
906.25,173.18,-1.3169
906.25,189.58,-1.341
906.25,205.98,-1.3652
906.25,222.38,-1.3717
906.25,238.78,-1.3777
906.25,255.18,-1.3924
906.25,271.57,-1.4261
906.25,287.97,-1.4598
906.25,304.37,-1.4967
906.25,320.77,-1.5373
906.25,337.17,-1.582
906.25,353.57,-1.6314
906.25,369.96,-1.6457
906.25,386.36,-1.6497
906.25,402.76,-1.6544
906.25,419.16,-1.6948
906.25,435.56,-1.744
906.25,451.96,-1.7842
906.25,468.36,-1.7569
906.25,484.75,-1.7295
906.25,501.15,-1.7196
906.25,517.55,-1.6901
906.25,533.95,-1.6512
906.25,550.35,-1.6121
906.25,566.75,-1.5666
906.25,583.14,-1.5211
906.25,599.54,-1.4807
906.25,615.94,-1.4347
906.25,632.34,-1.3883
906.25,648.74,-1.3408
906.25,665.14,-1.2759
906.25,681.54,-1.2738
906.25,697.93,-1.2716
906.25,714.33,-1.0979
906.25,730.73,-0.8995
906.25,747.13,-0.7409
906.25,763.53,-0.87235
906.25,779.93,-0.9655
906.25,796.32,-0.65498
906.25,812.72,-0.55151
906.25,829.12,-0.6081
906.25,845.52,-0.9002
906.25,861.92,-1.062
906.25,878.32,-1.301
906.25,894.71,0.0
906.25,911.11,0.0
906.25,927.51,0.0
906.25,943.91,0.0
906.25,960.31,0.0
906.25,976.71,0.0
906.25,993.11,0.0
906.25,1009.5,0.0
906.25,1025.9,0.0
906.25,1042.3,0.0
906.25,1058.7,0.0
906.25,1075.1,0.0
906.25,1091.5,0.0
906.25,1107.9,0.0
906.25,1124.3,0.0
906.25,1140.7,0.0
906.25,1157.1,0.0
906.25,1173.5,0.0
906.25,1189.9,0.0
906.25,1206.3,0.0
906.25,1222.7,0.0
906.25,1239.1,0.0
906.25,1255.5,0.0
906.25,1271.9,0.0
906.25,1288.3,0.0
906.25,1304.7,0.0
906.25,1321.1,0.0
906.25,1337.5,0.0
906.25,1353.9,0.0
906.25,1370.3,0.0
906.25,1386.7,0.0
906.25,1403.1,0.0
906.25,1419.5,0.0
906.25,1435.9,0.0
906.25,1452.3,0.0
906.25,1468.7,0.0
906.25,1485.1,0.0
906.25,1501.5,0.0
906.25,1517.9,0.0
906.25,1534.3,0.0
906.25,1550.7,0.0
906.25,1567.1,0.0
906.25,1583.4,0.0
906.25,1599.8,0.0
906.25,1616.2,0.0
906.25,1632.6,0.0
906.25,1649.0,0.0
906.25,1665.4,0.0
906.25,1681.8,0.0
906.25,1698.2,0.0
906.25,1714.6,0.0
906.25,1731.0,0.0
906.25,1747.4,0.0
906.25,1763.8,0.0
906.25,1780.2,0.0
906.25,1796.6,0.0
906.25,1813.0,0.0
906.25,1829.4,0.0
906.25,1845.8,0.0
906.25,1862.2,0.0
906.25,1878.6,0.0
906.25,1895.0,0.0
906.25,1911.4,0.0
906.25,1927.8,0.0
906.25,1944.2,0.0
906.25,1960.6,0.0
906.25,1977.0,0.0
906.25,1993.4,0.0
906.25,2009.8,0.0
906.25,2026.2,0.0
906.25,2042.6,0.0
906.25,2059.0,0.0
906.25,2075.4,0.0
906.25,2091.8,0.0
918.75,9.1992,-1.1362
918.75,25.598,-1.1398
918.75,41.996,-1.1435
918.75,58.395,-1.1471
918.75,74.793,-1.1509
918.75,91.191,-1.1548
918.75,107.59,-1.1683
918.75,123.99,-1.193
918.75,140.39,-1.2178
918.75,156.79,-1.2425
918.75,173.18,-1.2638
918.75,189.58,-1.2833
918.75,205.98,-1.3075
918.75,222.38,-1.3342
918.75,238.78,-1.3402
918.75,255.18,-1.3549
918.75,271.57,-1.3886
918.75,287.97,-1.433
918.75,304.37,-1.4791
918.75,320.77,-1.4921
918.75,337.17,-1.5368
918.75,353.57,-1.5862
918.75,369.96,-1.6479
918.75,386.36,-1.652
918.75,402.76,-1.6566
918.75,419.16,-1.6653
918.75,435.56,-1.7146
918.75,451.96,-1.7547
918.75,468.36,-1.7274
918.75,484.75,-1.7091
918.75,501.15,-1.7222
918.75,517.55,-1.7137
918.75,533.95,-1.677
918.75,550.35,-1.6379
918.75,566.75,-1.5924
918.75,583.14,-1.5486
918.75,599.54,-1.5175
918.75,615.94,-1.4715
918.75,632.34,-1.4249
918.75,648.74,-1.375
918.75,665.14,-1.2262
918.75,681.54,-1.1899
918.75,697.93,-1.1877
918.75,714.33,-1.0141
918.75,730.73,-0.81564
918.75,747.13,-0.80433
918.75,763.53,-0.81844
918.75,779.93,-0.82739
918.75,796.32,-0.69927
918.75,812.72,-0.64151
918.75,829.12,-0.74066
918.75,845.52,-0.60091
918.75,861.92,-0.74336
918.75,878.32,-0.9591
918.75,894.71,0.0
918.75,911.11,0.0
918.75,927.51,0.0
918.75,943.91,0.0
918.75,960.31,0.0
918.75,976.71,0.0
918.75,993.11,0.0
918.75,1009.5,0.0
918.75,1025.9,0.0
918.75,1042.3,0.0
918.75,1058.7,0.0
918.75,1075.1,0.0
918.75,1091.5,0.0
918.75,1107.9,0.0
918.75,1124.3,0.0
918.75,1140.7,0.0
918.75,1157.1,0.0
918.75,1173.5,0.0
918.75,1189.9,0.0
918.75,1206.3,0.0
918.75,1222.7,0.0
918.75,1239.1,0.0
918.75,1255.5,0.0
918.75,1271.9,0.0
918.75,1288.3,0.0
918.75,1304.7,0.0
918.75,1321.1,0.0
918.75,1337.5,0.0
918.75,1353.9,0.0
918.75,1370.3,0.0
918.75,1386.7,0.0
918.75,1403.1,0.0
918.75,1419.5,0.0
918.75,1435.9,0.0
918.75,1452.3,0.0
918.75,1468.7,0.0
918.75,1485.1,0.0
918.75,1501.5,0.0
918.75,1517.9,0.0
918.75,1534.3,0.0
918.75,1550.7,0.0
918.75,1567.1,0.0
918.75,1583.4,0.0
918.75,1599.8,0.0
918.75,1616.2,0.0
918.75,1632.6,0.0
918.75,1649.0,0.0
918.75,1665.4,0.0
918.75,1681.8,0.0
918.75,1698.2,0.0
918.75,1714.6,0.0
918.75,1731.0,0.0
918.75,1747.4,0.0
918.75,1763.8,0.0
918.75,1780.2,0.0
918.75,1796.6,0.0
918.75,1813.0,0.0
918.75,1829.4,0.0
918.75,1845.8,0.0
918.75,1862.2,0.0
918.75,1878.6,0.0
918.75,1895.0,0.0
918.75,1911.4,0.0
918.75,1927.8,0.0
918.75,1944.2,0.0
918.75,1960.6,0.0
918.75,1977.0,0.0
918.75,1993.4,0.0
918.75,2009.8,0.0
918.75,2026.2,0.0
918.75,2042.6,0.0
918.75,2059.0,0.0
918.75,2075.4,0.0
918.75,2091.8,0.0
931.25,9.1992,-1.0862
931.25,25.598,-1.0899
931.25,41.996,-1.0936
931.25,58.395,-1.0974
931.25,74.793,-1.1013
931.25,91.191,-1.1051
931.25,107.59,-1.1187
931.25,123.99,-1.1434
931.25,140.39,-1.1672
931.25,156.79,-1.1867
931.25,173.18,-1.2061
931.25,189.58,-1.2255
931.25,205.98,-1.2497
931.25,222.38,-1.2823
931.25,238.78,-1.3027
931.25,255.18,-1.3174
931.25,271.57,-1.3556
931.25,287.97,-1.4154
931.25,304.37,-1.4615
931.25,320.77,-1.4701
931.25,337.17,-1.4917
931.25,353.57,-1.5411
931.25,369.96,-1.6074
931.25,386.36,-1.6543
931.25,402.76,-1.6589
931.25,419.16,-1.6666
931.25,435.56,-1.6852
931.25,451.96,-1.7253
931.25,468.36,-1.698
931.25,484.75,-1.7117
931.25,501.15,-1.7249
931.25,517.55,-1.7164
931.25,533.95,-1.7029
931.25,550.35,-1.6638
931.25,566.75,-1.6183
931.25,583.14,-1.5854
931.25,599.54,-1.5544
931.25,615.94,-1.5084
931.25,632.34,-1.4591
931.25,648.74,-1.4092
931.25,665.14,-1.2604
931.25,681.54,-1.106
931.25,697.93,-1.1039
931.25,714.33,-0.93019
931.25,730.73,-0.87295
931.25,747.13,-0.86776
931.25,763.53,-0.88187
931.25,779.93,-0.87883
931.25,796.32,-0.77778
931.25,812.72,-0.77068
931.25,829.12,-0.71102
931.25,845.52,-0.48923
931.25,861.92,-0.61037
931.25,878.32,-0.73929
931.25,894.71,-0.82269
931.25,911.11,0.0
931.25,927.51,0.0
931.25,943.91,0.0
931.25,960.31,0.0
931.25,976.71,0.0
931.25,993.11,0.0
931.25,1009.5,0.0
931.25,1025.9,0.0
931.25,1042.3,0.0
931.25,1058.7,0.0
931.25,1075.1,0.0
931.25,1091.5,0.0
931.25,1107.9,0.0
931.25,1124.3,0.0
931.25,1140.7,0.0
931.25,1157.1,0.0
931.25,1173.5,0.0
931.25,1189.9,0.0
931.25,1206.3,0.0
931.25,1222.7,0.0
931.25,1239.1,0.0
931.25,1255.5,0.0
931.25,1271.9,0.0
931.25,1288.3,0.0
931.25,1304.7,0.0
931.25,1321.1,0.0
931.25,1337.5,0.0
931.25,1353.9,0.0
931.25,1370.3,0.0
931.25,1386.7,0.0
931.25,1403.1,0.0
931.25,1419.5,0.0
931.25,1435.9,0.0
931.25,1452.3,0.0
931.25,1468.7,0.0
931.25,1485.1,0.0
931.25,1501.5,0.0
931.25,1517.9,0.0
931.25,1534.3,0.0
931.25,1550.7,0.0
931.25,1567.1,0.0
931.25,1583.4,0.0
931.25,1599.8,0.0
931.25,1616.2,0.0
931.25,1632.6,0.0
931.25,1649.0,0.0
931.25,1665.4,0.0
931.25,1681.8,0.0
931.25,1698.2,0.0
931.25,1714.6,0.0
931.25,1731.0,0.0
931.25,1747.4,0.0
931.25,1763.8,0.0
931.25,1780.2,0.0
931.25,1796.6,0.0
931.25,1813.0,0.0
931.25,1829.4,0.0
931.25,1845.8,0.0
931.25,1862.2,0.0
931.25,1878.6,0.0
931.25,1895.0,0.0
931.25,1911.4,0.0
931.25,1927.8,0.0
931.25,1944.2,0.0
931.25,1960.6,0.0
931.25,1977.0,0.0
931.25,1993.4,0.0
931.25,2009.8,0.0
931.25,2026.2,0.0
931.25,2042.6,0.0
931.25,2059.0,0.0
931.25,2075.4,0.0
931.25,2091.8,0.0
943.75,9.1992,-1.0363
943.75,25.598,-1.0401
943.75,41.996,-1.0439
943.75,58.395,-1.0478
943.75,74.793,-1.0517
943.75,91.191,-1.0555
943.75,107.59,-1.069
943.75,123.99,-1.0901
943.75,140.39,-1.1095
943.75,156.79,-1.1289
943.75,173.18,-1.1483
943.75,189.58,-1.1678
943.75,205.98,-1.192
943.75,222.38,-1.2245
943.75,238.78,-1.2571
943.75,255.18,-1.2799
943.75,271.57,-1.338
943.75,287.97,-1.3978
943.75,304.37,-1.4439
943.75,320.77,-1.4525
943.75,337.17,-1.461
943.75,353.57,-1.4959
943.75,369.96,-1.5622
943.75,386.36,-1.6285
943.75,402.76,-1.6612
943.75,419.16,-1.6689
943.75,435.56,-1.6765
943.75,451.96,-1.6959
943.75,468.36,-1.6996
943.75,484.75,-1.7144
943.75,501.15,-1.7275
943.75,517.55,-1.719
943.75,533.95,-1.7105
943.75,550.35,-1.6896
943.75,566.75,-1.6534
943.75,583.14,-1.6223
943.75,599.54,-1.5912
943.75,615.94,-1.5432
943.75,632.34,-1.4933
943.75,648.74,-1.4434
943.75,665.14,-1.2946
943.75,681.54,-1.1376
943.75,697.93,-1.02
943.75,714.33,-0.94156
943.75,730.73,-0.93637
943.75,747.13,-0.93119
943.75,763.53,-0.93147
943.75,779.93,-0.91851
943.75,796.32,-0.89051
943.75,812.72,-0.89016
943.75,829.12,-0.83679
943.75,845.52,-0.56514
943.75,861.92,-0.60755
943.75,878.32,-0.64156
943.75,894.71,-0.60146
943.75,911.11,-0.77026
943.75,927.51,0.0
943.75,943.91,0.0
943.75,960.31,0.0
943.75,976.71,0.0
943.75,993.11,0.0
943.75,1009.5,0.0
943.75,1025.9,0.0
943.75,1042.3,0.0
943.75,1058.7,0.0
943.75,1075.1,0.0
943.75,1091.5,0.0
943.75,1107.9,0.0
943.75,1124.3,0.0
943.75,1140.7,0.0
943.75,1157.1,0.0
943.75,1173.5,0.0
943.75,1189.9,0.0
943.75,1206.3,0.0
943.75,1222.7,0.0
943.75,1239.1,0.0
943.75,1255.5,0.0
943.75,1271.9,0.0
943.75,1288.3,0.0
943.75,1304.7,0.0
943.75,1321.1,0.0
943.75,1337.5,0.0
943.75,1353.9,0.0
943.75,1370.3,0.0
943.75,1386.7,0.0
943.75,1403.1,0.0
943.75,1419.5,0.0
943.75,1435.9,0.0
943.75,1452.3,0.0
943.75,1468.7,0.0
943.75,1485.1,0.0
943.75,1501.5,0.0
943.75,1517.9,0.0
943.75,1534.3,0.0
943.75,1550.7,0.0
943.75,1567.1,0.0
943.75,1583.4,0.0
943.75,1599.8,0.0
943.75,1616.2,0.0
943.75,1632.6,0.0
943.75,1649.0,0.0
943.75,1665.4,0.0
943.75,1681.8,0.0
943.75,1698.2,0.0
943.75,1714.6,0.0
943.75,1731.0,0.0
943.75,1747.4,0.0
943.75,1763.8,0.0
943.75,1780.2,0.0
943.75,1796.6,0.0
943.75,1813.0,0.0
943.75,1829.4,0.0
943.75,1845.8,0.0
943.75,1862.2,0.0
943.75,1878.6,0.0
943.75,1895.0,0.0
943.75,1911.4,0.0
943.75,1927.8,0.0
943.75,1944.2,0.0
943.75,1960.6,0.0
943.75,1977.0,0.0
943.75,1993.4,0.0
943.75,2009.8,0.0
943.75,2026.2,0.0
943.75,2042.6,0.0
943.75,2059.0,0.0
943.75,2075.4,0.0
943.75,2091.8,0.0
956.25,9.1992,-0.98404
956.25,25.598,-0.98789
956.25,41.996,-0.99175
956.25,58.395,-0.9956
956.25,74.793,-0.99946
956.25,91.191,-1.0024
956.25,107.59,-1.0113
956.25,123.99,-1.0307
956.25,140.39,-1.0501
956.25,156.79,-1.0696
956.25,173.18,-1.089
956.25,189.58,-1.1091
956.25,205.98,-1.1367
956.25,222.38,-1.1692
956.25,238.78,-1.2018
956.25,255.18,-1.2231
956.25,271.57,-1.2801
956.25,287.97,-1.3399
956.25,304.37,-1.4049
956.25,320.77,-1.4215
956.25,337.17,-1.43
956.25,353.57,-1.4416
956.25,369.96,-1.5007
956.25,386.36,-1.567
956.25,402.76,-1.6235
956.25,419.16,-1.6311
956.25,435.56,-1.6388
956.25,451.96,-1.652
956.25,468.36,-1.6667
956.25,484.75,-1.6815
956.25,501.15,-1.7289
956.25,517.55,-1.7111
956.25,533.95,-1.7026
956.25,550.35,-1.6936
956.25,566.75,-1.6626
956.25,583.14,-1.6315
956.25,599.54,-1.6228
956.25,615.94,-1.552
956.25,632.34,-1.5021
956.25,648.74,-1.4523
956.25,665.14,-1.3767
956.25,681.54,-1.2196
956.25,697.93,-1.0626
956.25,714.33,-1.0383
956.25,730.73,-1.0331
956.25,747.13,-1.0132
956.25,763.53,-0.98912
956.25,779.93,-0.97616
956.25,796.32,-0.94204
956.25,812.72,-0.85257
956.25,829.12,-0.94216
956.25,845.52,-0.73393
956.25,861.92,-0.60894
956.25,878.32,-0.631
956.25,894.71,-0.58032
956.25,911.11,-0.74911
956.25,927.51,-0.9247
956.25,943.91,0.0
956.25,960.31,0.0
956.25,976.71,0.0
956.25,993.11,0.0
956.25,1009.5,0.0
956.25,1025.9,0.0
956.25,1042.3,0.0
956.25,1058.7,0.0
956.25,1075.1,0.0
956.25,1091.5,0.0
956.25,1107.9,0.0
956.25,1124.3,0.0
956.25,1140.7,0.0
956.25,1157.1,0.0
956.25,1173.5,0.0
956.25,1189.9,0.0
956.25,1206.3,0.0
956.25,1222.7,0.0
956.25,1239.1,0.0
956.25,1255.5,0.0
956.25,1271.9,0.0
956.25,1288.3,0.0
956.25,1304.7,0.0
956.25,1321.1,0.0
956.25,1337.5,0.0
956.25,1353.9,0.0
956.25,1370.3,0.0
956.25,1386.7,0.0
956.25,1403.1,0.0
956.25,1419.5,0.0
956.25,1435.9,0.0
956.25,1452.3,0.0
956.25,1468.7,0.0
956.25,1485.1,0.0
956.25,1501.5,0.0
956.25,1517.9,0.0
956.25,1534.3,0.0
956.25,1550.7,0.0
956.25,1567.1,0.0
956.25,1583.4,0.0
956.25,1599.8,0.0
956.25,1616.2,0.0
956.25,1632.6,0.0
956.25,1649.0,0.0
956.25,1665.4,0.0
956.25,1681.8,0.0
956.25,1698.2,0.0
956.25,1714.6,0.0
956.25,1731.0,0.0
956.25,1747.4,0.0
956.25,1763.8,0.0
956.25,1780.2,0.0
956.25,1796.6,0.0
956.25,1813.0,0.0
956.25,1829.4,0.0
956.25,1845.8,0.0
956.25,1862.2,0.0
956.25,1878.6,0.0
956.25,1895.0,0.0
956.25,1911.4,0.0
956.25,1927.8,0.0
956.25,1944.2,0.0
956.25,1960.6,0.0
956.25,1977.0,0.0
956.25,1993.4,0.0
956.25,2009.8,0.0
956.25,2026.2,0.0
956.25,2042.6,0.0
956.25,2059.0,0.0
956.25,2075.4,0.0
956.25,2091.8,0.0
968.75,9.1992,-0.92927
968.75,25.598,-0.93312
968.75,41.996,-0.93698
968.75,58.395,-0.94083
968.75,74.793,-0.9417
968.75,91.191,-0.94143
968.75,107.59,-0.95028
968.75,123.99,-0.96971
968.75,140.39,-0.98914
968.75,156.79,-1.0086
968.75,173.18,-1.0315
968.75,189.58,-1.0562
968.75,205.98,-1.0838
968.75,222.38,-1.1163
968.75,238.78,-1.1415
968.75,255.18,-1.158
968.75,271.57,-1.1819
968.75,287.97,-1.2417
968.75,304.37,-1.3067
968.75,320.77,-1.3771
968.75,337.17,-1.3857
968.75,353.57,-1.3972
968.75,369.96,-1.423
968.75,386.36,-1.4893
968.75,402.76,-1.5458
968.75,419.16,-1.5534
968.75,435.56,-1.5643
968.75,451.96,-1.5836
968.75,468.36,-1.5984
968.75,484.75,-1.6335
968.75,501.15,-1.7334
968.75,517.55,-1.6949
968.75,533.95,-1.6842
968.75,550.35,-1.6752
968.75,566.75,-1.6442
968.75,583.14,-1.6204
968.75,599.54,-1.6528
968.75,615.94,-1.546
968.75,632.34,-1.4856
968.75,648.74,-1.4358
968.75,665.14,-1.4643
968.75,681.54,-1.3496
968.75,697.93,-1.1925
968.75,714.33,-1.1682
968.75,730.73,-1.163
968.75,747.13,-1.0888
968.75,763.53,-1.0647
968.75,779.93,-1.0518
968.75,796.32,-0.91489
968.75,812.72,-0.74218
968.75,829.12,-0.75425
968.75,845.52,-0.95984
968.75,861.92,-0.77799
968.75,878.32,-0.7315
968.75,894.71,-0.75925
968.75,911.11,-0.8747
968.75,927.51,-0.96653
968.75,943.91,-1.0025
968.75,960.31,0.0
968.75,976.71,0.0
968.75,993.11,0.0
968.75,1009.5,0.0
968.75,1025.9,0.0
968.75,1042.3,0.0
968.75,1058.7,0.0
968.75,1075.1,0.0
968.75,1091.5,0.0
968.75,1107.9,0.0
968.75,1124.3,0.0
968.75,1140.7,0.0
968.75,1157.1,0.0
968.75,1173.5,0.0
968.75,1189.9,0.0
968.75,1206.3,0.0
968.75,1222.7,0.0
968.75,1239.1,0.0
968.75,1255.5,0.0
968.75,1271.9,0.0
968.75,1288.3,0.0
968.75,1304.7,0.0
968.75,1321.1,0.0
968.75,1337.5,0.0
968.75,1353.9,0.0
968.75,1370.3,0.0
968.75,1386.7,0.0
968.75,1403.1,0.0
968.75,1419.5,0.0
968.75,1435.9,0.0
968.75,1452.3,0.0
968.75,1468.7,0.0
968.75,1485.1,0.0
968.75,1501.5,0.0
968.75,1517.9,0.0
968.75,1534.3,0.0
968.75,1550.7,0.0
968.75,1567.1,0.0
968.75,1583.4,0.0
968.75,1599.8,0.0
968.75,1616.2,0.0
968.75,1632.6,0.0
968.75,1649.0,0.0
968.75,1665.4,0.0
968.75,1681.8,0.0
968.75,1698.2,0.0
968.75,1714.6,0.0
968.75,1731.0,0.0
968.75,1747.4,0.0
968.75,1763.8,0.0
968.75,1780.2,0.0
968.75,1796.6,0.0
968.75,1813.0,0.0
968.75,1829.4,0.0
968.75,1845.8,0.0
968.75,1862.2,0.0
968.75,1878.6,0.0
968.75,1895.0,0.0
968.75,1911.4,0.0
968.75,1927.8,0.0
968.75,1944.2,0.0
968.75,1960.6,0.0
968.75,1977.0,0.0
968.75,1993.4,0.0
968.75,2009.8,0.0
968.75,2026.2,0.0
968.75,2042.6,0.0
968.75,2059.0,0.0
968.75,2075.4,0.0
968.75,2091.8,0.0
981.25,9.1992,-0.8745
981.25,25.598,-0.87836
981.25,41.996,-0.88124
981.25,58.395,-0.88098
981.25,74.793,-0.88071
981.25,91.191,-0.88045
981.25,107.59,-0.8893
981.25,123.99,-0.90873
981.25,140.39,-0.92909
981.25,156.79,-0.95382
981.25,173.18,-0.97855
981.25,189.58,-1.0033
981.25,205.98,-1.0309
981.25,222.38,-1.0599
981.25,238.78,-1.0763
981.25,255.18,-1.0928
981.25,271.57,-1.1093
981.25,287.97,-1.1435
981.25,304.37,-1.2085
981.25,320.77,-1.2877
981.25,337.17,-1.3413
981.25,353.57,-1.3529
981.25,369.96,-1.3754
981.25,386.36,-1.4116
981.25,402.76,-1.4681
981.25,419.16,-1.476
981.25,435.56,-1.4959
981.25,451.96,-1.5152
981.25,468.36,-1.53
981.25,484.75,-1.638
981.25,501.15,-1.7378
981.25,517.55,-1.6993
981.25,533.95,-1.6658
981.25,550.35,-1.6568
981.25,566.75,-1.6258
981.25,583.14,-1.6504
981.25,599.54,-1.6828
981.25,615.94,-1.5759
981.25,632.34,-1.4691
981.25,648.74,-1.4192
981.25,665.14,-1.4478
981.25,681.54,-1.4796
981.25,697.93,-1.3225
981.25,714.33,-1.2982
981.25,730.73,-1.2409
981.25,747.13,-1.1644
981.25,763.53,-1.1404
981.25,779.93,-1.0355
981.25,796.32,-0.88774
981.25,812.72,-0.71503
981.25,829.12,-0.59427
981.25,845.52,-0.81293
981.25,861.92,-0.76865
981.25,878.32,-0.65946
981.25,894.71,-0.71121
981.25,911.11,-0.88965
981.25,927.51,-0.8951
981.25,943.91,-0.93155
981.25,960.31,0.0
981.25,976.71,0.0
981.25,993.11,0.0
981.25,1009.5,0.0
981.25,1025.9,0.0
981.25,1042.3,0.0
981.25,1058.7,0.0
981.25,1075.1,0.0
981.25,1091.5,0.0
981.25,1107.9,0.0
981.25,1124.3,0.0
981.25,1140.7,0.0
981.25,1157.1,0.0
981.25,1173.5,0.0
981.25,1189.9,0.0
981.25,1206.3,0.0
981.25,1222.7,0.0
981.25,1239.1,0.0
981.25,1255.5,0.0
981.25,1271.9,0.0
981.25,1288.3,0.0
981.25,1304.7,0.0
981.25,1321.1,0.0
981.25,1337.5,0.0
981.25,1353.9,0.0
981.25,1370.3,0.0
981.25,1386.7,0.0
981.25,1403.1,0.0
981.25,1419.5,0.0
981.25,1435.9,0.0
981.25,1452.3,0.0
981.25,1468.7,0.0
981.25,1485.1,0.0
981.25,1501.5,0.0
981.25,1517.9,0.0
981.25,1534.3,0.0
981.25,1550.7,0.0
981.25,1567.1,0.0
981.25,1583.4,0.0
981.25,1599.8,0.0
981.25,1616.2,0.0
981.25,1632.6,0.0
981.25,1649.0,0.0
981.25,1665.4,0.0
981.25,1681.8,0.0
981.25,1698.2,0.0
981.25,1714.6,0.0
981.25,1731.0,0.0
981.25,1747.4,0.0
981.25,1763.8,0.0
981.25,1780.2,0.0
981.25,1796.6,0.0
981.25,1813.0,0.0
981.25,1829.4,0.0
981.25,1845.8,0.0
981.25,1862.2,0.0
981.25,1878.6,0.0
981.25,1895.0,0.0
981.25,1911.4,0.0
981.25,1927.8,0.0
981.25,1944.2,0.0
981.25,1960.6,0.0
981.25,1977.0,0.0
981.25,1993.4,0.0
981.25,2009.8,0.0
981.25,2026.2,0.0
981.25,2042.6,0.0
981.25,2059.0,0.0
981.25,2075.4,0.0
981.25,2091.8,0.0
993.75,9.1992,-0.81973
993.75,25.598,-0.82052
993.75,41.996,-0.82026
993.75,58.395,-0.81999
993.75,74.793,-0.81973
993.75,91.191,-0.81947
993.75,107.59,-0.82832
993.75,123.99,-0.85146
993.75,140.39,-0.87619
993.75,156.79,-0.90092
993.75,173.18,-0.92565
993.75,189.58,-0.95038
993.75,205.98,-0.97796
993.75,222.38,-0.99471
993.75,238.78,-1.0112
993.75,255.18,-1.0277
993.75,271.57,-1.0441
993.75,287.97,-1.0606
993.75,304.37,-1.1103
993.75,320.77,-1.1895
993.75,337.17,-1.2686
993.75,353.57,-1.3085
993.75,369.96,-1.3311
993.75,386.36,-1.3536
993.75,402.76,-1.3903
993.75,419.16,-1.4076
993.75,435.56,-1.4275
993.75,451.96,-1.4468
993.75,468.36,-1.5321
993.75,484.75,-1.6424
993.75,501.15,-1.7423
993.75,517.55,-1.7038
993.75,533.95,-1.6653
993.75,550.35,-1.6384
993.75,566.75,-1.648
993.75,583.14,-1.6804
993.75,599.54,-1.7128
993.75,615.94,-1.6059
993.75,632.34,-1.495
993.75,648.74,-1.4027
993.75,665.14,-1.4313
993.75,681.54,-1.4664
993.75,697.93,-1.4525
993.75,714.33,-1.393
993.75,730.73,-1.3165
993.75,747.13,-1.2401
993.75,763.53,-1.1562
993.75,779.93,-1.0084
993.75,796.32,-0.86059
993.75,812.72,-0.7248
993.75,829.12,-0.6384
993.75,845.52,-0.58983
993.75,861.92,-0.5358
993.75,878.32,-0.41486
993.75,894.71,-0.69926
993.75,911.11,-0.81049
993.75,927.51,-0.71041
993.75,943.91,-0.84375
993.75,960.31,-0.84484
993.75,976.71,0.0
993.75,993.11,0.0
993.75,1009.5,0.0
993.75,1025.9,0.0
993.75,1042.3,0.0
993.75,1058.7,0.0
993.75,1075.1,0.0
993.75,1091.5,0.0
993.75,1107.9,0.0
993.75,1124.3,0.0
993.75,1140.7,0.0
993.75,1157.1,0.0
993.75,1173.5,0.0
993.75,1189.9,0.0
993.75,1206.3,0.0
993.75,1222.7,0.0
993.75,1239.1,0.0
993.75,1255.5,0.0
993.75,1271.9,0.0
993.75,1288.3,0.0
993.75,1304.7,0.0
993.75,1321.1,0.0
993.75,1337.5,0.0
993.75,1353.9,0.0
993.75,1370.3,0.0
993.75,1386.7,0.0
993.75,1403.1,0.0
993.75,1419.5,0.0
993.75,1435.9,0.0
993.75,1452.3,0.0
993.75,1468.7,0.0
993.75,1485.1,0.0
993.75,1501.5,0.0
993.75,1517.9,0.0
993.75,1534.3,0.0
993.75,1550.7,0.0
993.75,1567.1,0.0
993.75,1583.4,0.0
993.75,1599.8,0.0
993.75,1616.2,0.0
993.75,1632.6,0.0
993.75,1649.0,0.0
993.75,1665.4,0.0
993.75,1681.8,0.0
993.75,1698.2,0.0
993.75,1714.6,0.0
993.75,1731.0,0.0
993.75,1747.4,0.0
993.75,1763.8,0.0
993.75,1780.2,0.0
993.75,1796.6,0.0
993.75,1813.0,0.0
993.75,1829.4,0.0
993.75,1845.8,0.0
993.75,1862.2,0.0
993.75,1878.6,0.0
993.75,1895.0,0.0
993.75,1911.4,0.0
993.75,1927.8,0.0
993.75,1944.2,0.0
993.75,1960.6,0.0
993.75,1977.0,0.0
993.75,1993.4,0.0
993.75,2009.8,0.0
993.75,2026.2,0.0
993.75,2042.6,0.0
993.75,2059.0,0.0
993.75,2075.4,0.0
993.75,2091.8,0.0
1006.3,9.1992,-0.76614
1006.3,25.598,-0.76845
1006.3,41.996,-0.76819
1006.3,58.395,-0.76792
1006.3,74.793,-0.76766
1006.3,91.191,-0.7674
1006.3,107.59,-0.7787
1006.3,123.99,-0.80343
1006.3,140.39,-0.82816
