#: table_doi: 10.17182/hepdata.90835.v1/t61
#: name: T2qq observed mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections (u d s c)
#: data_file: t2qq_observed_mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SQUARK SQUARK | SQUARK --> Q NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Observed
M(SQUARK) [GeV],M(NEUTRALINO1) [GeV]
587.28,562.28
907.97,882.97
916.79,891.79
924.08,899.08
929.07,904.07
952.49,927.49
953.96,926.98
952.43,923.78
950.0,921.19
929.2,889.6
950.0,850.28
950.09,850.0
950.13,849.87
950.0,849.44
938.04,811.96
938.21,800.0
950.0,768.1
955.8,755.8
1000.0,763.22
1030.0,769.97
1050.0,765.81
1086.2,763.78
1100.0,772.79
1119.0,781.03
1150.0,778.29
1176.5,773.51
1200.0,780.01
1222.8,777.23
1250.0,778.36
1272.5,777.51
1300.0,779.77
1321.0,779.0
1350.0,778.28
1386.5,763.55
1400.0,759.56
1416.7,750.0
1450.0,706.02
1453.4,700.0
1500.0,623.2
1511.4,600.0
1529.1,558.17
1550.0,502.46
1550.5,500.97
1550.9,500.0
1551.9,496.13
1579.3,400.0
1600.0,302.79
1600.6,300.0
1613.3,226.52
1617.8,200.0
1621.7,156.53
1627.0,100.0
1630.7,39.304
1629.1,1.0

