#: table_doi: 10.17182/hepdata.90835.v1/t53
#: name: T2bb cross section upper limits
#: description: The 95% CL observed and expected upper limits on the production cross sections of the T2bb signal model as a function of the bottom squark and LSP masses.
#: data_file: t2bb_cross_section_upper_limits.yaml
#: keyword observables: SIG | CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SBOTTOM SBOTTOM | SBOTTOM --> BQ NEUTRALINO1
#: Upper Limit,Expected
#: LUMINOSITY [fb$^{-1}$],137
M(SBOTTOM) [GeV],M(NEUTRALINO1) [GeV],Cross section upper limit at 95% CL [pb]
306.64,5.9969,0.21418
306.64,15.991,0.22404
306.64,25.984,0.23389
306.64,35.978,0.24375
306.64,45.972,0.25361
306.64,55.966,0.26347
306.64,65.959,0.27333
306.64,75.953,0.28318
306.64,85.947,0.29304
306.64,95.941,0.30079
306.64,105.93,0.31704
306.64,115.93,0.34339
306.64,125.92,0.36974
306.64,135.92,0.3961
306.64,145.91,0.42245
306.64,155.9,0.4488
306.64,165.9,0.47515
306.64,175.89,0.5015
306.64,185.88,0.52785
306.64,195.88,0.54941
306.64,205.87,0.55243
306.64,215.87,0.5723
306.64,225.86,0.61133
306.64,235.85,0.65037
306.64,245.85,0.68941
306.64,255.84,0.72887
306.64,265.83,0.85954
306.64,275.83,0.99716
306.64,285.82,0.0
306.64,295.82,0.0
306.64,305.81,0.0
306.64,315.8,0.0
306.64,325.8,0.0
306.64,335.79,0.0
306.64,345.78,0.0
306.64,355.78,0.0
306.64,365.77,0.0
306.64,375.77,0.0
306.64,385.76,0.0
306.64,395.75,0.0
306.64,405.75,0.0
306.64,415.74,0.0
306.64,425.73,0.0
306.64,435.73,0.0
306.64,445.72,0.0
306.64,455.72,0.0
306.64,465.71,0.0
306.64,475.7,0.0
306.64,485.7,0.0
306.64,495.69,0.0
306.64,505.68,0.0
306.64,515.68,0.0
306.64,525.67,0.0
306.64,535.67,0.0
306.64,545.66,0.0
306.64,555.65,0.0
306.64,565.65,0.0
306.64,575.64,0.0
306.64,585.63,0.0
306.64,595.63,0.0
306.64,605.62,0.0
306.64,615.62,0.0
306.64,625.61,0.0
306.64,635.6,0.0
306.64,645.6,0.0
306.64,655.59,0.0
306.64,665.58,0.0
306.64,675.58,0.0
306.64,685.57,0.0
306.64,695.57,0.0
306.64,705.56,0.0
306.64,715.55,0.0
306.64,725.55,0.0
306.64,735.54,0.0
306.64,745.53,0.0
306.64,755.53,0.0
306.64,765.52,0.0
306.64,775.52,0.0
306.64,785.51,0.0
306.64,795.5,0.0
306.64,805.5,0.0
306.64,815.49,0.0
306.64,825.48,0.0
306.64,835.48,0.0
306.64,845.47,0.0
306.64,855.47,0.0
306.64,865.46,0.0
306.64,875.45,0.0
306.64,885.45,0.0
306.64,895.44,0.0
306.64,905.43,0.0
306.64,915.43,0.0
306.64,925.42,0.0
306.64,935.42,0.0
306.64,945.41,0.0
306.64,955.4,0.0
306.64,965.4,0.0
306.64,975.39,0.0
306.64,985.38,0.0
306.64,995.38,0.0
306.64,1005.4,0.0
306.64,1015.4,0.0
306.64,1025.4,0.0
306.64,1035.4,0.0
306.64,1045.3,0.0
306.64,1055.3,0.0
306.64,1065.3,0.0
306.64,1075.3,0.0
306.64,1085.3,0.0
306.64,1095.3,0.0
306.64,1105.3,0.0
306.64,1115.3,0.0
306.64,1125.3,0.0
306.64,1135.3,0.0
306.64,1145.3,0.0
306.64,1155.3,0.0
306.64,1165.3,0.0
306.64,1175.3,0.0
306.64,1185.3,0.0
306.64,1195.3,0.0
306.64,1205.2,0.0
306.64,1215.2,0.0
306.64,1225.2,0.0
306.64,1235.2,0.0
306.64,1245.2,0.0
306.64,1255.2,0.0
306.64,1265.2,0.0
306.64,1275.2,0.0
306.64,1285.2,0.0
306.64,1295.2,0.0
306.64,1305.2,0.0
306.64,1315.2,0.0
306.64,1325.2,0.0
306.64,1335.2,0.0
306.64,1345.2,0.0
306.64,1355.2,0.0
306.64,1365.1,0.0
306.64,1375.1,0.0
306.64,1385.1,0.0
306.64,1395.1,0.0
306.64,1405.1,0.0
306.64,1415.1,0.0
306.64,1425.1,0.0
306.64,1435.1,0.0
306.64,1445.1,0.0
306.64,1455.1,0.0
306.64,1465.1,0.0
306.64,1475.1,0.0
306.64,1485.1,0.0
306.64,1495.1,0.0
306.64,1505.1,0.0
306.64,1515.1,0.0
306.64,1525.0,0.0
306.64,1535.0,0.0
306.64,1545.0,0.0
306.64,1555.0,0.0
306.64,1565.0,0.0
306.64,1575.0,0.0
306.64,1585.0,0.0
306.64,1595.0,0.0
319.92,5.9969,0.19322
319.92,15.991,0.20308
319.92,25.984,0.21294
319.92,35.978,0.2228
319.92,45.972,0.23265
319.92,55.966,0.24251
319.92,65.959,0.25237
319.92,75.953,0.26223
319.92,85.947,0.26734
319.92,95.941,0.26882
319.92,105.93,0.28507
319.92,115.93,0.31142
319.92,125.92,0.33777
319.92,135.92,0.36412
319.92,145.91,0.39047
319.92,155.9,0.41682
319.92,165.9,0.44317
319.92,175.89,0.46952
319.92,185.88,0.48483
319.92,195.88,0.49218
319.92,205.87,0.4952
319.92,215.87,0.4952
319.92,225.86,0.50393
319.92,235.85,0.51862
319.92,245.85,0.54794
319.92,255.84,0.5874
319.92,265.83,0.62715
319.92,275.83,0.72435
319.92,285.82,0.85131
319.92,295.82,0.0
319.92,305.81,0.0
319.92,315.8,0.0
319.92,325.8,0.0
319.92,335.79,0.0
319.92,345.78,0.0
319.92,355.78,0.0
319.92,365.77,0.0
319.92,375.77,0.0
319.92,385.76,0.0
319.92,395.75,0.0
319.92,405.75,0.0
319.92,415.74,0.0
319.92,425.73,0.0
319.92,435.73,0.0
319.92,445.72,0.0
319.92,455.72,0.0
319.92,465.71,0.0
319.92,475.7,0.0
319.92,485.7,0.0
319.92,495.69,0.0
319.92,505.68,0.0
319.92,515.68,0.0
319.92,525.67,0.0
319.92,535.67,0.0
319.92,545.66,0.0
319.92,555.65,0.0
319.92,565.65,0.0
319.92,575.64,0.0
319.92,585.63,0.0
319.92,595.63,0.0
319.92,605.62,0.0
319.92,615.62,0.0
319.92,625.61,0.0
319.92,635.6,0.0
319.92,645.6,0.0
319.92,655.59,0.0
319.92,665.58,0.0
319.92,675.58,0.0
319.92,685.57,0.0
319.92,695.57,0.0
319.92,705.56,0.0
319.92,715.55,0.0
319.92,725.55,0.0
319.92,735.54,0.0
319.92,745.53,0.0
319.92,755.53,0.0
