#: table_doi: 10.17182/hepdata.90835.v1/t71
#: name: T2qq (1 flavor) expected + 1 s.d. mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections (single flavor)
#: data_file: t2qq_(1_flavor)_expected_+_1_s.d._mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SQUARK SQUARK | SQUARK --> Q NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Expected + 1 s.d.
M(SQUARK) [GeV],M(NEUTRALINO1) [GeV]
1188.3,1.0
1180.7,100.0
1171.6,156.88
1163.7,200.0
1159.2,218.33
1150.0,248.08
1138.7,277.41
1132.9,300.0
1100.0,359.49
1082.8,382.75
1063.9,400.0
1050.0,412.07
1031.0,431.0
1000.0,449.99
1000.0,450.0
999.99,450.0
950.0,469.14
924.2,475.8
900.0,482.81
858.06,491.94
850.0,493.88
801.74,498.26
800.0,498.59
758.71,500.0
750.23,500.23
750.0,500.33
712.17,512.17
700.0,528.5
681.84,550.0
650.0,599.03
648.92,599.46
615.45,590.45
615.15,590.15
592.44,567.44
585.57,560.57
573.4,548.4
554.39,529.39
551.95,526.95

