#: table_doi: 10.17182/hepdata.90835.v1/t54
#: name: T2bb observed mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections
#: data_file: t2bb_observed_mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SBOTTOM SBOTTOM | SBOTTOM --> BQ NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Observed
M(SBOTTOM) [GeV],M(NEUTRALINO1) [GeV]
411.35,386.35
411.35,386.35
558.83,533.83
598.72,573.04
621.48,595.46
627.9,599.45
627.97,600.88
650.0,614.08
660.5,620.18
663.29,621.95
675.0,629.15
693.63,640.63
700.0,643.47
701.14,644.86
725.0,652.31
735.77,654.4
750.0,655.69
754.68,655.06
775.0,650.99
781.45,648.33
782.32,647.71
784.41,645.64
800.0,638.5
822.09,632.08
850.0,627.35
875.59,626.25
900.0,626.56
922.6,627.17
950.0,627.84
968.62,627.7
1000.0,625.91
1027.7,622.87
1050.0,617.93
1070.5,610.72
1100.0,595.02
1111.0,583.45
1120.9,572.7
1136.1,547.51
1141.3,536.71
1150.0,516.48
1159.6,489.4
1169.4,460.51
1183.2,416.32
1186.3,406.63
1200.0,328.12
1204.0,300.0
1205.3,289.42
1214.2,200.0
1214.9,170.13
1217.0,100.0
1221.6,1.0
1221.6,1.0

