#: table_doi: 10.17182/hepdata.90835.v1/t79
#: name: T2qq significance
#: description: The observed significance of the SMS models for T2qq as function of the LSP and light squark masses. 
#: data_file: t2qq_significance.yaml
#: keyword observables: SIGNIF
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SQUARK SQUARK | SQUARK --> Q NEUTRALINO1
#: Significance,
M(SQUARK) [GeV],M(NEUTRALINO1) [GeV],Significance [s.d.]
306.25,9.5898,-0.092756
306.25,26.77,-0.10858
306.25,43.949,-0.13349
306.25,61.129,-0.15841
306.25,78.309,-0.18332
306.25,95.488,-0.20824
306.25,112.67,-0.19646
306.25,129.85,-0.17161
306.25,147.03,-0.14676
306.25,164.21,-0.12191
306.25,181.39,-0.097063
306.25,198.57,-0.10533
306.25,215.75,-0.11265
306.25,232.93,-0.1662
306.25,250.11,-0.21989
306.25,267.29,-0.29537
306.25,284.46,0.0
306.25,301.64,0.0
306.25,318.82,0.0
306.25,336.0,0.0
306.25,353.18,0.0
306.25,370.36,0.0
306.25,387.54,0.0
306.25,404.72,0.0
306.25,421.9,0.0
306.25,439.08,0.0
306.25,456.26,0.0
306.25,473.44,0.0
306.25,490.62,0.0
306.25,507.8,0.0
306.25,524.98,0.0
306.25,542.16,0.0
306.25,559.34,0.0
306.25,576.52,0.0
306.25,593.7,0.0
306.25,610.88,0.0
306.25,628.06,0.0
306.25,645.24,0.0
306.25,662.42,0.0
306.25,679.6,0.0
306.25,696.78,0.0
306.25,713.96,0.0
306.25,731.14,0.0
306.25,748.32,0.0
306.25,765.5,0.0
306.25,782.68,0.0
306.25,799.86,0.0
306.25,817.04,0.0
306.25,834.21,0.0
306.25,851.39,0.0
306.25,868.57,0.0
306.25,885.75,0.0
306.25,902.93,0.0
306.25,920.11,0.0
306.25,937.29,0.0
306.25,954.47,0.0
306.25,971.65,0.0
306.25,988.83,0.0
306.25,1006.0,0.0
306.25,1023.2,0.0
306.25,1040.4,0.0
306.25,1057.6,0.0
306.25,1074.7,0.0
306.25,1091.9,0.0
306.25,1109.1,0.0
306.25,1126.3,0.0
306.25,1143.4,0.0
306.25,1160.6,0.0
306.25,1177.8,0.0
306.25,1195.0,0.0
306.25,1212.2,0.0
306.25,1229.3,0.0
306.25,1246.5,0.0
306.25,1263.7,0.0
306.25,1280.9,0.0
306.25,1298.1,0.0
306.25,1315.2,0.0
306.25,1332.4,0.0
306.25,1349.6,0.0
306.25,1366.8,0.0
306.25,1384.0,0.0
306.25,1401.1,0.0
306.25,1418.3,0.0
306.25,1435.5,0.0
306.25,1452.7,0.0
306.25,1469.9,0.0
306.25,1487.0,0.0
306.25,1504.2,0.0
306.25,1521.4,0.0
306.25,1538.6,0.0
306.25,1555.8,0.0
306.25,1572.9,0.0
306.25,1590.1,0.0
306.25,1607.3,0.0
306.25,1624.5,0.0
306.25,1641.7,0.0
306.25,1658.8,0.0
306.25,1676.0,0.0
306.25,1693.2,0.0
306.25,1710.4,0.0
306.25,1727.6,0.0
306.25,1744.7,0.0
306.25,1761.9,0.0
306.25,1779.1,0.0
306.25,1796.3,0.0
306.25,1813.5,0.0
306.25,1830.6,0.0
306.25,1847.8,0.0
306.25,1865.0,0.0
306.25,1882.2,0.0
306.25,1899.4,0.0
306.25,1916.5,0.0
306.25,1933.7,0.0
306.25,1950.9,0.0
306.25,1968.1,0.0
306.25,1985.3,0.0
306.25,2002.4,0.0
306.25,2019.6,0.0
306.25,2036.8,0.0
306.25,2054.0,0.0
306.25,2071.2,0.0
306.25,2088.3,0.0
306.25,2105.5,0.0
306.25,2122.7,0.0
306.25,2139.9,0.0
306.25,2157.1,0.0
306.25,2174.2,0.0
306.25,2191.4,0.0
318.75,9.5898,-0.089941
318.75,26.77,-0.073589
318.75,43.949,-0.071227
318.75,61.129,-0.096141
318.75,78.309,-0.12106
318.75,95.488,-0.14597
318.75,112.67,-0.13419
318.75,129.85,-0.10934
318.75,147.03,-0.084494
318.75,164.21,-0.064753
318.75,181.39,-0.091307
318.75,198.57,-0.11786
318.75,215.75,-0.058379
318.75,232.93,-0.090796
318.75,250.11,-0.14448
318.75,267.29,-0.2188
318.75,284.46,-0.28276
318.75,301.64,0.0
318.75,318.82,0.0
318.75,336.0,0.0
318.75,353.18,0.0
318.75,370.36,0.0
318.75,387.54,0.0
318.75,404.72,0.0
318.75,421.9,0.0
318.75,439.08,0.0
318.75,456.26,0.0
318.75,473.44,0.0
318.75,490.62,0.0
318.75,507.8,0.0
318.75,524.98,0.0
318.75,542.16,0.0
318.75,559.34,0.0
318.75,576.52,0.0
318.75,593.7,0.0
318.75,610.88,0.0
318.75,628.06,0.0
318.75,645.24,0.0
318.75,662.42,0.0
318.75,679.6,0.0
318.75,696.78,0.0
318.75,713.96,0.0
318.75,731.14,0.0
318.75,748.32,0.0
318.75,765.5,0.0
318.75,782.68,0.0
318.75,799.86,0.0
318.75,817.04,0.0
318.75,834.21,0.0
318.75,851.39,0.0
318.75,868.57,0.0
318.75,885.75,0.0
318.75,902.93,0.0
318.75,920.11,0.0
318.75,937.29,0.0
318.75,954.47,0.0
318.75,971.65,0.0
318.75,988.83,0.0
318.75,1006.0,0.0
318.75,1023.2,0.0
318.75,1040.4,0.0
318.75,1057.6,0.0
318.75,1074.7,0.0
318.75,1091.9,0.0
318.75,1109.1,0.0
318.75,1126.3,0.0
318.75,1143.4,0.0
318.75,1160.6,0.0
318.75,1177.8,0.0
318.75,1195.0,0.0
318.75,1212.2,0.0
318.75,1229.3,0.0
318.75,1246.5,0.0
318.75,1263.7,0.0
318.75,1280.9,0.0
318.75,1298.1,0.0
318.75,1315.2,0.0
318.75,1332.4,0.0
318.75,1349.6,0.0
318.75,1366.8,0.0
318.75,1384.0,0.0
318.75,1401.1,0.0
318.75,1418.3,0.0
318.75,1435.5,0.0
318.75,1452.7,0.0
318.75,1469.9,0.0
318.75,1487.0,0.0
318.75,1504.2,0.0
318.75,1521.4,0.0
318.75,1538.6,0.0
318.75,1555.8,0.0
318.75,1572.9,0.0
318.75,1590.1,0.0
318.75,1607.3,0.0
318.75,1624.5,0.0
318.75,1641.7,0.0
318.75,1658.8,0.0
318.75,1676.0,0.0
318.75,1693.2,0.0
318.75,1710.4,0.0
318.75,1727.6,0.0
318.75,1744.7,0.0
318.75,1761.9,0.0
318.75,1779.1,0.0
318.75,1796.3,0.0
318.75,1813.5,0.0
318.75,1830.6,0.0
318.75,1847.8,0.0
318.75,1865.0,0.0
318.75,1882.2,0.0
318.75,1899.4,0.0
318.75,1916.5,0.0
318.75,1933.7,0.0
318.75,1950.9,0.0
318.75,1968.1,0.0
318.75,1985.3,0.0
318.75,2002.4,0.0
318.75,2019.6,0.0
318.75,2036.8,0.0
318.75,2054.0,0.0
318.75,2071.2,0.0
318.75,2088.3,0.0
318.75,2105.5,0.0
318.75,2122.7,0.0
318.75,2139.9,0.0
318.75,2157.1,0.0
318.75,2174.2,0.0
318.75,2191.4,0.0
331.25,9.5898,-0.087126
331.25,26.77,-0.070774
331.25,43.949,-0.054421
331.25,61.129,-0.038069
331.25,78.309,-0.058789
331.25,95.488,-0.083704
331.25,112.67,-0.071924
331.25,129.85,-0.047076
331.25,147.03,-0.050733
331.25,164.21,-0.077287
331.25,181.39,-0.10384
331.25,198.57,-0.13039
331.25,215.75,-0.070913
331.25,232.93,-0.015388
331.25,250.11,-0.069074
331.25,267.29,-0.13902
331.25,284.46,-0.20247
331.25,301.64,-0.32847
331.25,318.82,0.0
331.25,336.0,0.0
331.25,353.18,0.0
331.25,370.36,0.0
331.25,387.54,0.0
331.25,404.72,0.0
331.25,421.9,0.0
331.25,439.08,0.0
331.25,456.26,0.0
331.25,473.44,0.0
331.25,490.62,0.0
331.25,507.8,0.0
331.25,524.98,0.0
331.25,542.16,0.0
331.25,559.34,0.0
331.25,576.52,0.0
331.25,593.7,0.0
331.25,610.88,0.0
331.25,628.06,0.0
331.25,645.24,0.0
331.25,662.42,0.0
331.25,679.6,0.0
331.25,696.78,0.0
331.25,713.96,0.0
331.25,731.14,0.0
331.25,748.32,0.0
331.25,765.5,0.0
331.25,782.68,0.0
331.25,799.86,0.0
331.25,817.04,0.0
331.25,834.21,0.0
331.25,851.39,0.0
331.25,868.57,0.0
331.25,885.75,0.0
331.25,902.93,0.0
331.25,920.11,0.0
331.25,937.29,0.0
331.25,954.47,0.0
331.25,971.65,0.0
331.25,988.83,0.0
331.25,1006.0,0.0
331.25,1023.2,0.0
331.25,1040.4,0.0
331.25,1057.6,0.0
331.25,1074.7,0.0
331.25,1091.9,0.0
331.25,1109.1,0.0
331.25,1126.3,0.0
331.25,1143.4,0.0
331.25,1160.6,0.0
331.25,1177.8,0.0
331.25,1195.0,0.0
331.25,1212.2,0.0
331.25,1229.3,0.0
