#: table_doi: 10.17182/hepdata.90835.v1/t21
#: name: T1tttt observed - 1 s.d.(theory) mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections
#: data_file: t1tttt_observed_-_1_s.d.(theory)_mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> GLUINO GLUINO | GLUINO --> TQ TQBAR NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Observed - 1 s.d.(theory)
M(GLUINO) [GeV],M(NEUTRALINO1) [GeV]
687.87,463.53
1172.0,945.03
1330.1,1102.3
1355.6,1120.2
1358.3,1124.1
1400.0,1141.9
1441.2,1153.9
1450.0,1153.9
1454.6,1155.6
1500.0,1157.2
1541.7,1160.8
1550.0,1162.3
1584.1,1169.4
1600.0,1175.1
1621.6,1182.9
1650.0,1196.0
1652.9,1197.0
1656.1,1199.0
1700.0,1217.4
1724.7,1227.2
1750.0,1236.3
1782.9,1247.1
1797.4,1247.0
1800.0,1248.2
1825.7,1237.7
1850.0,1222.8
1887.7,1195.0
1900.0,1185.1
1934.6,1155.7
1950.0,1142.6
1999.5,1100.1
2000.0,1100.1
2000.2,1100.0
2000.4,1099.6
2036.7,1050.0
2041.4,1041.4
2050.0,1031.1
2069.0,1000.0
2083.5,932.96
2090.9,900.0
2100.0,854.16
2107.3,814.64
2111.2,800.0
2121.0,742.01
2126.1,700.0
2128.7,642.69
2131.1,600.0
2131.2,537.59
2132.9,500.0
2134.0,431.94
2135.3,400.0
2134.7,369.35
2143.5,300.0
2142.4,284.71
2131.1,200.0
2127.4,145.26
2128.3,100.0
2129.5,41.603
2126.9,1.0
2126.9,1.0

