#: table_doi: 10.17182/hepdata.90835.v1/t63
#: name: T2qq observed - 1 s.d.(theory) mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections (u d s c)
#: data_file: t2qq_observed_-_1_s.d.(theory)_mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SQUARK SQUARK | SQUARK --> Q NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Observed - 1 s.d.(theory)
M(SQUARK) [GeV],M(NEUTRALINO1) [GeV]
580.89,555.89
902.59,877.59
905.57,880.57
908.01,883.01
909.7,884.7
918.96,893.96
909.79,879.89
916.65,866.67
920.0,850.0
915.24,834.76
915.72,800.0
924.7,775.3
932.78,750.0
935.63,735.63
950.0,736.16
994.15,744.15
1000.0,744.91
1004.4,745.56
1019.2,750.0
1044.6,755.36
1050.0,754.18
1099.0,750.96
1100.0,751.57
1134.1,765.89
1150.0,764.26
1194.2,755.8
1200.0,757.26
1249.7,750.3
1250.0,750.3
1254.9,750.0
1300.0,746.8
1343.9,743.89
1350.0,740.73
1399.6,700.0
1399.8,699.79
1400.0,699.47
1426.8,653.57
1450.0,624.89
1464.0,600.0
1500.0,511.9
1502.6,505.29
1504.6,500.0
1511.7,476.63
1533.6,400.0
1550.0,320.02
1553.6,300.0
1566.1,232.12
1572.3,200.0
1578.3,143.4
1577.0,100.0
1574.5,51.522
1578.3,1.0

