#: table_doi: 10.17182/hepdata.90835.v1/t67
#: name: T2qq (1 flavor) observed mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections (u d s c)
#: data_file: t2qq_(1_flavor)_observed_mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> SQUARK SQUARK | SQUARK --> Q NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Observed
M(SQUARK) [GeV],M(NEUTRALINO1) [GeV]
1132.9,1.0
1134.0,100.0
1125.2,150.42
1118.5,200.0
1112.4,224.72
1100.0,272.83
1091.4,300.0
1076.3,323.68
1056.2,356.24
1050.0,358.57
1003.3,400.0
1001.5,401.46
1000.0,402.04
960.03,410.03
950.0,418.56
929.18,429.18
900.0,439.53
866.83,450.0
850.0,452.89
847.67,452.33
800.0,454.66
796.4,453.6
769.35,450.0
754.34,445.66
750.0,445.99
745.56,445.56
700.0,435.8
667.24,432.76
650.0,429.6
625.78,425.78
616.18,450.0
608.62,458.62
600.0,481.39
593.13,500.0
594.33,502.83
600.0,539.36
601.61,548.39
601.31,550.0
600.56,574.72
600.85,575.42
600.89,575.89
605.47,580.47
586.23,561.23
580.69,555.69
569.3,544.3
553.67,528.67
551.71,526.71

