#: table_doi: 10.17182/hepdata.90835.v1/t84
#: name: T2tt efficiency
#: description: The efficiency times acceptance of the SMS models for T2tt as function of the top squark and LSP masses. The efficiency times acceptance is given for the total signal across the set of 174 search regions.
#: data_file: t2tt_efficiency.yaml
#: keyword observables: EFF
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> STOP STOP | STOP --> TQ NEUTRALINO1
#: Efficiency,
M(STOP) [GeV],M(NEUTRALINO1) [GeV],Efficiency $\times$ Acceptance
156.09,4.5906,0.00011292
156.09,11.772,0.00013055
156.09,18.953,0.00013756
156.09,26.134,0.0001442
156.09,33.316,0.00014884
156.09,40.497,0.00015349
156.09,47.678,0.00016598
156.09,54.859,0.00017496
156.09,62.041,0.00018313
156.09,69.222,0.00019282
156.09,76.403,0.0
156.09,83.584,0.0
156.09,90.766,0.0
156.09,97.947,0.0
156.09,105.13,0.0
156.09,112.31,0.0
156.09,119.49,0.0
156.09,126.67,0.0
156.09,133.85,0.0
156.09,141.03,0.0
156.09,148.22,0.0
156.09,155.4,0.0
156.09,162.58,0.0
156.09,169.76,0.0
156.09,176.94,0.0
156.09,184.12,0.0
156.09,191.3,0.0
156.09,198.48,0.0
156.09,205.67,0.0
156.09,212.85,0.0
156.09,220.03,0.0
156.09,227.21,0.0
156.09,234.39,0.0
156.09,241.57,0.0
156.09,248.75,0.0
156.09,255.93,0.0
156.09,263.12,0.0
156.09,270.3,0.0
156.09,277.48,0.0
156.09,284.66,0.0
156.09,291.84,0.0
156.09,299.02,0.0
156.09,306.2,0.0
156.09,313.38,0.0
156.09,320.57,0.0
156.09,327.75,0.0
156.09,334.93,0.0
156.09,342.11,0.0
156.09,349.29,0.0
156.09,356.47,0.0
156.09,363.65,0.0
156.09,370.83,0.0
156.09,378.02,0.0
156.09,385.2,0.0
156.09,392.38,0.0
156.09,399.56,0.0
156.09,406.74,0.0
156.09,413.92,0.0
156.09,421.1,0.0
156.09,428.28,0.0
156.09,435.47,0.0
156.09,442.65,0.0
156.09,449.83,0.0
156.09,457.01,0.0
156.09,464.19,0.0
156.09,471.37,0.0
156.09,478.55,0.0
156.09,485.73,0.0
156.09,492.92,0.0
156.09,500.1,0.0
156.09,507.28,0.0
156.09,514.46,0.0
156.09,521.64,0.0
156.09,528.82,0.0
156.09,536.0,0.0
156.09,543.18,0.0
156.09,550.37,0.0
156.09,557.55,0.0
156.09,564.73,0.0
156.09,571.91,0.0
156.09,579.09,0.0
156.09,586.27,0.0
156.09,593.45,0.0
156.09,600.63,0.0
156.09,607.82,0.0
