#: table_doi: 10.17182/hepdata.90835.v1/t49
#: name: T2tt observed - 1 s.d.(theory) mass limit curve
#: description: Exclusion limits assuming the approximate-NNLO+NNLL cross sections
#: data_file: t2tt_observed_-_1_s.d.(theory)_mass_limit_curve.yaml
#: keyword observables: CLS
#: keyword phrases: SUSY | Supersymmetry
#: keyword cmenergies: 13000
#: keyword reactions: P P --> STOP STOP | STOP --> TQ NEUTRALINO1
#: LUMINOSITY [fb$^{-1}$],137
#: Limit boundary,Observed - 1 s.d.(theory)
M(STOP) [GeV],M(NEUTRALINO1) [GeV]
340.59,253.62
483.56,396.24
493.88,406.54
495.83,407.82
495.89,408.12
500.0,410.28
502.27,411.52
525.0,422.95
528.67,425.23
530.14,426.02
536.1,430.34
550.0,440.51
561.02,448.58
567.12,452.93
575.0,458.49
587.68,467.0
597.62,473.62
596.99,473.64
600.0,475.38
617.44,485.12
625.0,489.87
636.04,496.76
638.57,498.76
650.0,507.19
670.68,523.28
673.87,523.81
675.0,526.01
694.0,532.02
700.0,533.88
716.04,537.5
725.0,538.81
737.29,540.49
750.0,542.82
757.75,544.13
775.0,547.81
779.3,548.87
792.61,551.56
800.0,552.62
821.2,554.39
825.0,554.8
846.29,555.28
850.0,555.72
854.84,556.01
891.25,558.15
900.0,564.44
937.77,562.23
950.0,563.82
999.26,550.74
1000.0,550.83
1002.9,550.0
1035.6,535.61
1050.0,524.29
1062.3,500.0
1071.9,478.1
1082.1,450.0
1100.0,407.1
1102.8,400.0
1111.2,361.23
1111.4,350.0
1118.0,318.04
1127.9,300.0
1134.9,265.13
1137.0,250.0
1139.4,239.43
1136.5,200.0
1137.4,187.44
1150.0,156.28
1151.4,151.39
1151.6,150.0
1151.7,148.3
1152.9,100.0
1153.3,96.722
1158.7,50.0
1158.6,41.549
1155.1,1.0
1155.1,1.0

