#: table_doi: 10.17182/hepdata.81626.v1/t36
#: name: Acceptance/Efficiency 7
#: description: Acceptance and efficiency for $\mathrm{SR}^{\gamma j}_{L}$ for the signal models of the photon+jets GGM grid.
#: data_file: data36.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO1) [GEV],ACCEPTANCE
1336.0,147.0,0.03164
1336.0,191.0,0.03771
1336.0,239.0,0.04509
1336.0,442.0,0.08707
1336.0,652.0,0.11249
1336.0,862.0,0.11571
1336.0,1073.0,0.06167
1336.0,1230.0,0.03395
1336.0,1283.0,0.02398
1429.0,147.0,0.0358
1429.0,191.0,0.04578
1429.0,239.0,0.05502
1429.0,442.0,0.09765
1429.0,652.0,0.13776
1429.0,862.0,0.14872
1429.0,1073.0,0.09669
1429.0,1283.0,0.04903
1429.0,1325.0,0.03906
1429.0,1377.0,0.02329
1522.0,147.0,0.04498
1522.0,191.0,0.04977
1522.0,239.0,0.06591
1522.0,442.0,0.11069
1522.0,652.0,0.16026
1522.0,862.0,0.16388
1522.0,1073.0,0.13785
1522.0,1283.0,0.06952
1522.0,1414.0,0.04078
1522.0,1471.0,0.02545
1614.0,147.0,0.05116
1614.0,191.0,0.05882
1614.0,239.0,0.07034
1614.0,442.0,0.11495
1614.0,652.0,0.15452
1614.0,862.0,0.18096
1614.0,1073.0,0.16853
1614.0,1283.0,0.097
1614.0,1513.0,0.0385
1614.0,1555.0,0.02703
1705.0,147.0,0.0541
1705.0,191.0,0.06217
1705.0,239.0,0.07727
1705.0,442.0,0.11876
1705.0,652.0,0.17526
1705.0,862.0,0.19322
1705.0,1073.0,0.19169
1705.0,1283.0,0.14569
1705.0,1492.0,0.06526
1705.0,1597.0,0.03831
1705.0,1649.0,0.027
1795.0,147.0,0.05836
1795.0,191.0,0.06919
1795.0,239.0,0.08096
1795.0,442.0,0.1283
1795.0,652.0,0.17061
1795.0,862.0,0.19045
1795.0,1073.0,0.20606
1795.0,1283.0,0.18496
1795.0,1492.0,0.08273
1795.0,1691.0,0.04177
1795.0,1743.0,0.02442
1885.0,147.0,0.06248
1885.0,191.0,0.06599
1885.0,239.0,0.08599
1885.0,442.0,0.13729
1885.0,652.0,0.16938
1885.0,862.0,0.20767
1885.0,1073.0,0.21688
1885.0,1283.0,0.20728
1885.0,1492.0,0.13419
1885.0,1701.0,0.05653
1885.0,1785.0,0.03866
1885.0,1826.0,0.02519
1974.0,147.0,0.06296
1974.0,191.0,0.07449
1974.0,239.0,0.08407
1974.0,442.0,0.12931
1974.0,652.0,0.17422
1974.0,862.0,0.21336
1974.0,1073.0,0.21921
1974.0,1283.0,0.21555
1974.0,1492.0,0.17267
1974.0,1701.0,0.07556
1974.0,1868.0,0.04138
1974.0,1920.0,0.02411
2063.0,147.0,0.06408
2063.0,191.0,0.07304
2063.0,239.0,0.08782
2063.0,442.0,0.1252
2063.0,652.0,0.17568
2063.0,862.0,0.20423
2063.0,1073.0,0.2192
2063.0,1283.0,0.22725
2063.0,1492.0,0.21601
2063.0,1701.0,0.11105
2063.0,1956.0,0.03866
2063.0,2008.0,0.02299
2151.0,147.0,0.06936
2151.0,191.0,0.0751
2151.0,239.0,0.08688
2151.0,442.0,0.13708
2151.0,652.0,0.1752
2151.0,862.0,0.20692
2151.0,1073.0,0.22055
2151.0,1283.0,0.22968
2151.0,1492.0,0.22837
2151.0,1701.0,0.15747
2151.0,1909.0,0.06185
2151.0,2039.0,0.03844
2151.0,2091.0,0.02466
2239.0,147.0,0.06903
2239.0,191.0,0.08075
2239.0,239.0,0.09402
2239.0,442.0,0.13236
2239.0,652.0,0.17481
2239.0,862.0,0.20601
2239.0,1073.0,0.21884
2239.0,1283.0,0.22087
2239.0,1492.0,0.2297
2239.0,1701.0,0.1972
2239.0,1909.0,0.08974
2239.0,2127.0,0.03963
2239.0,2178.0,0.02165
2326.0,147.0,0.07387
2326.0,191.0,0.07401
2326.0,239.0,0.09326
2326.0,442.0,0.13652
2326.0,652.0,0.17251
2326.0,862.0,0.20156
2326.0,1073.0,0.20834
2326.0,1283.0,0.22665
2326.0,1492.0,0.23602
2326.0,1701.0,0.21518
2326.0,1909.0,0.13494
2326.0,2117.0,0.0538
2326.0,2214.0,0.03738
2326.0,2265.0,0.02521
2412.0,147.0,0.06975
2412.0,191.0,0.0864
2412.0,239.0,0.09531
2412.0,442.0,0.13221
2412.0,652.0,0.17108
2412.0,862.0,0.19693
2412.0,1073.0,0.21687
2412.0,1283.0,0.23128
2412.0,1492.0,0.24142
2412.0,1701.0,0.22961
2412.0,1909.0,0.18437
2412.0,2117.0,0.06513
2412.0,2296.0,0.03897
2412.0,2347.0,0.02367
