#: table_doi: 10.17182/hepdata.77891.v5/t39
#: name: X-section U.L. & best SR 3  : Meff+RJR
#: description: Observed 95% CL upper limit on the signal cross-section from searches in a SUSY scenario where squarks are produced in pairs and decay via an intermediate lightest chargino to the lightest neutralino, $\tilde{q} \rightarrow q \tilde{\chi}_{1}^{\pm} \rightarrow q W^{\pm} \tilde{\chi}_{1}^{0}$.
#: data_file: data39.yaml
#: data_license:   
#: keyword reactions: P P --> SQUARK SQUARK X
#: keyword observables: SIG
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
#M(SQUARK) [GEV],M(NEUTRALINO1) [GEV],CROSS-SECTION UPPER LIMIT 95%CL (FB)
325.0,225.0,14552.2
325.0,275.0,13885.3
325.0,305.0,9777.71
425.0,225.0,3382.63
425.0,325.0,2028.88
425.0,375.0,3392.98
425.0,405.0,3850.95
525.0,225.0,878.985
525.0,325.0,1128.11
525.0,425.0,632.286
525.0,475.0,948.694
525.0,505.0,2172.07
625.0,225.0,264.402
625.0,325.0,461.826
625.0,425.0,947.231
625.0,525.0,251.369
625.0,575.0,918.003
625.0,605.0,1256.54
725.0,225.0,123.064
725.0,325.0,151.48
725.0,425.0,336.395
725.0,525.0,398.695
725.0,625.0,196.169
825.0,225.0,54.3313
825.0,325.0,88.3151
825.0,425.0,162.315
825.0,525.0,239.496
825.0,625.0,285.243
925.0,225.0,28.7347
925.0,325.0,37.957
925.0,425.0,36.6585
925.0,525.0,90.3186
925.0,625.0,280.566
1025.0,225.0,18.0667
1025.0,325.0,23.4682
1025.0,425.0,30.6551
1025.0,525.0,29.5924
1025.0,625.0,64.2867
1125.0,225.0,12.9728
1125.0,325.0,14.2133
1125.0,425.0,18.743
1125.0,525.0,25.819
1125.0,625.0,27.6092
1225.0,225.0,7.93151
1225.0,325.0,11.7053
1225.0,425.0,11.9809
1225.0,525.0,16.7007
1225.0,625.0,15.0123
1325.0,225.0,9.42032
1325.0,325.0,6.07372
1325.0,425.0,7.15239
1325.0,525.0,11.0514
1325.0,625.0,13.1303
### added them manually
425.0,125.0,2586.8
525.0,125.0,563.2
625.0,125.0,210.5
725.0,125.0,94.2
825.0,125.0,41.5
925.0,125.0,24.9
1025.0,125.0,16.9
1125.0,125.0,12.2
1225.0,125.0,7.1
1325.0,125.0,5.4
425.0,25.0,2528.9
525.0,25.0,509.9
625.0,25.0,174.8
725.0,25.0,82.6
825.0,25.0,44.3
925.0,25.0,24.4
1025.0,25.0,18.6
1125.0,25.0,9.4
1225.0,25.0,7.1
1325.0,25.0,5.5
