#: table_doi: 10.17182/hepdata.77891.v5/t62
#: name: X-section U.L. & best SR 8  : Meff
#: description: Observed 95% CL upper limit on the signal cross-section from Meff-based searches in a SUSY scenario where squarks are produced in pairs and decay via an intermediate lightest chargino or second lightest neutralino to the lightest neutralino, $\tilde{q} \rightarrow q \tilde{\chi}_{1}^{\pm} \rightarrow q W^{\pm} \tilde{\chi}_{1}^{0}$, or $\tilde{q} \rightarrow q \tilde{\chi}_{2}^{0} \rightarrow qq Z/h \tilde{\chi}_{1}^{0}$.
#: data_file: data62.yaml
#: data_license:   
#: keyword reactions: P P --> SQUARK SQUARK X
#: keyword observables: SIG
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
#M(SQUARK) [GEV],X,CROSS-SECTION UPPER LIMIT 95%CL (FB)
800.0,0.175676,96.2677
800.0,0.405405,48.7368
800.0,0.72973,33.0854
800.0,0.932432,77.8744
1000.0,0.138298,37.756
1000.0,0.425532,18.059
1000.0,0.680851,15.6025
1000.0,0.946809,18.1467
1200.0,0.114035,31.2644
1200.0,0.385965,17.9659
1200.0,0.701754,7.39365
1200.0,0.95614,10.6044
1400.0,0.097015,14.4998
1400.0,0.373134,4.80777
1400.0,0.671642,5.61911
1400.0,0.962687,4.92472
1600.0,0.084416,11.3372
1600.0,0.38961,2.81443
1600.0,0.714286,1.85587
1600.0,0.967532,4.78714

