#: table_doi: 10.17182/hepdata.77891.v5/t76
#: name: Exclusion contour(obs.) 12  : Meff
#: description: Observed 95% CL exclusion contours from Meff-based searches on the gluino and squark masses for inclusive squark-gluino production in pMSSM models with $m_{\tilde{\chi}_{1}^0}=995$ GeV.
#: data_file: data76.yaml
#: data_license:   
#: keyword reactions: P P --> SQUARK SQUARK or SQUARK GLUINO or GLUINO GLUINO X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(SQUARK) [GEV]
3812.0,2276.0
3904.0,2250.0
3938.0,2240.0
4062.0,2212.0
4188.0,2196.0
4312.0,2184.0
4438.0,2171.0
4562.0,2156.0
4614.0,2150.0
4688.0,2137.0
4812.0,2114.0
4938.0,2094.0
5062.0,2080.0
5188.0,2069.0
5312.0,2055.0
5347.0,2050.0
5438.0,2016.0
5562.0,1970.0
5615.0,1950.0
5562.0,1913.0
5438.0,1871.0
5312.0,1871.0
5188.0,1890.0
5062.0,1905.0
4938.0,1906.0
4812.0,1893.0
4688.0,1873.0
4562.0,1853.0
4542.0,1850.0
4438.0,1840.0
4312.0,1831.0
4188.0,1824.0
4062.0,1808.0
3938.0,1768.0
3904.0,1750.0
3812.0,1704.0
3724.0,1650.0
3688.0,1625.0
3580.0,1550.0
3562.0,1531.0
3487.0,1450.0
3438.0,1371.0
3420.0,1350.0
3312.0,1269.0
3270.0,1250.0
3188.0,1220.0
3062.0,1165.0
3041.0,1150.0
2946.0,1050.0
1946.0,0.
0.,0.
0.,3753.
1062.0,3753.0
1089.0,3750.0
1188.0,3738.0
1312.0,3693.0
1369.0,3650.0
1438.0,3580.0
1463.0,3550.0
1542.0,3450.0
1562.0,3423.0
1637.0,3350.0
1688.0,3301.0
1749.0,3250.0
1812.0,3199.0
1877.0,3150.0
1938.0,3111.0
2026.0,3050.0
2062.0,3032.0
2188.0,2962.0
2205.0,2950.0
2312.0,2883.0
2350.0,2850.0
2430.0,2750.0
2438.0,2737.0
2499.0,2650.0
2562.0,2579.0
2608.0,2550.0
2688.0,2520.0
2812.0,2484.0
2927.0,2450.0
2938.0,2448.0
3062.0,2418.0
3188.0,2396.0
3312.0,2378.0
3438.0,2359.0
3492.0,2350.0
3562.0,2338.0
3688.0,2311.0
3812.0,2276.0

