#: table_doi: 10.17182/hepdata.77891.v5/t51
#: name: Exclusion contour(obs.) 5  : Meff+RJR
#: description: Observed 95% CL exclusion contours from searches on the gluino and lightest neutralino masses in a SUSY scenario where gluinos are produced in pairs and decay via an intermediate lightest chargino to lightest neutralino, $\tilde{g} \rightarrow qq \tilde{\chi}_{1}^{\pm} \rightarrow qq W^{\pm} \tilde{\chi}_{1}^{0}$.
#: data_file: data51.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO1) [GEV]
1983.0,40.4
1982.0,60.61
1982.0,80.81
1983.0,101.0
1982.0,121.2
1981.0,141.4
1978.0,161.6
1973.0,181.8
1968.0,200.0
1967.0,202.0
1960.0,222.2
1951.0,242.4
1945.0,255.3
1942.0,262.6
1941.0,282.8
1941.0,303.0
1940.0,323.2
1938.0,343.4
1936.0,363.6
1934.0,383.8
1932.0,404.0
1930.0,424.2
1928.0,444.4
1925.0,464.6
1922.0,478.2
1920.0,484.8
1914.0,505.1
1904.0,525.3
1899.0,532.3
1886.0,545.5
1876.0,554.4
1856.0,565.7
1853.0,567.3
1830.0,577.0
1807.0,585.3
1806.0,585.9
1785.0,594.4
1762.0,605.4
1761.0,606.1
1739.0,624.4
1738.0,626.3
1732.0,646.5
1724.0,666.7
1716.0,685.0
1715.0,686.9
1705.0,707.1
1694.0,727.3
1693.0,728.2
1681.0,747.5
1670.0,760.4
1664.0,767.7
1647.0,785.2
1644.0,787.9
1624.0,806.6
1623.0,808.1
1603.0,828.3
1602.0,830.2
1586.0,848.5
1579.0,857.2
1569.0,868.7
1556.0,881.9
1547.0,888.9
1533.0,898.2
1510.0,905.7
1487.0,905.9
1464.0,900.9
1441.0,892.9
1431.0,888.9
1418.0,884.0
1396.0,875.8
1373.0,868.7
1373.0,868.5
1350.0,862.3
1327.0,857.3
1304.0,852.5
1286.0,848.5
1281.0,847.6
1258.0,842.8
1235.0,838.0
1213.0,834.0
1190.0,832.6
1167.0,837.2
1147.0,848.5
1144.0,851.1
1127.0,868.7
1121.0,875.6
1110.0,888.9
1098.0,901.6
1089.0,909.1
1075.0,918.2
1052.0,924.7
1030.0,924.7
1007.0,920.3
983.8,909.5
983.3,909.1
960.9,889.6
960.5,888.9
939.2,868.7
938.0,867.8
915.2,855.1
903.0,848.5
892.3,842.3
879.7,828.3
869.4,815.9
861.5,808.1
846.5,797.8
823.6,788.0
823.4,787.9
800.8,778.2
793.6,793.6
782.9,782.9
777.9,777.9
764.0,764.0
755.0,755.0
732.1,732.1
712.6,712.6
709.2,709.2
701.9,701.9
696.6,696.6
686.4,686.4
681.5,681.5
663.5,663.5
640.6,640.6
628.5,628.5
622.6,622.6
617.7,617.7
615.4,615.4
594.8,594.8
593.9,593.9
572.0,572.0
549.1,549.1
538.4,538.4
535.6,535.6
530.3,530.3
526.2,526.2
511.6,511.6
503.3,503.3
480.5,480.5
459.2,459.2
457.6,457.6
456.1,456.1
449.8,449.8
434.7,434.7
430.3,430.3
411.8,411.8

