#: table_doi: 10.17182/hepdata.77891.v5/t55
#: name: Exclusion contour(obs.) 5  : RJR
#: description: Observed 95% CL exclusion contours from RJR-based searches on the gluino and lightest neutralino masses in a SUSY scenario where gluinos are produced in pairs and decay via an intermediate lightest chargino to lightest neutralino, $\tilde{g} \rightarrow qq \tilde{\chi}_{1}^{\pm} \rightarrow qq W^{\pm} \tilde{\chi}_{1}^{0}$.
#: data_file: data55.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(NEUTRALINO1) [GEV]
1796.0,40.4
1795.0,60.61
1794.0,80.81
1795.0,101.0
1795.0,121.2
1795.0,141.4
1794.0,161.6
1792.0,181.8
1789.0,202.0
1785.0,222.2
1785.0,223.5
1781.0,242.4
1777.0,262.6
1777.0,282.8
1778.0,303.0
1779.0,323.2
1779.0,343.4
1779.0,363.6
1780.0,383.8
1781.0,404.0
1782.0,424.2
1783.0,444.4
1783.0,464.6
1783.0,484.8
1783.0,505.1
1782.0,525.3
1781.0,545.5
1780.0,565.7
1778.0,585.9
1777.0,606.1
1774.0,626.3
1768.0,646.5
1762.0,662.1
1758.0,666.7
1743.0,686.9
1739.0,691.7
1716.0,704.5
1707.0,707.1
1693.0,710.8
1670.0,715.1
1647.0,720.2
1630.0,727.3
1624.0,729.6
1608.0,747.5
1602.0,760.1
1598.0,767.7
1591.0,787.9
1584.0,808.1
1579.0,822.5
1577.0,828.3
1570.0,848.5
1560.0,868.7
1556.0,873.9
1543.0,888.9
1533.0,896.9
1510.0,906.6
1487.0,908.3
1464.0,905.0
1441.0,899.4
1418.0,893.8
1396.0,889.0
1395.0,888.9
1373.0,884.7
1350.0,880.2
1327.0,871.2
1322.0,868.7
1304.0,858.7
1287.0,848.5
1281.0,845.3
1258.0,831.4
1253.0,828.3
1235.0,817.9
1216.0,808.1
1213.0,806.1
1190.0,797.3
1167.0,791.6
1144.0,790.6
1121.0,799.0
1112.0,808.1
1102.0,828.3
1098.0,843.7
1097.0,848.5
1092.0,868.7
1084.0,888.9
1075.0,902.4
1069.0,909.1
1052.0,920.5
1030.0,924.6
1007.0,921.2
983.8,909.8
983.0,909.1
960.9,889.7
960.4,888.9
939.1,868.7
938.0,867.9
915.2,856.5
896.6,848.5
892.3,846.3
877.9,828.3
869.4,817.2
860.0,808.1
846.5,800.3
823.6,794.0
800.8,790.9
797.7,797.7
787.0,787.0
778.4,778.4
777.9,777.9
762.6,762.6
755.0,755.0
732.1,732.1
714.9,714.9
709.2,709.2
702.6,702.6
696.5,696.5
686.4,686.4
681.5,681.5
663.5,663.5
640.6,640.6
633.7,633.7
625.5,625.5
619.3,619.3
617.7,617.7
606.7,606.7
594.8,594.8
572.0,572.0
554.1,554.1
549.1,549.1
544.2,544.2
543.0,543.0
532.6,532.6
526.2,526.2
503.3,503.3
480.5,480.5
467.1,467.1
463.3,463.3
464.0,464.0
460.7,460.7
457.6,457.6
434.7,434.7
411.8,411.8

