#: table_doi: 10.17182/hepdata.77891.v5/t70
#: name: Exclusion contour(obs.) 10  : Meff
#: description: Observed 95% CL exclusion contours from Meff-based searches on the gluino and squark masses for inclusive squark-gluino production in pMSSM models with $m_{\tilde{\chi}_{1}^0}=0$ GeV.
#: data_file: data70.yaml
#: data_license:   
#: keyword reactions: P P --> SQUARK SQUARK or SQUARK GLUINO or GLUINO GLUINO X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(SQUARK) [GEV]
2176.0,3356.0
2207.0,3244.0
2231.0,3160.0
2240.0,3131.0
2292.0,3019.0
2344.0,2952.0
2382.0,2906.0
2456.0,2838.0
2519.0,2794.0
2569.0,2761.0
2681.0,2707.0
2744.0,2681.0
2794.0,2663.0
2906.0,2624.0
3019.0,2591.0
3131.0,2570.0
3137.0,2569.0
3244.0,2555.0
3356.0,2538.0
3469.0,2520.0
3581.0,2500.0
3694.0,2478.0
3787.0,2456.0
3806.0,2452.0
3919.0,2425.0
4031.0,2399.0
4144.0,2383.0
4256.0,2372.0
4369.0,2361.0
4481.0,2350.0
4540.0,2344.0
4594.0,2338.0
4706.0,2324.0
4819.0,2308.0
4931.0,2292.0
5044.0,2278.0
5156.0,2267.0
5269.0,2258.0
5381.0,2247.0
5494.0,2234.0
5517.0,2231.0
5606.0,2219.0
5719.0,2202.0
5831.0,2185.0
5944.0,2174.0
5944.0,0.
0.,0.
0.,5944.
1997.0,5944.0
2000.0,5831.0
2002.0,5719.0
2004.0,5606.0
2006.0,5521.0
2007.0,5494.0
2010.0,5381.0
2013.0,5269.0
2016.0,5156.0
2019.0,5044.0
2020.0,4931.0
2021.0,4819.0
2022.0,4706.0
2022.0,4594.0
2021.0,4481.0
2021.0,4369.0
2020.0,4256.0
2020.0,4144.0
2024.0,4031.0
2039.0,3919.0
2062.0,3806.0
2087.0,3694.0
2112.0,3581.0
2119.0,3553.0
2143.0,3469.0
2176.0,3356.0

