#: table_doi: 10.17182/hepdata.91127.v1/t15
#: name: Observed Upper Limits
#: description: Upper limits on observed wino-bino simplified model signal cross section $\sigma_\text{obs}^\text{95}$.
#: data_file: Observed_Upper_Limits.yaml
#: keyword reaction: P P --> CHARGINO NEUTRALINO
#: keyword observables: CLS
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Electroweak | Proton-Proton Scattering
#: cmenergies [GeV],13000
#: reaction,P P --> CHARGINO NEUTRALINO
#$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right)$ [GeV],$m\left(\widetilde{\chi}^{0}_{1}\right)$ [GeV],$\sigma_\text{obs}^\text{95}$ [pb]
100.0,20.0,29.8
100.0,30.0,50.46
100.0,40.0,67.37
100.0,60.0,173.6
110.0,20.0,12.12
110.0,30.0,27.83
110.0,40.0,42.4
110.0,50.0,63.49
110.0,70.0,617.96
125.0,35.0,6.18
125.0,45.0,20.53
125.0,55.0,30.33
125.0,65.0,54.42
125.0,85.0,537.06
140.0,50.0,4.47
140.0,60.0,17.81
140.0,70.0,30.05
140.0,80.0,44.74
140.0,100.0,416.55
150.0,1.0,1.29
150.0,50.0,2.83
150.0,60.0,3.77
150.0,70.0,13.76
150.0,80.0,28.42
150.0,90.0,56.22
150.0,110.0,144.27
200.0,1.0,0.56
200.0,50.0,0.63
200.0,100.0,1.6
200.0,110.0,1.72
200.0,120.0,6.14
200.0,130.0,29.4
200.0,140.0,32.72
200.0,160.0,126.43
250.0,1.0,0.36
250.0,50.0,0.4
250.0,100.0,0.48
250.0,150.0,1.18
250.0,170.0,5.5
250.0,190.0,35.92
300.0,100.0,0.32
300.0,150.0,0.43
300.0,200.0,0.99
300.0,220.0,3.81
300.0,240.0,40.24
350.0,0.0,0.22
350.0,50.0,0.24
350.0,100.0,0.25
350.0,150.0,0.28
350.0,200.0,0.42
350.0,250.0,0.86
350.0,270.0,2.86
350.0,290.0,31.68
400.0,0.0,0.18
400.0,100.0,0.21
400.0,200.0,0.28
400.0,300.0,0.76
450.0,50.0,0.17
450.0,150.0,0.18
450.0,250.0,0.28
500.0,0.0,0.16
500.0,50.0,0.15
500.0,100.0,0.16
500.0,150.0,0.18
500.0,200.0,0.18
500.0,300.0,0.24

