#: table_doi: 10.17182/hepdata.91127.v1/t10
#: name: Expected Limit 3LeRJR
#: description: Expected exclusion contour on C1N2 production assuming on-shell $W/Z$ decays as a function of the C1/N2 and N1 masses, and derived from the combined fit of low-mass and ISR regions.
#: data_file: Expected_Limit_3LeRJR.yaml
#: keyword reaction: P P --> CHARGINO NEUTRALINO
#: keyword observables: CLS
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Electroweak | Proton-Proton Scattering
#: cmenergies [GeV],13000
#: reaction,P P --> CHARGINO NEUTRALINO
#$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right)$ [GeV],$m\left(\widetilde{\chi}^{0}_{1}\right)$ [GeV]
100.76,23.183
102.42,24.284
106.57,27.135
110.71,30.492
114.85,34.334
118.99,38.321
123.13,42.273
127.27,46.232
131.41,50.118
135.56,53.826
139.7,57.524
143.84,61.421
147.98,65.467
152.12,69.566
156.26,73.646
158.92,76.197
160.4,77.612
164.55,81.433
168.69,85.145
172.83,88.834
176.97,92.581
181.11,96.445
185.25,100.46
189.39,104.59
193.54,108.77
197.68,112.85
201.82,116.68
205.96,120.13
210.1,123.17
213.01,125.13
214.24,125.78
218.38,128.13
222.53,130.64
225.8,132.77
226.67,133.29
230.81,136.05
234.95,139.08
239.09,142.33
243.23,145.74
247.37,149.19
247.38,149.19
251.52,152.29
255.66,155.1
259.8,157.74
263.25,159.92
263.94,160.3
268.08,162.71
272.22,165.25
276.36,167.92
276.48,167.99
280.51,170.47
284.65,173.08
288.79,175.68
290.16,176.52
292.93,177.94
297.07,179.79
299.49,180.7
301.21,181.12
305.35,181.92
305.97,182.03
309.49,182.12
311.24,182.15
313.64,181.8
315.74,181.5
317.78,180.87
319.66,180.27
321.92,179.21
323.15,178.61
326.06,176.84
326.35,176.65
329.41,174.57
330.2,174.02
332.48,172.48
334.34,171.24
335.61,170.46
338.48,168.7
338.82,168.52
342.05,166.6
342.63,166.21
345.21,164.61
346.77,163.47
348.22,162.46
350.91,160.18
351.01,160.1
353.51,157.45
355.05,155.33
355.67,154.46
357.51,151.15
359.11,147.6
359.19,147.39
360.55,143.88
361.84,140.02
363.01,136.04
363.33,134.76
364.07,131.95
365.05,127.78
365.95,123.52
366.78,119.2
367.47,115.33
367.57,114.84
368.31,110.43
369.0,105.97
369.62,101.44
370.18,96.845
370.69,92.208
371.19,87.553
371.62,83.711
371.71,82.919
372.3,78.356
372.99,73.897
373.8,69.562
374.74,65.349
375.76,61.285
375.77,61.227
376.87,57.174
377.98,53.132
379.06,49.06
379.9,45.65
380.08,44.93
381.03,40.73
381.88,36.428
382.62,32.016
383.25,27.494
383.78,22.866
384.04,19.92
384.2,18.144
384.54,13.333
384.8,8.4395
384.99,3.4723

