#: table_doi: 10.17182/hepdata.91374.v1/t80
#: name: Figure 41cd
#: description: Observed and Expected upper cross-section limits for wino-bino scenarios, assuming $m(\tilde{\chi}_{2}^{0}) \times m(\tilde{\chi}_{1}^{0})<0$.
#: data_file: figure_41cd.yaml
#: keyword reactions: P P --> WINO BINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
#$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Observed 95% CL Upper Limit [fb]
100.0,60.0,61.045
100.0,40.0,25.937
100.0,25.0,12.807
100.0,15.0,4.4756
100.0,10.0,2.1229
100.0,5.0,2.8687
100.0,3.0,7.3876
100.0,2.0,15.131
100.0,1.5,66.737
100.0,1.0,1924.2
125.0,25.0,7.8423
125.0,15.0,4.4124
125.0,10.0,1.7926
125.0,5.0,2.5188
125.0,3.0,7.4101
125.0,2.0,19.013
125.0,1.5,77.573
125.0,60.0,26.266
125.0,40.0,9.5171
125.0,35.0,12.576
125.0,30.0,12.755
150.0,40.0,7.2569
150.0,35.0,7.6437
150.0,30.0,7.5334
150.0,25.0,6.0823
150.0,15.0,3.1125
150.0,10.0,1.3052
150.0,5.0,2.2765
150.0,3.0,6.7623
150.0,2.0,20.864
150.0,1.5,100.12
150.0,60.0,19.048
175.0,60.0,11.493
175.0,40.0,6.0796
175.0,35.0,7.1527
175.0,30.0,5.8088
175.0,25.0,5.1872
175.0,15.0,2.2864
175.0,10.0,0.98829
175.0,5.0,1.9412
175.0,3.0,7.3608
175.0,2.0,43.248
200.0,60.0,8.8474
200.0,40.0,3.6094
200.0,35.0,5.9465
200.0,30.0,4.2137
200.0,25.0,4.3689
200.0,15.0,1.9317
200.0,10.0,1.0542
200.0,5.0,1.8647
200.0,3.0,7.8183
200.0,2.0,69.745
225.0,60.0,6.8938
225.0,40.0,3.5194
225.0,25.0,3.5231
225.0,15.0,2.0327
225.0,10.0,0.8534
225.0,5.0,1.976
225.0,3.0,8.7478
225.0,2.0,54.503
250.0,40.0,3.1359
250.0,15.0,1.8468
250.0,10.0,0.86543
250.0,5.0,2.1151
250.0,3.0,8.8801
275.0,40.0,3.079
275.0,25.0,2.9521
275.0,15.0,1.6019
275.0,10.0,0.93614
275.0,5.0,1.9721
275.0,3.0,9.6084
300.0,25.0,2.7983
300.0,15.0,11.173
300.0,10.0,0.98973
300.0,5.0,2.0407
325.0,25.0,2.2372
325.0,15.0,1.6481
325.0,10.0,0.80082
325.0,5.0,2.1432
90.0,5.0,2.6428
90.0,3.0,7.9453
90.0,2.0,14.646
90.0,1.5,30.403
90.0,1.0,509.65
