#: table_doi: 10.17182/hepdata.91127.v1/t24
#: name: Efficiency SR-ISR dMlt100
#: description: Signal efficiency in SR-ISR, for signals with $m(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}) - m\widetilde{\chi}^{0}_{1} < 100$ GeV.
#: data_file: Efficiency_SR-ISR_dMlt100.yaml
#: keyword reaction: P P --> CHARGINO NEUTRALINO
#: keyword observables: EFF
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Electroweak | Proton-Proton Scattering
#: cmenergies [GeV],,,,,13000
#: reaction,,,,,P P --> CHARGINO NEUTRALINO
#: region,,,,,SR-ISR
$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right) $[GeV],$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right) $[GeV] LOW,$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right) $[GeV] HIGH,$m\left(\widetilde{\chi}^{0}_{1}\right) $[GeV],$m\left(\widetilde{\chi}^{0}_{1}\right) $[GeV] LOW,$m\left(\widetilde{\chi}^{0}_{1}\right) $[GeV] HIGH,Signal Efficiency [%]
100.0,100.0,105.0,60.0,60.0,65.0,11.3
140.0,140.0,145.0,60.0,60.0,65.0,7.11
150.0,150.0,155.0,60.0,60.0,65.0,6.99
125.0,125.0,130.0,65.0,65.0,70.0,5.63
110.0,110.0,115.0,70.0,70.0,75.0,7.78
140.0,140.0,145.0,70.0,70.0,75.0,5.9
150.0,150.0,155.0,70.0,70.0,75.0,5.93
140.0,140.0,145.0,80.0,80.0,85.0,5.2
150.0,150.0,155.0,80.0,80.0,85.0,6.18
125.0,125.0,130.0,85.0,85.0,90.0,12.5
150.0,150.0,155.0,90.0,90.0,95.0,10.2
140.0,140.0,145.0,100.0,100.0,105.0,6.75
150.0,150.0,155.0,110.0,110.0,115.0,11.8
200.0,200.0,205.0,110.0,110.0,115.0,7.36
200.0,200.0,205.0,120.0,120.0,125.0,8.35
200.0,200.0,205.0,130.0,130.0,135.0,6.45
200.0,200.0,205.0,140.0,140.0,145.0,4.81
200.0,200.0,205.0,160.0,160.0,165.0,11.3
250.0,250.0,255.0,170.0,170.0,175.0,7.75
250.0,250.0,255.0,190.0,190.0,195.0,12.7
300.0,300.0,305.0,220.0,220.0,225.0,7.26
300.0,300.0,305.0,240.0,240.0,245.0,6.43
350.0,350.0,355.0,270.0,270.0,275.0,8.95
350.0,350.0,355.0,290.0,290.0,295.0,7.03

