#: table_doi: 10.17182/hepdata.91127.v1/t11
#: name: Observed Limit 3LeRJR (Up)
#: description: Plus 1$\sigma$ uncertainty, varying the signal cross section within its uncertainty, on the observed exclusion contour on C1N2 production assuming on-shell $W/Z$ decays as a function of the C1/N2 and N1 masses, and derived from the combined fit of low-mass and ISR regions.
#: data_file: Observed_Limit_3LeRJR_(Up).yaml
#: keyword reaction: P P --> CHARGINO NEUTRALINO
#: keyword observables: CLS
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Supersymmetry | Electroweak | Proton-Proton Scattering
#: cmenergies [GeV],13000
#: reaction,P P --> CHARGINO NEUTRALINO
$m\left(\widetilde{\chi}^{\pm}_{1}/\widetilde{\chi}^{0}_{2}\right)$ [GeV],$m\left(\widetilde{\chi}^{0}_{1}\right)$ [GeV]
102.42,17.272
106.57,21.03
110.71,25.145
114.85,29.562
118.99,34.048
123.13,38.396
127.27,42.548
131.41,46.501
135.56,50.305
139.7,54.097
143.84,57.955
147.98,61.839
152.12,65.635
156.26,69.229
160.4,72.621
160.94,73.062
164.55,75.834
168.69,79.111
172.83,82.522
176.97,86.114
181.11,89.938
185.25,94.04
189.39,98.426
193.54,102.98
197.68,107.34
201.82,110.92
205.96,113.59
207.41,114.38
210.1,114.97
214.24,116.61
215.32,117.14
218.38,118.47
222.53,120.65
225.98,122.65
226.67,123.03
230.81,125.45
234.95,127.96
238.84,130.36
239.09,130.5
243.23,132.88
247.37,135.14
250.23,136.59
251.52,137.18
255.66,138.97
259.21,140.42
259.8,140.63
263.94,142.07
267.06,143.12
268.08,143.4
272.22,144.55
274.18,145.09
276.36,145.54
280.51,146.41
280.7,146.45
284.65,147.02
286.73,147.34
288.79,147.45
292.24,147.69
292.93,147.66
297.07,147.44
297.13,147.43
301.21,146.43
301.27,146.42
304.81,144.81
305.35,144.48
308.03,142.88
309.49,141.82
311.05,140.75
313.64,138.73
313.96,138.5
316.79,136.18
317.78,135.29
319.56,133.8
321.92,131.63
322.25,131.34
324.86,128.8
326.06,127.46
327.33,126.11
329.6,123.23
330.2,122.31
331.65,120.14
333.48,116.81
334.34,114.92
335.1,113.28
336.54,109.57
337.83,105.71
338.48,103.4
338.98,101.7
340.0,97.579
340.91,93.337
341.72,88.989
342.42,84.543
342.63,83.013
343.04,80.008
343.57,75.384
344.01,70.673
344.37,65.887
344.68,61.043
344.96,56.172
345.27,51.33
345.7,46.611
346.35,42.11
346.77,39.996
347.22,37.828
348.22,33.672
349.26,29.56
350.31,25.46
350.91,23.074
351.35,21.355
352.37,17.218
353.31,13.011
354.13,8.6754
354.73,4.1265

